Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
E3,12/08/00,Barnet,Shrewsbury,3,0,H,2,0,H,2090,Mike North,21,10,10,5,2,0,13,5,11,12,6,3,0,1,0,0,0,10,,,,1.6,3.3,4,,,,1.67,3.5,4.33,1.66,3.4,4.5
E3,12/08/00,Blackpool,Hull,3,1,H,1,1,D,5862,Colin Webster,7,10,3,5,0,0,2,7,7,12,10,5,1,1,0,0,10,10,,,,1.7,3.2,3.6,,,,1.73,3.25,4.33,1.72,3.25,4.33
E3,12/08/00,Carlisle,Halifax,2,2,D,0,1,A,4491,Eddie Lomas,15,7,5,4,0,0,8,1,12,14,3,10,1,3,0,0,10,30,,,,2.2,3,2.6,,,,2.3,3.4,2.6,2.2,3.4,2.75
E3,12/08/00,Cheltenham,Mansfield,2,2,D,1,1,D,4051,Brian Curson,14,4,3,2,0,0,10,1,7,7,3,0,0,1,0,0,0,10,,,,1.65,3.2,3.8,,,,1.67,3.4,4.5,1.66,3.4,4.5
E3,12/08/00,Chesterfield,York,4,1,H,0,1,A,4745,M Clattenburg,17,9,10,3,0,0,5,1,11,12,3,0,4,0,0,1,40,25,,,,1.65,3.2,3.8,,,,1.62,3.5,5,1.66,3.4,4.5
E3,12/08/00,Exeter,Cardiff,1,2,A,0,1,A,3929,Trevor Parkes,6,13,3,7,0,0,8,11,11,10,3,7,1,0,0,0,10,0,,,,2.6,3,2.2,,,,2.63,3.4,2.3,2.62,3.4,2.25
E3,12/08/00,Kidderminster,Torquay,2,0,H,1,0,H,5122,Graham Poll,15,13,5,2,0,0,7,6,14,17,2,3,1,2,0,0,10,20,,,,1.9,3,3.1,,,,2,3.5,3,1.83,3.4,3.6
E3,12/08/00,Lincoln,Hartlepool,0,2,A,0,1,A,3588,Paul Danson,17,5,7,2,2,0,8,1,14,12,2,1,1,0,0,0,10,0,,,,2.2,3,2.6,,,,2.38,3.25,2.6,2.37,3.2,2.62
E3,12/08/00,Macclesfield,Scunthorpe,0,1,A,0,0,D,2561,Phil Prosser,5,13,1,5,0,2,7,8,13,16,4,6,2,3,0,0,20,30,,,,2.1,3,2.8,,,,2.38,3.25,2.6,2.2,3.4,2.75
E3,12/08/00,Plymouth,Leyton Orient,0,1,A,0,1,A,5649,Paul Armstrong,4,5,3,3,0,0,3,4,7,10,2,5,1,1,0,1,10,35,,,,1.7,3.2,3.6,,,,1.73,3.25,4.33,1.66,3.4,4.5
E3,12/08/00,Rochdale,Darlington,1,1,D,0,1,A,3255,Mark Cooper,17,2,13,1,0,0,8,2,11,19,6,7,1,5,0,0,10,50,,,,2.35,3,2.35,,,,2.5,3.2,2.5,2.5,3.2,2.5
E3,12/08/00,Southend,Brighton,2,0,H,1,0,H,7492,Roger Furnandiz,13,10,9,7,0,0,8,2,7,15,7,3,0,0,0,0,0,0,,,,2.35,3,2.35,,,,2.5,3.2,2.5,2.5,3.2,2.5
E3,19/08/00,Barnet,Mansfield,3,3,D,3,1,H,1732,Matt Messias,16,11,10,6,0,0,7,6,13,16,3,6,0,1,0,0,0,10,,,,1.65,3.2,3.8,1.65,3.4,4.5,1.75,3.25,4,1.66,3.5,4.33
E3,19/08/00,Brighton,Rochdale,2,1,H,2,1,H,6076,Phil Prosser,7,8,3,4,0,0,10,4,17,18,7,3,3,3,1,1,55,55,,,,1.65,3.2,3.8,1.7,3.25,4.3,1.7,3.4,4.2,1.66,3.4,4.5
E3,19/08/00,Cardiff,Blackpool,1,1,D,1,0,H,11019,Lee Cable,16,8,8,2,0,0,11,5,13,16,1,1,2,3,0,0,20,30,,,,1.7,3.2,3.6,1.85,3.25,3.75,1.7,3.25,4.33,1.72,3.25,4.33
E3,19/08/00,Darlington,Exeter,1,1,D,1,0,H,4056,Howard Webb,14,6,6,2,0,0,13,3,4,8,5,8,1,1,0,0,10,10,,,,1.5,3.5,4.5,1.6,3.4,5,1.53,3.4,5.5,1.5,3.75,5.5
E3,19/08/00,Halifax,Lincoln,1,1,D,0,0,D,2013,George Cain,8,12,4,7,0,0,7,7,6,9,2,4,0,1,0,0,0,10,,,,1.9,3,3.1,1.9,3.25,3.5,1.91,3.25,3.4,1.83,3.4,3.6
E3,19/08/00,Hartlepool,Chesterfield,1,2,A,1,1,D,3583,Trevor Jones,7,11,6,4,0,1,9,4,5,18,1,2,0,2,0,0,0,20,,,,2.2,3,2.6,2.25,3.25,2.75,2.25,3.2,2.75,2.25,3.25,2.75
E3,19/08/00,Hull,Plymouth,1,1,D,1,0,H,5431,Tony Bates,14,6,10,1,0,0,4,4,11,9,3,2,0,2,0,0,0,20,,,,2.2,3,2.6,2.2,3.4,2.75,2.1,3.3,2.88,2.2,3.4,2.7
E3,19/08/00,Leyton Orient,Carlisle,1,0,H,1,0,H,4320,Mike North,8,10,4,4,0,0,12,2,20,17,2,5,1,1,0,0,10,10,,,,1.6,3.3,4,1.7,4.3,4.33,1.67,3.4,4.33,1.66,3.4,4.5
E3,19/08/00,Scunthorpe,Kidderminster,2,0,H,1,0,H,3761,Chris Foy,13,8,6,3,1,0,5,11,7,8,5,3,2,1,1,0,45,10,,,,1.85,3,3.3,2.2,3.4,2.75,2.1,3.25,3,1.9,3.25,3.5
E3,19/08/00,Shrewsbury,Macclesfield,2,2,D,2,1,H,2822,Paul Rejer,9,9,3,5,0,1,7,11,12,10,2,4,1,1,0,0,10,10,,,,2.3,2.9,2.5,2.2,3.25,2.85,2.25,3.2,2.75,2.37,3.4,2.5
E3,19/08/00,Torquay,Southend,1,1,D,0,1,A,2528,Mark Warren,9,7,2,4,1,0,7,4,15,15,1,6,4,1,0,0,40,10,,,,2,3,2.9,2.2,3.25,2.85,2.1,3.2,3,2.1,3.25,3
