"player_num" "position" "player_name" "club" "age" "height" "weight" "birthplace" "status"
"1" 11 "F" "David Accam" "Chicago Fire" 24 "5' 9\"" 154 "Ghana" "Active"
"2" 23 "D/M" "Kellyn Acosta" "FC Dallas" 19 "5' 10\"" 150 "USA" "Active"
"3" NA "D" "Adaílton" "Chicago Fire" 31 "6' 3\"" 180 "Brazil" "Active"
"4" 3 "D" "Sam Adekugbe" "Vancouver Whitecaps FC" 19 "5' 9\"" 165 "England" "Active"
"5" 9 "F" "Fanendo Adi" "Portland Timbers" 24 "6' 4\"" 185 "Nigeria" "Active"
"6" 13 "F" "Tesho Akindele" "FC Dallas" 22 "6' 1\"" 170 "Canada" "Active"
"7" NA "M" "Fatai Alashe" "" 21 "6'" 170 "USA" "Active"
"8" 12 "M" "Eric Alexander" "New York Red Bulls" 26 "6' 1\"" 165 "USA" "Active"
"9" 7 "D/M" "Jordan Allen" "Real Salt Lake" 19 "5' 11\"" 160 "USA" "Active"
"10" 6 "M" "Osvaldo Alonso" "Seattle Sounders FC" 29 "5' 11\"" 165 "Cuba" "Active"
"11" 30 "D" "Kevin Alston" "New England Revolution" 26 "5' 8\"" 160 "USA" "Active"
"12" 24 "F" "Quincy Amarikwa" "Chicago Fire" 27 "5' 9\"" 180 "USA" "Active"
"13" NA "D" "Jalil Anibaba" "Sporting Kansas City" 26 "6'" 185 "USA" "Active"
"14" NA "M" "Bernardo Añor" "Sporting Kansas City" 26 "5' 8\"" 158 "Venezuela" "Active"
"15" 34 "M" "Manny Aparicio" "Toronto FC" 19 "5' 6\"" 149 "Argentina" "Active"
"16" 5 "D" "Armando" "New York Red Bulls" 30 "6' 1\"" 175 "Spain" "Active"
"17" 8 "M" "Davy Arnaud" "D.C. United" 34 "5' 11\"" 160 "USA" "Active"
"18" NA "F" "Jairo Arrieta" "Orlando City SC" 31 "5' 9\"" 150 "Costa Rica" "Active"
"19" 26 "M" "Corey Ashe" "Houston Dynamo" 28 "5' 5\"" 154 "USA" "Active"
"20" NA "M/F" "Dairon Asprilla" "Portland Timbers" 22 "5' 11\"" 165 "Colombia" "Active"
"21" 24 "GK" "Jeff Attinella" "Real Salt Lake" 26 "6' 2\"" 190 "USA" "Active"
"22" 42 "M" "Micheal Azira" "Seattle Sounders FC" 27 "5' 10\"" 160 "Uganda" "Active"
"23" NA "M" "Mehdi Ballouchy" "New York City FC" 31 "5' 11\"" 169 "Morocco" "Active"
"24" 26 "D" "Brandon Barklage" "San Jose Earthquakes" 28 "5' 11\"" 165 "USA" "Active"
"25" 25 "D" "Darrius Barnes" "New England Revolution" 28 "6' 1\"" 175 "USA" "Active"
"26" 23 "M" "Giles Barnes" "Houston Dynamo" 26 "5' 11\"" 181 "England" "Active"
"27" NA "M" "Leandro Barrera" "San Jose Earthquakes" 23 "5' 8\"" 171 "Argentina" "Active"
"28" 19 "F" "Chad Barrett" "Seattle Sounders FC" 29 "5' 11\"" 185 "USA" "Active"
"29" 21 "D" "Chad Barson" "Columbus Crew SC" 23 "5' 10\"" 170 "USA" "Active"
"30" 21 "D/M" "DaMarcus Beasley" "Houston Dynamo" 32 "5' 8\"" 145 "USA" "Active"
