round,home_team,home_score,away_score,away_team,notes
1,St. Pauli,1,2,Bayern,"(Driller 19 - Rizzitelli 34, Basler 37)"
1,M'gladbach,0,0,Bielefeld[Aug 17],
1,Bochum,1,0,Duisburg,"(Közle 31)(sent off: Waldoch (Bochum, 69))"
1,Stuttgart,4,0,Schalke,"(Elber 27, Hagner 33, Balakov 48, Bobic 74)"
1,Hansa,2,2,Karlsruher,"(Akpoborie 62, 76 - D.Schuster 16, Dundee 80)"
1,Freiburg,3,2,Werder,"(Decheiver 24, 45, Sutter 85 p - Herzog 63, 72 p)(sent off: Wolter (Werder, 78))"
1,TSV 1860,2,1,Hamburger,"(Winkler 70 p, 76 - Kutschera 86 o)"
1,Leverkusen,4,2,Dortmund,"(Sergio 6, Kirsten 7, Tanko 39, Fach 58 - Lambert34, Rydlewicz 81)[Aug 18]"
1,Düsseldorf,0,3,1. FC Köln,"(Thiam 36, Gaißmayer 52, Oliseh 71)"
2,Hamburger,5,1,Freiburg,"(Bäron 4, Friis-Hansen 12, Spörl 27 p, 33,Ivanauskas 80 - Decheiver 56)"
2,Werder,1,1,Hansa,"(Hofschneider 70 o - Akpoborie 40)(sent off: Studer (Hansa, 84))"
2,Schalke,0,0,M'gladbach,
2,Bielefeld,1,2,St. Pauli,"(Studtrucker 86 - Scharping 45, Eigner 55)[Aug 21]"
2,1. FC Köln,1,0,TSV 1860,(Vladoiu 5) [3 Munteanu (Köln) m/pen]
2,Bayern,1,1,Bochum,(Rizzitelli 52 - Peschel 73)
2,Duisburg,1,3,Leverkusen,"(Marin 54 p - Kirsten 65, 71, 82)"
2,Dortmund,4,0,Düsseldorf,"(Zorc 35, Chapuisat 41, Riedle 70, Riedle 89)"
3,St. Pauli,4,4,Schalke,"(Driller 15, Trulsen 53, Springer 62, Sobotzik 66 p -Max 11, 59, Thon 34, Wilmots 38)"
3,Hansa,0,1,Hamburger,(Bäron 65)[Aug 24]
3,Bochum,1,1,Bielefeld,"(Jack 65 - Molata 58)(sent off: Hobday (Bielefeld, 89))"
3,M'gladbach,1,3,Karlsruher,"(Andersson 22 - Häßler 33, Dundee 45, Keller 90)"
3,Stuttgart,2,1,Werder,"(Balakov 50, Bobic 61 - Votava 69)"
3,Freiburg,1,3,1. FC Köln,"(Zeyer 52 - Gaißmayer 9, Polster 86, 90)"
3,TSV 1860,1,3,Dortmund,"(Schwabl 38 - Zorc 58 p, Möller 72, Heinrich 89)"
3,Leverkusen,0,1,Düsseldorf,(Seeliger 47)[Aug 25]
3,Duisburg,0,4,Bayern,"(Klinsmann 15, Ziege 24, 90, Witeczek 60)"
4,Hamburger,0,4,Stuttgart,"(Balakov 30, Bobic 47, 60, Hagner 85)"
4,Werder,1,0,M'gladbach,"(M.Schulz 31)(sent off: Andersson (M'gladbach, 49))"
4,Schalke,1,1,Bochum,(Thon 2 - Donkov 87) [43 Anderbrügge (Schalke) m/pen]
4,Dortmund,3,1,Freiburg,"(Riedle 8, Heinrich 29, Tretschok 77 -Decheiver 51 p)[Aug 28]"
4,1. FC Köln,0,2,Hansa,"(Akpoborie 5, 59)"
4,Karlsruher,4,0,St. Pauli,"(Keller 18, Dundee 57, 59, 64)(sent off: Stanislawski (St. Pauli, 25))"
4,Bayern,4,2,Leverkusen,"(Zickler 25, Helmer 36, Klinsmann 43, Rizzitelli 48 -Sergio 24, Feldhoff 53)"
4,Düsseldorf,0,0,TSV 1860,
4,Bielefeld,1,1,Duisburg,(von Heesen 56 - Hirsch 65)
5,M'gladbach,3,0,Hamburger,"(Villa 19, Fischer 24 o, Nielsen 34)(sent off: Friis-Hansen (Hamburger, 72))"
5,Freiburg,1,2,Düsseldorf,"(Koch 32 o - Mehlhorn 42, Cyron 53) [32 Decheiver(Freiburg) m/pen][Sep 7]"
5,Bayern,1,0,Bielefeld,(Ziege 58)
5,Duisburg,0,1,Schalke,(Max 45)
5,Bochum,3,1,Karlsruher,"(Donkov 32, Wosz 72, 82 - Häßler 70 p)"
5,St. Pauli,0,3,Werder,"(Herzog 26, M.Bode 42, Labbadia 50)"
5,Hansa,0,1,Dortmund,(Cesar 90)
5,Leverkusen,3,0,TSV 1860,"(Happe 2, Kirsten 19, 89)[Sep 8]"
5,Stuttgart,4,0,1. FC Köln,"(T.Schneider 49, Soldo 51, Elber 72, Balakov 78)"
6,Werder,5,1,Bochum,"(M.Bode 17, Herzog 32, Labbadia 38, 56, 67 -Hutwelker 85)"
6,Düsseldorf,0,2,Hansa,"(Akpoborie 13, Yasser 57)[Sep 14]"
6,1. FC Köln,4,0,M'gladbach,"(Oliseh 30, Munteanu 43, Vladoiu 61, Polster 87)"
6,Karlsruher,1,0,Duisburg,"(Fink 45)(sent off: D.Schuster (Karlsruher, 36))"
6,Schalke,1,1,Bayern,"(Max 36, Strunz 70)"
6,Bielefeld,0,1,Leverkusen,"(Sergio 44)(sent off: Meijer (Leverkusen, 52))"
6,TSV 1860,4,0,Freiburg,"(Borimirov 57, 76, Nowak 73, Winkler 80)"
6,Dortmund,1,1,Stuttgart,"(Herrlich 66 - Klos 31 o)(sent off: T.Schneider (Stuttgart, 55))[Sep 15]"
