Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,W,L,T,ShO,W%,Sv%
Pat Onstad,HOU,GK,32,32,2880,132,85,40,1.25,3/3,11,8,13,5,34.4,64.4
Matt Reis,NE,GK,32,32,2880,182,141,35,1.09,1/3,12,8,12,10,37.5,77.5
Scott Garlick,RSL,GK,31,31,2745,158,108,43,1.39,1/2,10,12,9,4,32.3,68.4
Troy Perkins,DC,GK,30,30,2700,140,100,34,1.13,8/8,15,6,9,8,50.0,71.4
Bo Oshoniyi,KC,GK,29,29,2610,138,95,41,1.41,5/6,9,12,8,5,31.0,68.8
Joe Cannon,COL,GK,28,28,2440,146,99,42,1.5,3/4,9,11,7,7,32.1,67.8
Dario Sala,DAL,GK,28,28,2475,129,93,34,1.21,1/1,14,10,4,5,50.0,72.1
Kevin Hartman,LA,GK,28,28,2520,120,88,32,1.14,2/3,10,12,6,9,35.7,73.3
Zach Thornton,CHI,GK,24,24,2160,118,86,30,1.25,2/3,8,8,8,7,33.3,72.9
Tony Meola,NY,GK,20,20,1800,120,91,29,1.45,1/1,2,9,9,5,10.0,75.8
Preston Burpo,CHV,GK,19,19,1710,87,58,23,1.21,1/1,7,3,9,5,36.8,66.7
Brad Guzan,ATL,GK,13,13,1170,70,49,19,1.46,1/1,3,6,4,5,23.1,70.0
Jon Conway,NY,GK,12,12,1080,67,54,12,1.0,3/3,7,2,3,5,58.3,80.6
Bill Gaudette,CLB,GK,11,11,990,60,45,13,1.18,0/1,3,5,3,3,27.3,75.0
Noah Palmer,CLB,GK,10,10,900,56,40,13,1.3,0/0,1,5,4,1,10.0,71.4
Jon Busch,CLB,GK,8,8,715,45,34,9,1.13,0/0,3,3,2,3,37.5,75.6
Matt Pickens,CHI,GK,8,8,720,57,47,11,1.38,1/1,5,3,0,1,62.5,82.5
Bouna Coundoul,COL,GK,5,4,440,22,15,7,1.75,1/1,2,2,1,2,40.0,68.2
Shaka Hislop,DAL,GK,4,4,360,25,13,10,2.5,0/0,2,2,0,0,50.0,52.0
Steve Cronin,LA,GK,4,4,360,16,11,5,1.25,0/0,1,3,0,0,25.0,68.8
Andy Gruenebaum,CLB,GK,3,2,185,14,12,2,1.0,0/0,1,1,0,0,33.3,85.7
William Hesmer,KC,GK,3,3,270,12,9,4,1.33,0/0,1,2,0,1,33.3,75.0
Jay Nolly,RSL,GK,2,1,134,13,7,6,6.0,0/0,0,1,0,0,0.0,53.8
Nick Rimando,RSL,GK,2,2,180,10,6,4,2.0,0/1,0,1,1,0,0.0,60.0
Jeff Cassar,DAL,GK,1,0,44,3,3,0,0.0,0/0,0,0,0,0,0.0,100.0
Dan Popik,CLB,GK,1,1,90,11,7,5,5.0,1/1,0,1,0,0,0.0,63.6
T.J. Tomasso,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Chase Harrison,RSL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Matt Jordan,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Doug Warren,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Jonny Walker,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
David Mahoney,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Eric Kronberg,KC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Ray Burse,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Zach Wells,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Josh Saunders,LA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Nick Armington,RSL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Michael Behonick,NY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Chris Dunsheath,LA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Peter Dzubay,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Martin Hutton,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Dominik Jakubek,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Ryan McIntosh,DC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
