Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,PKG/A,SC%,SOG%
Ante Razov,CHV,F,28,28,2485,14,8,98,40,0/0,14.3,40.8
Taylor Twellman,NE,F,32,32,2856,11,5,86,42,0/0,12.8,48.8
Jeff Cunningham,RSL,F,31,26,2404,16,11,83,45,4/4,19.3,54.2
Chris Klein,RSL,M,32,32,2842,7,8,70,27,0/0,10.0,38.6
Ronnie O'Brien,DAL,M,27,26,2331,1,11,69,24,0/0,1.4,34.8
Clint Dempsey,SEA,F,21,21,1865,8,4,67,31,0/0,11.9,46.3
Edson Buddle,NY,F,28,24,2110,6,3,65,29,0/0,9.2,44.6
Kenny Cooper,DAL,F,31,29,2453,11,4,65,30,0/0,16.9,46.2
Brian Ching,HOU,F,21,20,1822,11,2,64,30,0/0,17.2,46.9
Christian Gomez,DC,M,30,28,2366,14,11,63,35,0/0,22.2,55.6
Andy Dorman,NE,M,32,32,2834,6,10,60,33,0/0,10.0,55.0
Youri Djorkaeff,NY,F-M,21,21,1824,2,4,59,20,0/1,3.4,33.9
Alecko Eskandarian,DC,F,22,16,1474,7,2,57,30,0/0,12.3,52.6
Eddie Gaven,CLB,M,30,30,2560,4,4,57,27,1/2,7.0,47.4
Davy Arnaud,KC,M,32,30,2784,4,4,57,24,0/0,7.0,42.1
Kyle Beckerman,RSL,M,31,31,2790,7,2,57,27,1/1,12.3,47.4
Amado Guevara,NY,M,28,26,2346,8,5,56,23,4/4,14.3,41.1
Jason Kreis,RSL,M,30,27,2434,8,5,56,22,1/1,14.3,39.3
Hérculez Gómez,LA,F,30,19,1798,5,3,55,26,0/0,9.1,47.3
Freddy Adu,DC,F,32,29,2521,2,8,55,25,0/0,3.6,45.5
Dwayne De Rosario,HOU,M,30,29,2534,11,5,55,26,2/2,20.0,47.3
Carlos Ruiz,DAL,F,27,25,2113,13,5,54,29,0/0,24.1,53.7
Ramon Nunez,DAL,M,25,20,1660,6,4,51,15,0/0,11.8,29.4
Juan Pablo Garcia,CHV,M,29,29,2438,8,6,51,29,0/0,15.7,56.9
Jaime Moreno,DC,F,32,31,2699,11,10,51,31,3/3,21.6,60.8
Jose Burciaga Jr.,KC,D,30,29,2589,8,8,50,22,3/3,16.0,44.0
Nate Jaqua,CHI,F,28,22,2037,8,2,48,17,0/0,16.7,35.4
Thiago Martins,COL,F,26,14,1401,3,4,47,20,0/0,6.4,42.6
Eddie Johnson,KC,F,19,18,1480,2,1,47,21,0/1,4.3,44.7
Juan Francisco Palencia,CHV,F,23,22,1914,4,4,46,23,1/1,8.7,50.0
Landon Donovan,LA,M-F,24,24,2147,12,8,44,28,1/1,27.3,63.6
Brad Davis,HOU,M,28,24,2035,1,11,42,19,0/0,2.4,45.2
Josh Wolff,KC,F,19,18,1587,5,2,41,19,0/1,12.2,46.3
Scott Sealy,KC,F,29,20,1760,10,1,41,23,0/0,24.4,56.1
Jovan Kirovski,COL,M-F,26,22,1864,5,2,40,16,2/2,12.5,40.0
Francisco Mendoza,CHV,M,31,31,2652,3,6,40,22,0/0,7.5,55.0
Chris Rolfe,CHI,F,21,21,1636,7,1,39,19,0/0,17.9,48.7
Thiago,CHI,M,27,25,2229,3,2,39,19,0/0,7.7,48.7
Alan Gordon,LA,F,17,11,1019,4,2,38,20,0/0,10.5,52.6
John Wolyniec,CLB,F,22,17,1429,4,2,38,17,0/0,10.5,44.7
Jonathan Bornstein,CHV,D,32,32,2878,6,4,38,21,0/0,15.8,55.3
Andy Herron,CHI,F,20,18,1449,9,1,37,25,2/3,24.3,67.6
Andy Williams,RSL,M,29,21,1941,2,6,37,14,0/1,5.4,37.8
Nicolas Hernandez,COL,F,30,29,2524,7,6,37,18,0/0,18.9,48.6
Ricardo Clark,CLB,M,31,31,2728,2,3,37,14,0/0,5.4,37.8
Justin Mapp,CHI,M,26,22,1865,2,8,36,10,0/0,5.6,27.8
Alejandro Moreno,HOU,F,30,30,2620,3,6,36,21,0/0,8.3,58.3
Joshua Gros,DC,M-D,29,29,2576,3,5,33,18,0/0,9.1,54.5
Seth Stammler,NY,M-D,29,27,2374,3,5,32,14,0/0,9.4,43.8
Clint Mathis,COL,M,25,16,1342,2,1,31,9,0/0,6.5,29.0
Jason Garey,CLB,F,25,18,1712,5,2,31,17,0/0,16.1,54.8
Terry Cooke,COL,M,23,22,1997,0,12,31,13,0/0,0.0,41.9
Sasha Victorine,KC,M,31,30,2701,3,8,31,9,1/1,9.7,29.0
Chris Henderson,NY,M,32,29,2186,3,1,30,14,0/0,10.0,46.7
Paulo Nagamura,LA,M,29,26,2371,0,4,30,9,0/0,0.0,30.0
Sebastian Rozental,CLB,F,20,15,1229,3,1,29,12,3/3,10.3,41.4
Joseph Ngwenya,CLB,F,22,18,1520,5,2,29,13,0/0,17.2,44.8
Facundo Erpen,DC,D,30,30,2626,3,2,29,9,0/0,10.3,31.0
Jose Cancela,NE,M,21,15,1385,0,5,28,15,0/0,0.0,53.6
Jack Jewsbury,KC,M,28,19,1814,1,3,28,12,0/0,3.6,42.9
Peguero Jean Philippe,COL,F,14,14,1248,6,3,27,12,0/0,22.2,44.4
Shalrie Joseph,NE,M,26,26,2331,3,1,27,7,1/1,11.1,25.9
Brian Mullan,HOU,D,31,31,2744,2,4,27,10,0/0,7.4,37.0
Chad Barrett,CHI,F,16,9,778,5,1,26,14,0/0,19.2,53.8
Roberto Mina,DAL,F,16,9,881,3,1,26,14,0/0,11.5,53.8
Dedi Ben Dayan,COL,M-D,16,12,927,4,2,26,11,0/0,15.4,42.3
Kei Kamara,VAN,F,19,9,928,3,0,26,9,0/0,11.5,34.6
Atiba Harris,RSL,D,22,12,1142,4,1,24,15,0/0,16.7,62.5
Mike Magee,NY,M,17,9,938,3,1,23,12,0/0,13.0,52.2
Alex Zotinca,KC,D,24,15,1301,1,1,23,7,0/0,4.3,30.4
Steve Ralston,NE,M,30,30,2683,6,5,23,14,1/1,26.1,60.9
Dave van den Bergh,KC,M,13,13,991,3,2,22,12,0/0,13.6,54.5
Jose Retiz,CLB,M,22,21,1731,1,1,22,7,0/0,4.5,31.8
Sacha Kljestan,ORL,M,32,31,2676,0,7,22,8,0/0,0.0,36.4
Jacob Thomas,CLB,F,19,13,1070,1,2,21,9,0/0,4.8,42.9
Ben Olsen,DC,M,20,18,1534,2,3,21,10,0/0,9.5,47.6
Jeff Larentowicz,ATL,M,26,19,1974,1,1,20,5,0/0,5.0,25.0
Chris Armas,CHI,M,27,27,2366,1,5,20,6,0/0,5.0,30.0
Ivan Guerrero,CHI,M,29,29,2526,0,9,20,12,0/1,0.0,60.0
Dema Kovalenko,NY,M,12,12,1080,0,1,19,9,0/0,0.0,47.4
Mehdi Ballouchy,RSL,M,32,26,2160,2,2,19,5,0/0,10.5,26.3
Carey Talley,RSL,D,30,30,2618,2,8,19,6,0/0,10.5,31.6
Joe Franchino,NE,M,21,19,1520,0,1,18,3,0/0,0.0,16.7
Diego Gutierrez,CHI,D,25,21,1878,2,3,18,8,1/2,11.1,44.4
Chris Albright,LA,D,23,23,2036,2,5,18,5,0/0,11.1,27.8
Arturo Alvarez,HOU,M,19,6,578,3,1,17,11,0/0,17.6,64.7
Kyle Martino,CLB,M,15,10,955,1,1,17,8,0/0,5.9,47.1
Pat Noonan,NE,F,14,12,850,1,3,16,5,0/0,6.3,31.3
Douglas Sequeira,RSL,M,18,13,1246,1,0,16,4,0/0,6.3,25.0
Jacob Peterson,COL,F,28,17,1547,4,3,16,8,0/0,25.0,50.0
Yura Movsisyan,RSL,F,10,1,219,0,0,15,5,0/0,0.0,33.3
Ricardo Virtuoso,CLB,F,10,7,571,1,0,15,8,0/0,6.7,53.3
Santino Quaranta,DC,M-F,16,10,835,3,0,15,5,0/0,20.0,33.3
Ezra Hendrickson,CHV,D,24,20,1867,1,2,15,5,0/0,6.7,33.3
Peter Vagenas,LA,M,25,24,2046,2,5,15,5,0/0,13.3,33.3
Brian Plotkin,CHI,M,14,4,526,1,1,14,4,0/0,7.1,28.6
Ryan Pore,KC,M,19,4,560,2,0,14,7,0/0,14.3,50.0
Ned Grabavoy,CLB,M,17,5,736,1,1,14,5,0/0,7.1,35.7
Cobi Jones,LA,M,27,18,1704,4,4,14,6,0/0,28.6,42.9
Todd Dunivant,LA,D,22,21,1858,2,2,14,9,0/0,14.3,64.3
Chris Gbandi,DAL,D,28,27,2393,0,2,14,7,0/0,0.0,50.0
Wade Barrett,HOU,D,31,31,2756,0,3,14,5,0/0,0.0,35.7
Paul Dalglish,HOU,F,6,3,313,2,1,13,7,0/0,15.4,53.8
Josh Gardner,LA,M,18,12,1055,1,3,13,5,0/0,7.7,38.5
Tyrone Marshall,LA,D,25,25,2149,0,0,13,3,0/0,0.0,23.1
Bobby Rhine,DAL,M,30,30,2593,2,2,13,5,0/0,15.4,38.5
Jesse Marsch,CHV,M,30,30,2604,2,3,13,7,0/0,15.4,53.8
Calen Carr,CHI,F,22,3,494,1,1,12,8,0/0,8.3,66.7
Daniel Wasson,COL,D,17,7,712,1,0,12,6,0/0,8.3,50.0
Marcos Gonzalez,CLB,D,21,20,1660,0,0,12,2,0/0,0.0,16.7
Richard Mulrooney,DAL,M,25,23,2075,1,9,12,5,0/0,8.3,41.7
Drew Moor,TOR,D,27,26,2280,1,1,12,5,0/0,8.3,41.7
Craig Waibel,HOU,D,28,28,2401,5,1,12,7,0/0,41.7,58.3
Brian Carroll,DC,M,31,31,2779,1,3,12,4,0/0,8.3,33.3
Jesus Morales,CHV,F,7,3,355,0,1,11,4,0/0,0.0,36.4
Fabrice Noel,COL,F,9,3,369,1,0,11,7,0/0,9.1,63.6
Lucio Filomeno,DC,F,11,5,436,1,1,11,5,0/0,9.1,45.5
Chad Marshall,SEA,D,26,25,2255,1,1,11,3,0/0,9.1,27.3
Aitor Karanka,COL,D,27,27,2414,0,1,11,4,0/0,0.0,36.4
Jay Heaps,NE,D,31,31,2790,0,4,11,2,0/0,0.0,18.2
Khano Smith,NE,M,10,2,340,1,0,10,4,0/0,10.0,40.0
Ronald Cerritos,HOU,F,15,7,654,0,1,10,3,0/1,0.0,30.0
Abe Thompson,DAL,F,14,7,671,2,6,10,5,0/0,20.0,50.0
Quavas Kirk,LA,F,22,10,990,0,2,10,2,0/0,0.0,20.0
Claudio Suarez,CHV,D,20,20,1778,6,1,10,6,3/3,60.0,60.0
Eric Denton,COL,D,22,22,1890,0,2,10,1,0/0,0.0,10.0
Marvell Wynne,NY,D,28,23,2169,0,3,10,5,0/0,0.0,50.0
Simo Valakari,DAL,M,31,30,2607,0,1,10,3,0/0,0.0,30.0
Tim Regan,CHV,D,30,30,2618,0,0,10,2,0/0,0.0,20.0
Dominic Oduro,MTL,M,16,3,410,1,0,9,3,0/0,11.1,33.3
Eric Vasquez,CLB,M,12,4,501,1,0,9,2,0/0,11.1,22.2
Greg Vanney,DAL,D,28,28,2510,1,2,9,3,0/0,11.1,33.3
Ryan Coiner,CLB,F,6,4,281,0,1,8,4,0/0,0.0,50.0
Duncan Oughton,CLB,D,9,9,776,0,2,8,3,0/0,0.0,37.5
Clarence Goodson,DAL,D,13,9,864,0,0,8,3,0/0,0.0,37.5
Clyde Simms,DC,M,24,14,1350,1,1,8,5,0/0,12.5,62.5
Rusty Pierce,CLB,D,18,18,1524,0,0,8,2,0/0,0.0,25.0
Brandon Moss,CLB,D,20,17,1610,0,0,8,2,0/0,0.0,25.0
Dasan Robinson,CHI,D,23,23,2054,1,0,8,1,0/0,12.5,12.5
Kerry Zavagnin,KC,M,25,23,2068,0,1,8,2,0/0,0.0,25.0
Eddie Robinson,HOU,D,25,24,2084,2,3,8,3,0/0,25.0,37.5
Hunter Freeman,COL,D,27,24,2130,0,1,8,2,0/0,0.0,25.0
Cornell Glen,COL,F,5,3,248,2,0,7,5,0/0,28.6,71.4
Rod Dyachenko,DC,M,9,4,298,0,0,7,2,0/0,0.0,28.6
Jozy Altidore,TOR,F,7,3,329,3,0,7,5,0/0,42.9,71.4
Jamil Walker,DC,M-F,19,3,406,1,1,7,5,0/0,14.3,71.4
