Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,FC,FS,OFF,YC,RC
Simo Valakari,DAL,M,31,30,2607,0,1,10,3,81,23,0,6,0
Amado Guevara,NY,M,28,26,2346,8,5,56,23,64,40,3,6,1
Ugo Ihemelu,LA,D,29,29,2610,0,0,0,0,64,52,0,8,0
Brian Mullan,HOU,D,31,31,2744,2,4,27,10,60,50,11,6,1
Danny O'Rourke,NY,D,28,27,2400,0,2,7,1,59,43,0,7,1
Eddie Robinson,HOU,D,25,24,2084,2,3,8,3,58,38,0,11,1
Ricardo Clark,CLB,M,31,31,2728,2,3,37,14,57,46,1,4,1
Seth Stammler,NY,M-D,29,27,2374,3,5,32,14,56,19,2,7,0
Carlos Ruiz,DAL,F,27,25,2113,13,5,54,29,54,72,32,6,0
Tyrone Marshall,LA,D,25,25,2149,0,0,13,3,53,16,1,7,0
Carey Talley,RSL,D,30,30,2618,2,8,19,6,53,50,3,7,1
Mehdi Ballouchy,RSL,M,32,26,2160,2,2,19,5,52,46,4,4,0
Juan Francisco Palencia,CHV,F,23,22,1914,4,4,46,23,50,61,36,0,1
Sacha Kljestan,ORL,M,32,31,2676,0,7,22,8,50,32,3,5,0
Nate Jaqua,CHI,F,28,22,2037,8,2,48,17,49,34,14,4,0
Alejandro Moreno,HOU,F,30,30,2620,3,6,36,21,49,112,19,2,1
Marcelo Saragosa,DAL,M,17,13,1111,0,0,7,2,48,23,0,4,0
Paulo Nagamura,LA,M,29,26,2371,0,4,30,9,48,51,2,5,0
Atiba Harris,RSL,D,22,12,1142,4,1,24,15,47,36,24,8,1
Jeff Larentowicz,ATL,M,26,19,1974,1,1,20,5,47,29,1,4,0
Ronnie O'Brien,DAL,M,27,26,2331,1,11,69,24,45,24,7,4,0
Thiago Martins,COL,F,26,14,1401,3,4,47,20,44,38,22,6,0
Marcos Gonzalez,CLB,D,21,20,1660,0,0,12,2,44,21,0,5,1
Facundo Erpen,DC,D,30,30,2626,3,2,29,9,44,24,0,2,1
Brian Carroll,DC,M,31,31,2779,1,3,12,4,44,27,0,6,0
Hérculez Gómez,LA,F,30,19,1798,5,3,55,26,43,46,20,5,0
Chris Albright,LA,D,23,23,2036,2,5,18,5,43,24,0,5,0
Shalrie Joseph,NE,M,26,26,2331,3,1,27,7,43,54,1,6,0
Nicolas Hernandez,COL,F,30,29,2524,7,6,37,18,43,57,29,3,0
Diego Gutierrez,CHI,D,25,21,1878,2,3,18,8,42,35,1,6,0
Joshua Gros,DC,M-D,29,29,2576,3,5,33,18,42,30,3,5,2
Jose Retiz,CLB,M,22,21,1731,1,1,22,7,41,47,1,7,1
Clint Dempsey,SEA,F,21,21,1865,8,4,67,31,41,62,22,5,0
Edson Buddle,NY,F,28,24,2110,6,3,65,29,41,39,32,1,0
Kyle Beckerman,RSL,M,31,31,2790,7,2,57,27,41,42,2,8,0
Andy Dorman,NE,M,32,32,2834,6,10,60,33,41,28,5,5,0
Pablo Mastroeni,COL,M,20,20,1779,0,0,2,0,40,27,0,6,1
Dasan Robinson,CHI,D,23,23,2054,1,0,8,1,40,52,0,5,0
Bryan Namoff,DC,D,26,25,2241,0,1,5,2,40,14,0,6,1
Dwayne De Rosario,HOU,M,30,29,2534,11,5,55,26,40,55,13,2,2
Jesse Marsch,CHV,M,30,30,2604,2,3,13,7,40,50,3,7,0
Sasha Victorine,KC,M,31,30,2701,3,8,31,9,40,35,5,3,0
Taylor Twellman,NE,F,32,32,2856,11,5,86,42,40,60,32,3,0
Rusty Pierce,CLB,D,18,18,1524,0,0,8,2,39,25,0,5,0
