Player,Club,POS,GP,GS,A,GWA,HmA,RdA,A/90min
Terry Cooke,COL,M,23,22,12,3,9,3,0.54
Brad Davis,HOU,M,28,24,11,3,8,3,0.49
Ronnie O'Brien,DAL,M,27,26,11,4,3,8,0.42
Christian Gomez,DC,M,30,28,11,4,8,3,0.42
Jeff Cunningham,RSL,F,31,26,11,3,6,5,0.41
Jaime Moreno,DC,F,32,31,10,3,6,4,0.33
Andy Dorman,NE,M,32,32,10,2,4,6,0.32
Richard Mulrooney,DAL,M,25,23,9,4,5,4,0.39
Ivan Guerrero,CHI,M,29,29,9,2,4,5,0.32
Justin Mapp,CHI,M,26,22,8,3,6,2,0.39
Landon Donovan,LA,M-F,24,24,8,3,4,4,0.34
Ante Razov,CHV,F,28,28,8,0,3,5,0.29
Freddy Adu,DC,F,32,29,8,2,5,3,0.29
Jose Burciaga Jr.,KC,D,30,29,8,0,6,2,0.28
Carey Talley,RSL,D,30,30,8,1,4,4,0.28
Sasha Victorine,KC,M,31,30,8,2,4,4,0.27
Chris Klein,RSL,M,32,32,8,2,4,4,0.25
Sacha Kljestan,ORL,M,32,31,7,2,4,3,0.24
Abe Thompson,DAL,F,14,7,6,2,3,3,0.8
Andy Williams,RSL,M,29,21,6,0,3,3,0.28
Juan Pablo Garcia,CHV,M,29,29,6,3,6,0,0.22
Nicolas Hernandez,COL,F,30,29,6,2,4,2,0.21
Alejandro Moreno,HOU,F,30,30,6,2,5,1,0.21
Francisco Mendoza,CHV,M,31,31,6,0,3,3,0.2
Jose Cancela,NE,M,21,15,5,0,4,1,0.32
Chris Albright,LA,D,23,23,5,1,3,2,0.22
Peter Vagenas,LA,M,25,24,5,2,2,3,0.22
Carlos Ruiz,DAL,F,27,25,5,1,4,1,0.21
Amado Guevara,NY,M,28,26,5,0,2,3,0.19
Chris Armas,CHI,M,27,27,5,3,3,2,0.19
Seth Stammler,NY,M-D,29,27,5,3,4,1,0.19
Jason Kreis,RSL,M,30,27,5,1,4,1,0.18
Dwayne De Rosario,HOU,M,30,29,5,2,5,0,0.18
Joshua Gros,DC,M-D,29,29,5,1,3,2,0.17
Steve Ralston,NE,M,30,30,5,4,3,2,0.17
Taylor Twellman,NE,F,32,32,5,1,2,3,0.16
Mark Lisi,NY,M,9,7,4,1,3,1,0.71
Thiago Martins,COL,F,26,14,4,3,4,0,0.26
Ramon Nunez,DAL,M,25,20,4,1,3,1,0.22
Cobi Jones,LA,M,27,18,4,1,4,0,0.21
Youri Djorkaeff,NY,F-M,21,21,4,1,3,1,0.2
Clint Dempsey,SEA,F,21,21,4,2,2,2,0.19
Juan Francisco Palencia,CHV,F,23,22,4,2,2,2,0.19
Paulo Nagamura,LA,M,29,26,4,1,2,2,0.15
Kenny Cooper,DAL,F,31,29,4,1,1,3,0.15
Eddie Gaven,CLB,M,30,30,4,0,2,2,0.14
Brian Mullan,HOU,D,31,31,4,2,4,0,0.13
Davy Arnaud,KC,M,32,30,4,0,3,1,0.13
Jay Heaps,NE,D,31,31,4,3,2,2,0.13
Jonathan Bornstein,CHV,D,32,32,4,2,2,2,0.13
Pat Noonan,NE,F,14,12,3,0,1,2,0.32
Josh Gardner,LA,M,18,12,3,0,1,2,0.26
Peguero Jean Philippe,COL,F,14,14,3,0,2,1,0.22
Ben Olsen,DC,M,20,18,3,1,2,1,0.18
Jacob Peterson,COL,F,28,17,3,1,1,2,0.17
Hérculez Gómez,LA,F,30,19,3,1,2,1,0.15
Jack Jewsbury,KC,M,28,19,3,2,2,1,0.15
