day,date,home_team,result,away_team
Sunday,April 2,HOU,5-2,Colorado
Saturday,April 8,HOU,1-2,Sporting KC
Saturday,April 15,D.C. United,2-0,HOU
Saturday,April 22,HOU,2-1,Real Salt Lake
Saturday,April 29,Colorado,0-1,HOU
Saturday,May 6,HOU,4-3,FC Dallas
Saturday,May 13,FC Dallas,1-1,HOU
Saturday,May 20,HOU,0-1,Chicago
Saturday,May 27,New England,1-1,HOU
Saturday,June 3,HOU,2-1,LA Galaxy
Saturday,June 10,NY Red Bulls,1-1,HOU
Saturday,June 17,HOU,2-1,Real Salt Lake
Saturday,June 24,LA Galaxy,0-0,HOU
Wednesday,June 28,Chivas USA,1-1,HOU
Tuesday,July 4,HOU,1-1,Columbus
Saturday,July 8,HOU,3-1,Chivas USA
Saturday,July 15,Sporting KC,2-3,HOU
Saturday,July 22,HOU,1-1,New England
Wednesday,July 26,Colorado,1-0,HOU
Saturday,July 29,HOU,1-1,NY Red Bulls
Wednesday,August 9,HOU,0-1,LA Galaxy
Saturday,August 12,HOU,1-0,FC Dallas
Saturday,August 19,Real Salt Lake,3-1,HOU
Saturday,August 26,Chivas USA,3-2,HOU
Wednesday,August 30,Chicago,2-2,HOU
Saturday,September 2,FC Dallas,1-0,HOU
Sunday,September 10,LA Galaxy,1-2,HOU
Sunday,September 17,HOU,0-0,Chivas USA
Saturday,September 23,Columbus,1-1,HOU
Saturday,September 30,HOU,1-0,D.C. United
Saturday,October 7,Real Salt Lake,1-1,HOU
Saturday,October 14,HOU,3-3,Colorado
