Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,FC,FS,OFF,YC,RC
Diego Chara,POR,M,30,30,2600,0,1,9,2,86,55,0,9,1
Matias Laba,VAN,M,32,32,2729,0,0,10,4,71,20,0,5,1
Fanendo Adi,POR,F,33,30,2649,16,2,88,37,70,63,34,7,0
Marcelo Sarvas,DC,M,28,26,2247,1,2,22,6,67,65,0,11,1
Dom Dwyer,ORL,F,33,31,2823,16,3,119,44,66,74,32,8,0
Micheal Azira,COL,M,31,28,2503,0,1,13,1,65,25,1,9,1
Roger Espinoza,SKC,M,30,30,2679,1,5,48,12,65,54,1,10,2
Quincy Amarikwa,SJ,F,23,22,1699,3,3,50,12,55,52,16,0,0
Carlos Gruezo,DAL,M,27,26,2240,0,2,24,3,55,14,1,9,0
Luke Mulholland,RSL,M,33,23,2028,4,2,42,9,54,40,1,7,0
Sam Cronin,MIN,M,33,33,2924,1,3,27,8,54,31,0,6,0
Bradley Wright-Phillips,RBNY,F,34,32,2761,24,5,103,56,53,37,34,3,0
Ricardo Clark,CLB,M,32,29,2551,4,4,43,13,51,27,1,4,0
Osvaldo Alonso,SEA,M,32,32,2826,3,4,43,11,51,63,0,7,1
Felipe,VAN,M,33,33,2898,5,7,54,22,51,66,0,6,1
Kyle Beckerman,RSL,M,27,27,2367,0,1,43,12,48,27,0,8,1
Teal Bunbury,NE,F,27,19,1666,2,2,49,9,47,29,11,5,0
Luciano Acosta,DC,M-F,31,25,2109,3,11,50,14,47,50,11,9,0
David Villa,NYC,F,33,32,2869,23,4,166,68,47,72,41,5,0
Anibal Godoy,SJ,M,23,23,1941,1,2,28,9,45,57,0,7,2
Hassoun Camara,MTL,D,27,26,2249,2,2,19,5,44,15,3,6,0
Jelle Van Damme,LA,D,28,28,2436,0,4,24,2,44,15,3,9,0
CJ Sapong,PHI,F,31,29,2535,7,2,60,22,44,71,17,1,0
Jozy Altidore,TOR,F,23,16,1487,10,5,43,21,43,48,9,4,0
Kendall Waston,VAN,D,26,26,2266,3,1,21,10,43,15,0,8,3
Kelyn Rowe,NE,M,33,32,2787,5,7,64,25,43,52,6,2,0
Cristian Higuita,ORL,M,21,16,1513,1,1,11,1,42,40,0,9,1
Maximiliano Urruti,DAL,F,30,29,2482,9,4,91,36,42,51,16,4,0
Sacha Kljestan,ORL,M,32,30,2623,6,20,40,19,42,38,6,3,0
Alex Muyl,RBNY,M,27,18,1599,2,6,30,12,41,37,8,5,0
Collen Warner,MIN,M,24,24,1979,0,1,12,0,41,18,0,2,0
