day,date,home_team,result,away_team
Sunday,March 6,FC Dallas,2-0,PHI
Saturday,March 12,Columbus,1-2,PHI
Sunday,March 20,PHI,3-0,New England
Saturday,April 2,Chicago,1-0,PHI
Friday,April 8,PHI,2-1,Orlando
Saturday,April 16,Seattle,2-1,PHI
Saturday,April 23,PHI,2-0,NYCFC
Saturday,April 30,PHI,1-1,San Jose
Wednesday,May 11,PHI,2-2,LA Galaxy
Saturday,May 14,Montreal,1-1,PHI
Friday,May 20,PHI,1-0,D.C. United
Wednesday,May 25,Orlando,2-2,PHI
Saturday,May 28,Colorado,1-1,PHI
Wednesday,June 1,PHI,3-2,Columbus
Saturday,June 18,NYCFC,3-2,PHI
Wednesday,June 22,PHI,4-3,Chicago
Saturday,June 25,PHI,2-3,Vancouver
Saturday,July 2,Houston,1-0,PHI
Saturday,July 9,PHI,3-0,D.C. United
Sunday,July 17,PHI,2-2,NY Red Bulls
Saturday,July 23,Montreal,5-1,PHI
Sunday,July 31,PHI,1-2,Real Salt Lake
Saturday,August 6,D.C. United,2-2,PHI
Saturday,August 13,New England,0-4,PHI
Saturday,August 20,PHI,1-3,Toronto FC
Wednesday,August 24,Columbus,1-2,PHI
Saturday,August 27,PHI,2-0,Sporting KC
Saturday,September 3,Chicago,3-0,PHI
Saturday,September 10,PHI,1-1,Montreal
Saturday,September 17,Portland,2-1,PHI
Saturday,September 24,Toronto FC,1-1,PHI
Saturday,October 1,NY Red Bulls,3-2,PHI
Sunday,October 16,PHI,0-2,Orlando
Sunday,October 23,PHI,0-2,NY Red Bulls
