Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,W,L,T,ShO,W%,Sv%
David Bingham,LA,GK,34,34,3015,146,106,39,1.15,4/4,8,12,14,8,23.5,72.6
Joe Bendik,ORL,GK,34,34,3060,178,114,60,1.76,4/7,9,11,14,5,26.5,64.0
Luis Robles,RBNY,GK,34,34,3060,143,100,44,1.29,3/4,16,9,9,11,47.1,69.9
Evan Bush,MTL,GK,33,33,2931,155,101,50,1.52,4/5,11,11,11,6,33.3,65.2
David Ousted,DC,GK,33,33,2970,166,110,52,1.58,6/8,10,15,8,6,30.3,66.3
Josh Saunders,NYC,GK,33,33,2970,158,98,56,1.7,5/6,14,10,9,8,42.4,62.0
Stefan Frei,SEA,GK,33,33,2970,137,91,41,1.24,6/8,14,13,6,8,42.4,66.4
Steve Clark,DC,GK,32,32,2880,161,112,51,1.59,4/5,8,12,12,8,25.0,69.6
Andre Blake,PHI,GK,32,32,2880,150,99,50,1.56,0/1,10,13,9,6,31.3,66.0
Brian Rowe,VAN,GK,31,30,2765,148,113,33,1.1,2/3,12,5,14,9,38.7,76.4
Nick Rimando,RSL,GK,30,30,2700,137,91,40,1.33,3/5,11,9,10,6,36.7,66.4
Jake Gleeson,POR,GK,28,27,2470,160,118,40,1.48,6/6,11,11,6,6,39.3,73.8
Chris Seitz,HOU,GK,28,28,2520,95,63,29,1.04,3/4,14,5,9,10,50.0,66.3
Tim Melia,SKC,GK,27,27,2430,95,66,30,1.11,3/4,11,11,5,8,40.7,69.5
Joe Willis,HOU,GK,26,24,2275,129,89,39,1.63,5/6,5,12,9,5,19.2,69.0
Sean Johnson,NYC,GK,22,22,1980,106,68,37,1.68,1/1,6,10,6,5,27.3,64.2
Bobby Shuttleworth,MIN,GK,21,20,1814,89,50,38,1.9,4/6,4,9,8,5,19.0,56.2
Bill Hamid,DC,GK,20,20,1800,93,68,25,1.25,3/3,8,3,9,5,40.0,73.1
Clint Irwin,TOR,GK,19,19,1690,76,50,23,1.21,2/2,6,6,6,6,31.6,65.8
Tim Howard,COL,GK,17,17,1530,73,54,19,1.12,4/7,6,3,8,7,35.3,74.0
Zac MacMath,COL,GK,17,17,1530,57,39,13,0.76,0/1,9,3,5,6,52.9,68.4
Alex Bono,TOR,GK,16,15,1370,60,42,16,1.07,1/1,8,3,5,4,50.0,70.0
Brad Knighton,NE,GK,13,13,1153,49,31,16,1.23,3/3,6,5,1,2,46.2,63.3
Travis Worra,DC,GK,13,13,1170,52,34,18,1.38,0/0,3,6,4,4,23.1,65.4
Matt Lampson,MIN,GK,11,11,990,76,55,18,1.64,1/1,1,6,4,3,9.1,72.4
Tyler Deric,HOU,GK,10,10,772,37,31,6,0.6,0/0,2,2,4,4,20.0,83.8
Adam Kwarasey,POR,GK,7,7,590,31,19,13,1.86,1/1,1,3,2,0,14.3,61.3
Alec Kann,ATL,GK,7,7,630,28,17,11,1.57,0/0,2,2,3,2,28.6,60.7
Jesse Gonzalez,DAL,GK,6,6,540,22,12,11,1.83,0/0,3,3,0,2,50.0,54.5
Jeff Attinella,POR,GK,4,4,360,13,8,6,1.5,1/1,1,3,0,0,25.0,61.5
Dan Kennedy,LA,GK,3,2,115,7,4,3,1.5,0/0,0,0,1,0,0.0,57.1
Eric Kronberg,MTL,GK,2,1,128,5,2,3,3.0,1/1,0,0,1,0,0.0,40.0
Clement Diop,MTL,GK,2,2,180,15,11,3,1.5,1/1,0,1,1,0,0.0,73.3
Brad Stuver,NYC,GK,2,2,180,15,8,7,3.5,0/1,0,2,0,0,0.0,53.3
Andrew Tarbell,SJ,GK,1,0,45,2,1,1,1.0,1/1,0,0,0,0,0.0,50.0
Patrick McLain,CHI,GK,1,1,90,6,3,3,3.0,1/1,0,1,0,0,0.0,50.0
John McCarthy,PHI,GK,1,1,90,5,3,3,3.0,0/0,0,1,0,0,0.0,60.0
Matt Jones,PHI,GK,1,1,90,5,2,2,2.0,0/0,1,0,0,0,100.0,40.0
Tyler Miller,LAFC,GK,1,1,90,4,2,2,2.0,0/0,0,1,0,0,0.0,50.0
Cody Cropper,NE,GK,1,1,90,2,2,0,0.0,0/0,1,0,0,1,100.0,100.0
Eirik Johansen,NYC,GK,1,1,90,6,5,1,1.0,0/0,1,0,0,0,100.0,83.3
Paolo Tornaghi,VAN,GK,1,1,90,6,6,0,0.0,0/0,0,0,1,1,0.0,100.0
Andrew Dykstra,COL,GK,1,1,90,7,3,4,4.0,1/1,0,1,0,0,0.0,42.9
Chris Konopka,POR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Tally Hall,DC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Kyle Reynish,NY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Bryan Meredith,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Ryan Meara,RBNY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Quillan Roberts,TOR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Lalo Fernandez,RSL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Jon Kempin,CLB,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
