Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,Sv%
Jake Gleeson,POR,GK,28,27,2470,160,118,40,1.48,6/6,73.8
Joe Bendik,ORL,GK,34,34,3060,178,114,60,1.76,4/7,64.0
Brian Rowe,VAN,GK,31,30,2765,148,113,33,1.1,2/3,76.4
Steve Clark,DC,GK,32,32,2880,161,112,51,1.59,4/5,69.6
David Ousted,DC,GK,33,33,2970,166,110,52,1.58,6/8,66.3
David Bingham,LA,GK,34,34,3015,146,106,39,1.15,4/4,72.6
Evan Bush,MTL,GK,33,33,2931,155,101,50,1.52,4/5,65.2
Luis Robles,RBNY,GK,34,34,3060,143,100,44,1.29,3/4,69.9
Andre Blake,PHI,GK,32,32,2880,150,99,50,1.56,0/1,66.0
Josh Saunders,NYC,GK,33,33,2970,158,98,56,1.7,5/6,62.0
Stefan Frei,SEA,GK,33,33,2970,137,91,41,1.24,6/8,66.4
Nick Rimando,RSL,GK,30,30,2700,137,91,40,1.33,3/5,66.4
Joe Willis,HOU,GK,26,24,2275,129,89,39,1.63,5/6,69.0
Bill Hamid,DC,GK,20,20,1800,93,68,25,1.25,3/3,73.1
Sean Johnson,NYC,GK,22,22,1980,106,68,37,1.68,1/1,64.2
Tim Melia,SKC,GK,27,27,2430,95,66,30,1.11,3/4,69.5
Chris Seitz,HOU,GK,28,28,2520,95,63,29,1.04,3/4,66.3
Matt Lampson,MIN,GK,11,11,990,76,55,18,1.64,1/1,72.4
Tim Howard,COL,GK,17,17,1530,73,54,19,1.12,4/7,74.0
Clint Irwin,TOR,GK,19,19,1690,76,50,23,1.21,2/2,65.8
Bobby Shuttleworth,MIN,GK,21,20,1814,89,50,38,1.9,4/6,56.2
Alex Bono,TOR,GK,16,15,1370,60,42,16,1.07,1/1,70.0
Zac MacMath,COL,GK,17,17,1530,57,39,13,0.76,0/1,68.4
Travis Worra,DC,GK,13,13,1170,52,34,18,1.38,0/0,65.4
Tyler Deric,HOU,GK,10,10,772,37,31,6,0.6,0/0,83.8
Brad Knighton,NE,GK,13,13,1153,49,31,16,1.23,3/3,63.3
Adam Kwarasey,POR,GK,7,7,590,31,19,13,1.86,1/1,61.3
Alec Kann,ATL,GK,7,7,630,28,17,11,1.57,0/0,60.7
Jesse Gonzalez,DAL,GK,6,6,540,22,12,11,1.83,0/0,54.5
Clement Diop,MTL,GK,2,2,180,15,11,3,1.5,1/1,73.3
Jeff Attinella,POR,GK,4,4,360,13,8,6,1.5,1/1,61.5
Brad Stuver,NYC,GK,2,2,180,15,8,7,3.5,0/1,53.3
Paolo Tornaghi,VAN,GK,1,1,90,6,6,0,0.0,0/0,100.0
Eirik Johansen,NYC,GK,1,1,90,6,5,1,1.0,0/0,83.3
Dan Kennedy,LA,GK,3,2,115,7,4,3,1.5,0/0,57.1
John McCarthy,PHI,GK,1,1,90,5,3,3,3.0,0/0,60.0
Patrick McLain,CHI,GK,1,1,90,6,3,3,3.0,1/1,50.0
Andrew Dykstra,COL,GK,1,1,90,7,3,4,4.0,1/1,42.9
Cody Cropper,NE,GK,1,1,90,2,2,0,0.0,0/0,100.0
Tyler Miller,LAFC,GK,1,1,90,4,2,2,2.0,0/0,50.0
Matt Jones,PHI,GK,1,1,90,5,2,2,2.0,0/0,40.0
Eric Kronberg,MTL,GK,2,1,128,5,2,3,3.0,1/1,40.0
Andrew Tarbell,SJ,GK,1,0,45,2,1,1,1.0,1/1,50.0
Chris Froschauer,COL,GK,0,0,0,0,0,0,0.0,0/0,0.0
Matt Pacifici,CLB,GK,0,0,0,0,0,0,0.0,0/0,0.0
Andre Rawls,NYC,GK,0,0,0,0,0,0,0.0,0/0,0.0
Matt Turner,NE,GK,0,0,0,0,0,0,0.0,0/0,0.0
Charlie Lyon,LAFC,GK,0,0,0,0,0,0,0.0,0/0,0.0
Calle Brown,SEA,GK,0,0,0,0,0,0,0.0,0/0,0.0
Wade Hamilton,POR,GK,0,0,0,0,0,0,0.0,0/0,0.0
Mason Stajduhar,ORL,GK,0,0,0,0,0,0,0,0/0,0.0
Earl Edwards Jr.,ORL,GK,0,0,0,0,0,0,0,0/0,0.0
Quillan Roberts,TOR,GK,0,0,0,0,0,0,0,0/0,0.0
Lalo Fernandez,RSL,GK,0,0,0,0,0,0,0,0/0,0.0
Maxime Crepeau,MTL,GK,0,0,0,0,0,0,0,0/0,0.0
Zack Steffen,CLB,GK,0,0,0,0,0,0,0,0/0,0.0
Charlie Horton,DC,GK,0,0,0,0,0,0,0,0/0,0.0
Ryan Herman,DAL,GK,0,0,0,0,0,0,0,0/0,0.0
Marco Carducci,VAN,GK,0,0,0,0,0,0,0,0/0,0.0
John Berner,COL,GK,0,0,0,0,0,0,0,0/0,0.0
Chris Konopka,POR,GK,0,0,0,0,0,0,0,0/0,0.0
Tally Hall,DC,GK,0,0,0,0,0,0,0,0/0,0.0
Kyle Reynish,NY,GK,0,0,0,0,0,0,0,0/0,0.0
Bryan Meredith,SEA,GK,0,0,0,0,0,0,0,0/0,0.0
Ryan Meara,RBNY,GK,0,0,0,0,0,0,0,0/0,0.0
Jon Kempin,CLB,GK,0,0,0,0,0,0,0,0/0,0.0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
