Player,Club,POS,GP,GS,A,GWA,HmA,RdA,A/90min
Sacha Kljestan,ORL,M,32,30,20,7,12,8,0.69
Sebastian Giovinco,TOR,F,28,28,15,5,7,8,0.56
Mauro Diaz,DAL,M,27,24,13,7,11,2,0.54
Benny Feilhaber,LAFC,M,30,28,13,4,7,6,0.46
Justin Meram,ORL,M,33,31,13,2,8,5,0.45
Giovani dos Santos,LA,F,28,27,12,2,6,6,0.46
Joao Plata,RSL,F,30,28,12,3,8,4,0.44
Steven Gerrard,LA,M,21,18,11,1,6,5,0.66
Luciano Acosta,DC,M-F,31,25,11,3,8,3,0.47
Andrea Pirlo,NYC,M,32,32,11,4,4,7,0.36
Kaká,ORL,M,24,23,10,3,9,1,0.46
Lloyd Sam,DC,M-F,29,26,10,5,8,2,0.44
Lee Nguyen,NE,M,33,33,10,2,9,1,0.31
Khiry Shelton,SKC,F,22,13,9,3,7,2,0.7
Arturo Alvarez,HOU,M,30,24,9,0,4,5,0.42
Thomas McNamara,NYC,M,30,28,9,5,4,5,0.36
Boniek Garcia,HOU,M,31,24,9,1,2,7,0.36
Ethan Finlay,MIN,F,34,27,9,1,2,7,0.33
Nicolás Lodeiro,SEA,M,13,13,8,2,3,5,0.62
Patrick Nyarko,DC,F-M,26,23,8,1,7,1,0.39
Andreas Ivanschitz,SEA,M,28,25,8,3,6,2,0.38
Sebastian Lletget,LA,M,31,23,8,1,4,4,0.35
Christian Bolaños,VAN,M,27,23,8,1,7,1,0.34
Kevin Molino,MIN,M,30,26,8,0,4,4,0.31
Fabian Herbers,PHI,M,32,13,7,0,3,4,0.49
Jack Harrison,NYC,F,21,17,7,1,6,1,0.4
Sébastien Le Toux,COL,F,32,21,7,2,4,3,0.34
Diego Valeri,POR,M,30,30,7,2,5,2,0.24
Kelyn Rowe,NE,M,33,32,7,1,3,4,0.23
Felipe,VAN,M,33,33,7,0,4,3,0.22
Marlon Hairston,COL,M,21,14,6,1,4,2,0.42
Alex Muyl,RBNY,M,27,18,6,1,3,3,0.34
Didier Drogba,CIV,F,22,18,6,0,3,3,0.33
RJ Allen,ORL,D,24,19,6,1,2,4,0.31
Lamar Neagle,SEA,M,31,21,6,0,4,2,0.28
Dominic Oduro,MTL,M,31,22,6,3,1,5,0.27
Pedro Morales,VAN,M,27,26,6,0,4,2,0.26
Diego Fagundez,NE,M,34,24,6,1,3,3,0.24
Saad Abdul-Salaam,NYC,D,30,26,6,1,4,2,0.23
Mike Grella,CLB,M,32,28,6,0,3,3,0.22
Fabinho,PHI,D,29,29,6,3,2,4,0.21
Chris Pontius,LA,F,33,32,6,0,2,4,0.21
Taylor Kemp,DC,D,31,30,6,2,5,1,0.2
Ignacio Piatti,MTL,M,32,31,6,1,5,1,0.19
Shea Salinas,SJ,M,33,8,5,1,4,1,0.37
Juan Agudelo,NE,F,24,14,5,1,4,1,0.33
Jozy Altidore,TOR,F,23,16,5,3,1,4,0.3
Emmanuel Boateng,LA,M,26,17,5,1,3,2,0.29
Gyasi Zardes,CLB,F,19,17,5,3,3,2,0.28
Will Johnson,ORL,M,23,19,5,0,0,5,0.27
Fabian Castillo,DAL,M-F,22,20,5,0,3,2,0.26
David Accam,PHI,M,24,21,5,1,3,2,0.23
Ronald Matarrita,NYC,D,25,23,5,1,3,2,0.23
Mohammed Saeid,CLB,M,25,24,5,2,5,0,0.22
Michael Bradley,TOR,M,24,24,5,1,4,1,0.21
Demar Phillips,RSL,D,29,23,5,1,3,2,0.21
Dax McCarty,CHI,M,27,26,5,0,3,2,0.2
Lucas Melano,POR,F,31,27,5,0,4,1,0.2
Ambroise Oyongo,MTL,D,27,26,5,0,4,1,0.19
Kellyn Acosta,DAL,M,32,24,5,1,3,2,0.19
Darlington Nagbe,ATL,M,27,27,5,0,3,2,0.19
Jonathan Osorio,TOR,M,30,26,5,1,3,2,0.18
Roger Espinoza,SKC,M,30,30,5,2,4,1,0.17
Bradley Wright-Phillips,RBNY,F,34,32,5,2,2,3,0.16
Julian Buescher,DC,M,20,3,4,0,1,3,0.62
Matteo Mancosu,MTL,F,15,7,4,2,1,3,0.47
Carlos Rivas,RBNY,F,21,8,4,1,1,3,0.45
Marco Pappa,COL,M,20,10,4,1,1,3,0.4
Corey Ashe,CLB,M,18,14,4,0,2,2,0.3
John Goossens,CHI,M,24,15,4,0,2,2,0.28
Mike Magee,LA,M,30,16,4,0,4,0,0.25
Mekeil Williams,COL,D,21,17,4,1,3,1,0.25
Tesho Akindele,DAL,F,31,15,4,0,2,2,0.24
Marco Donadel,MTL,M,21,18,4,1,3,1,0.24
Gershon Koffie,NE,M,22,19,4,1,2,2,0.23
Dominique Badji,COL,F,27,17,4,2,4,0,0.23
Graham Zusi,SKC,D-M,21,18,4,3,3,1,0.22
Cristian Maidana,HOU,M,30,21,4,1,3,1,0.21
Dillon Powers,ORL,M,29,24,4,1,2,2,0.17
Shkelzen Gashi,COL,M-F,26,25,4,0,1,3,0.17
Javier Morales,RSL,M,29,23,4,0,3,1,0.16
Alberto Quintero,SJ,M,30,29,4,3,3,1,0.16
Tranquillo Barnetta,PHI,M,29,25,4,2,3,1,0.16
Jelle Van Damme,LA,D,28,28,4,1,3,1,0.15
Maximiliano Urruti,DAL,F,30,29,4,1,2,2,0.15
