Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,PKG/A,SC%,SOG%
Sebastian Giovinco,TOR,F,28,28,2418,17,15,177,59,4/4,9.6,33.3
David Villa,NYC,F,33,32,2869,23,4,166,68,5/6,13.9,41.0
Dom Dwyer,ORL,F,33,31,2823,16,3,119,44,0/0,13.4,37.0
Diego Valeri,POR,M,30,30,2634,14,7,112,38,4/4,12.5,33.9
Kei Kamara,VAN,F,30,30,2659,12,2,106,37,1/1,11.3,34.9
Bradley Wright-Phillips,RBNY,F,34,32,2761,24,5,103,56,0/1,23.3,54.4
Ignacio Piatti,MTL,M,32,31,2818,17,6,95,42,3/3,17.9,44.2
Shkelzen Gashi,COL,M-F,26,25,2123,9,4,92,40,1/2,9.8,43.5
Maximiliano Urruti,DAL,F,30,29,2482,9,4,91,36,0/0,9.9,39.6
Didier Drogba,CIV,F,22,18,1650,10,6,90,35,2/3,11.1,38.9
Fanendo Adi,POR,F,33,30,2649,16,2,88,37,2/4,18.2,42.0
Ola Kamara,LA,F,25,20,1859,16,2,80,38,2/3,20.0,47.5
Chris Wondolowski,SJ,F,30,30,2697,12,3,78,31,3/5,15.4,39.7
Joao Plata,RSL,F,30,28,2478,9,12,77,33,2/3,11.7,42.9
Justin Meram,ORL,M,33,31,2605,5,13,76,27,1/1,6.6,35.5
Kevin Doyle,COL,F,26,24,2178,6,2,73,15,1/1,8.2,20.5
Cyle Larin,ORL,F,32,29,2455,14,3,73,33,0/0,19.2,45.2
David Accam,PHI,M,24,21,1935,9,5,71,28,2/2,12.7,39.4
Jordan Morris,SEA,F,34,32,2856,12,4,71,36,0/0,16.9,50.7
Yura Movsisyan,RSL,F,29,25,2161,9,3,68,28,2/3,13.2,41.2
Lee Nguyen,NE,M,33,33,2900,6,10,68,29,3/4,8.8,42.6
Chris Pontius,LA,F,33,32,2571,12,6,66,35,0/0,18.2,53.0
Clint Dempsey,SEA,F,17,17,1429,8,2,65,22,2/3,12.3,33.8
Diego Fagundez,NE,M,34,24,2237,6,6,64,22,0/0,9.4,34.4
Simon Dawkins,SJ,M,29,28,2402,5,2,64,18,0/0,7.8,28.1
Kelyn Rowe,NE,M,33,32,2787,5,7,64,25,0/0,7.8,39.1
Giovani dos Santos,LA,F,28,27,2350,14,12,63,31,1/1,22.2,49.2
Kaká,ORL,M,24,23,1955,9,10,62,29,4/5,14.5,46.8
Tranquillo Barnetta,PHI,M,29,25,2311,5,4,60,28,0/0,8.3,46.7
CJ Sapong,PHI,F,31,29,2535,7,2,60,22,1/1,11.7,36.7
Will Bruin,SEA,F,31,18,1554,4,3,59,22,0/0,6.8,37.3
Kevin Molino,MIN,M,30,26,2316,11,8,59,22,1/1,18.6,37.3
Kennedy Igboananike,CHI,F,25,20,1754,5,1,57,19,0/0,8.8,33.3
Felipe,VAN,M,33,33,2898,5,7,54,22,0/0,9.3,40.7
Juan Agudelo,NE,F,24,14,1349,7,5,52,18,0/0,13.5,34.6
Giles Barnes,HOU,M,24,21,1807,6,3,51,19,0/0,11.8,37.3
Lamar Neagle,SEA,M,31,21,1950,9,6,51,21,2/2,17.6,41.2
Pedro Morales,VAN,M,27,26,2073,9,6,51,25,6/6,17.6,49.0
Nicolas Mezquida,VAN,M,28,17,1395,4,1,50,19,0/0,8.0,38.0
Quincy Amarikwa,SJ,F,23,22,1699,3,3,50,12,0/0,6.0,24.0
Luciano Acosta,DC,M-F,31,25,2109,3,11,50,14,0/0,6.0,28.0
Michael Barrios,DAL,M,32,30,2454,9,2,50,26,0/0,18.0,52.0
Teal Bunbury,NE,F,27,19,1666,2,2,49,9,0/0,4.1,18.4
Luis Solignac,CHI,F,31,24,2177,5,2,49,22,0/0,10.2,44.9
Roger Espinoza,SKC,M,30,30,2679,1,5,48,12,0/0,2.1,25.0
Roland Alberg,PHI,M,28,13,1153,9,3,47,17,4/4,19.1,36.2
Dominique Badji,COL,F,27,17,1571,6,4,47,19,0/0,12.8,40.4
Mauro Diaz,DAL,M,27,24,2149,5,13,47,14,3/3,10.6,29.8
Juan Manuel Martínez,RSL,M-F,32,29,2519,7,3,47,17,0/0,14.9,36.2
Ethan Finlay,MIN,F,34,27,2462,6,9,46,22,1/1,13.0,47.8
Steven Mendoza,NYC,F,24,10,1139,5,1,45,10,0/0,11.1,22.2
Federico Higuain,CLB,M,20,18,1607,4,3,45,14,1/1,8.9,31.1
Benny Feilhaber,LAFC,M,30,28,2563,7,13,45,13,5/5,15.6,28.9
Patrick Mullins,DC,F,21,14,1278,8,3,44,23,0/0,18.2,52.3
Andrew Wenger,HOU,F,32,24,2062,6,3,44,19,0/0,13.6,43.2
Lucas Melano,POR,F,31,27,2268,3,5,44,14,0/0,6.8,31.8
Jozy Altidore,TOR,F,23,16,1487,10,5,43,21,0/1,23.3,48.8
Cristian Techera,VAN,M,29,19,1584,2,2,43,17,1/1,4.7,39.5
Fabian Castillo,DAL,M-F,22,20,1752,5,5,43,20,0/0,11.6,46.5
Kyle Beckerman,RSL,M,27,27,2367,0,1,43,12,0/0,0.0,27.9
Ricardo Clark,CLB,M,32,29,2551,4,4,43,13,0/0,9.3,30.2
Osvaldo Alonso,SEA,M,32,32,2826,3,4,43,11,0/0,7.0,25.6
Luke Mulholland,RSL,M,33,23,2028,4,2,42,9,0/0,9.5,21.4
