Player,Club,POS,GP,GS,MINS,GA,GAA,PKG/A,W,L,T,ShO,W%
Luis Robles,RBNY,GK,34,34,3060,44,1.29,3/4,16,9,9,11,47.1
Chris Seitz,HOU,GK,28,28,2520,29,1.04,3/4,14,5,9,10,50.0
Brian Rowe,VAN,GK,31,30,2765,33,1.1,2/3,12,5,14,9,38.7
Tim Melia,SKC,GK,27,27,2430,30,1.11,3/4,11,11,5,8,40.7
Steve Clark,DC,GK,32,32,2880,51,1.59,4/5,8,12,12,8,25.0
Josh Saunders,NYC,GK,33,33,2970,56,1.7,5/6,14,10,9,8,42.4
Stefan Frei,SEA,GK,33,33,2970,41,1.24,6/8,14,13,6,8,42.4
David Bingham,LA,GK,34,34,3015,39,1.15,4/4,8,12,14,8,23.5
Tim Howard,COL,GK,17,17,1530,19,1.12,4/7,6,3,8,7,35.3
Zac MacMath,COL,GK,17,17,1530,13,0.76,0/1,9,3,5,6,52.9
Clint Irwin,TOR,GK,19,19,1690,23,1.21,2/2,6,6,6,6,31.6
Jake Gleeson,POR,GK,28,27,2470,40,1.48,6/6,11,11,6,6,39.3
Nick Rimando,RSL,GK,30,30,2700,40,1.33,3/5,11,9,10,6,36.7
Andre Blake,PHI,GK,32,32,2880,50,1.56,0/1,10,13,9,6,31.3
David Ousted,DC,GK,33,33,2970,52,1.58,6/8,10,15,8,6,30.3
Evan Bush,MTL,GK,33,33,2931,50,1.52,4/5,11,11,11,6,33.3
Bill Hamid,DC,GK,20,20,1800,25,1.25,3/3,8,3,9,5,40.0
Bobby Shuttleworth,MIN,GK,21,20,1814,38,1.9,4/6,4,9,8,5,19.0
Sean Johnson,NYC,GK,22,22,1980,37,1.68,1/1,6,10,6,5,27.3
Joe Willis,HOU,GK,26,24,2275,39,1.63,5/6,5,12,9,5,19.2
Joe Bendik,ORL,GK,34,34,3060,60,1.76,4/7,9,11,14,5,26.5
Tyler Deric,HOU,GK,10,10,772,6,0.6,0/0,2,2,4,4,20.0
Travis Worra,DC,GK,13,13,1170,18,1.38,0/0,3,6,4,4,23.1
Alex Bono,TOR,GK,16,15,1370,16,1.07,1/1,8,3,5,4,50.0
Matt Lampson,MIN,GK,11,11,990,18,1.64,1/1,1,6,4,3,9.1
Jesse Gonzalez,DAL,GK,6,6,540,11,1.83,0/0,3,3,0,2,50.0
Alec Kann,ATL,GK,7,7,630,11,1.57,0/0,2,2,3,2,28.6
Brad Knighton,NE,GK,13,13,1153,16,1.23,3/3,6,5,1,2,46.2
Paolo Tornaghi,VAN,GK,1,1,90,0,0.0,0/0,0,0,1,1,0.0
Cody Cropper,NE,GK,1,1,90,0,0.0,0/0,1,0,0,1,100.0
Ryan Meara,RBNY,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Jon Kempin,CLB,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Chris Konopka,POR,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Tally Hall,DC,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Kyle Reynish,NY,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Bryan Meredith,SEA,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Maxime Crepeau,MTL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Zack Steffen,CLB,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Charlie Horton,DC,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Ryan Herman,DAL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Marco Carducci,VAN,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
John Berner,COL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Earl Edwards Jr.,ORL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Quillan Roberts,TOR,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Lalo Fernandez,RSL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Charlie Lyon,LAFC,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Calle Brown,SEA,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Wade Hamilton,POR,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Mason Stajduhar,ORL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Chris Froschauer,COL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Matt Pacifici,CLB,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Andre Rawls,NYC,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Matt Turner,NE,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Andrew Tarbell,SJ,GK,1,0,45,1,1.0,1/1,0,0,0,0,0.0
John McCarthy,PHI,GK,1,1,90,3,3.0,0/0,0,1,0,0,0.0
Patrick McLain,CHI,GK,1,1,90,3,3.0,1/1,0,1,0,0,0.0
