round,home_team,home_score,away_score,away_team,notes
1,Bochum,3,3,Frankfurt,"(Fischer 1, 63, F.Schulz 48 - Trieb 22, 29,Kraaz 72)"
1,M'gladbach,3,1,Schalke,"(Mill 7, 9, 57 p - Dierßen 31)[Aug 25]"
1,Bielefeld,1,3,Bayern,"(Reich 56 - Dremmler 17, Nachtweih 67, Matthäus 81)"
1,B'schweig,1,3,1. FC Köln,"(Lux 45 p - Littbarski 36, K.Allofs 49 p, Hartwig 87)"
1,K'lautern,2,1,Stuttgart,(Brehme 18 19 p - Sigurvinsson 80 p)
1,Karlsruher,3,2,Mannheim,"(Keim 35, Günther 70, 74 - Sebert 66, Walter 75)"
1,Leverkusen,4,3,Düsseldorf,"(Röber 16, Winklhofer 24 p, Schreier 56, Cha 85 -Holmquist 2, Bockenfeld 42, Kuczinski 54)"
1,Dortmund,1,2,Hamburger,"(Zorc 73 p - von Heesen 61, Magath 87)"
2,Frankfurt,2,0,Leverkusen,"(Tobolik 27, Sievers 34) [76 Kroth (Frankfurt)m/pen]"
2,Stuttgart,6,1,B'schweig,"(Klinsmann 4, 77, Ohlicher 62, Allgöwer 65, 69,Kempe 79 - Gorski 82)"
2,Uerdingen,2,1,Dortmund,"(Herget 35, Gulich 84 - Zorc 7 p)(sent off: Egli (Dortmund, 80))[Aug 29]"
2,Schalke,2,3,Bochum,"(Dierßen 44, Täuber 47 - Schulz 48, Fischer 66,Kuntz 81)"
2,Düsseldorf,2,2,Karlsruher,"(Holmquist 36, Thiele 52 - Günther 4, Keim 86)"
2,Mannheim,1,1,K'lautern,(Bührer 2 - Moser 53)
2,Bayern,4,2,Werder,"(Rummenigge 15, Lerby 39, 53, 8 - Pezzey 43,Neubarth 61)"
2,Hamburger,1,1,M'gladbach,(Kaltz 86 p - Criens 4)[Sep 4]
2,1. FC Köln,1,1,Bielefeld,(K.Allofs 72 - Ozaki 52)[Sep 5]
2,Stuttgart,1,3,Bayern,"(Ohlicher 68 - Pflügler 37, Dürnberger 44,Wohlfahrt 90)"
3,Leverkusen,2,2,Schalke,"(Schreier 72, Cha 74 - Täuber 17 p, 42)"
3,Karlsruher,2,2,Frankfurt,"(Günther 85, Kraaz 88 o - U.Müller 74, Svensson 79)"
3,Dortmund,2,3,M'gladbach,"(Klotz 9, Wegmann 88 - Mill 32, 40, Hochstätter 63)[Sep 8]"
3,Uerdingen,1,3,Bayern,"(Herget 10 - Wohlfahrt 44, Lerby 76, Matthäus 88)"
3,Werder,6,2,1. FC Köln,"(Meier 20, 64, 66, Reinders 47 p, Völler 48,Neubarth 52 - K.Allofs 44, Hartwig 76)"
3,Bielefeld,2,7,Stuttgart,"(Kühlhorn 38, Reich 62 p - Allgöwer 10, 16, 27,Claesen 42, 63, 84, Kempe 71)"
3,B'schweig,0,1,Mannheim,"(Sebert 3 p)(sent off: Gaudino (Mannheim, 30))"
3,K'lautern,3,1,Düsseldorf,"(Geye 56, T.Allofs 67, Trunk 85 - Thiele 36)"
3,Bochum,0,0,Hamburger,
4,Schalke,3,1,Karlsruher,"(Thon 36, Opitz 47, Täuber 77 - Keim 89)"
