round,home_team,home_score,away_score,away_team,notes
1,Bayern,5,0,Hamburg,[Aug 15]
1,Mainz,0,1,Ingolstadt,
1,Leverkusen,2,1,Hoffenheim,
1,Augsburg,0,1,Hertha,
1,Darmstadt,2,2,Hannover,
1,Bremen,0,3,Schalke,
1,Dortmund,4,0,Mönchengladbach [Aug 16],
1,Wolfsburg,2,1,Frankfurt,
1,Stuttgart,1,3,Köln,
2,Hertha,1,1,Bremen,[Aug 22]
2,Köln,1,1,Wolfsburg,
2,Frankfurt,1,1,Augsburg,
2,Hannover,0,1,Leverkusen,
2,Hoffenheim,1,2,Bayern,
2,Schalke,1,1,Darmstadt,
2,Hamburg,3,2,Stuttgart,[Aug 23]
2,Ingolstadt,0,4,Dortmund,
2,Mönchengladbach,1,2,Mainz,
3,Wolfsburg,3,0,Schalke,[Aug 29]
3,Köln,2,1,Hamburg,
3,Mainz,3,0,Hannover,
3,Augsburg,0,1,Ingolstadt,
3,Darmstadt,0,0,Hoffenheim,
3,Stuttgart,1,4,Frankfurt,
3,Bayern,3,0,Leverkusen,[Aug 30]
3,Dortmund,3,1,Hertha,
3,Bremen,2,1,Mönchengladbach,
4,Mönchengladbach,0,3,Hamburg,[Sep 12]
4,Leverkusen,0,1,Darmstadt,
4,Bayern,2,1,Augsburg,
4,Ingolstadt,0,0,Wolfsburg,
4,Hannover,2,4,Dortmund,
4,Hertha,2,1,Stuttgart,
4,Frankfurt,6,2,Köln,[Sep 13]
4,Hoffenheim,1,3,Bremen,
4,Schalke,2,1,Mainz,
5,Mainz,3,1,Hoffenheim,[Sep 19]
5,Köln,1,0,Mönchengladbach,
5,Hamburg,0,0,Frankfurt,
5,Darmstadt,0,3,Bayern,
5,Wolfsburg,2,0,Hertha,
5,Bremen,0,1,Ingolstadt,[Sep 20]
5,Stuttgart,0,1,Schalke,
5,Dortmund,3,0,Leverkusen,
5,Augsburg,2,0,Hannover,
6,Bayern,5,1,Wolfsburg,
6,Ingolstadt,0,1,Hamburg,
6,Hertha,2,0,Köln,
6,Darmstadt,2,1,Bremen,[Sep 23]
6,Leverkusen,1,0,Mainz,
6,Mönchengladbach,4,2,Augsburg,
6,Hannover,1,3,Stuttgart,
6,Hoffenheim,1,1,Dortmund,
6,Schalke,2,0,Frankfurt,
7,Köln,1,1,Ingolstadt,[Sep 26]
7,Mainz,0,3,Bayern,
7,Augsburg,1,3,Hoffenheim,
7,Stuttgart,1,3,Mönchengladbach,
7,Wolfsburg,1,1,Hannover,
7,Bremen,0,3,Leverkusen,
7,Hamburg,0,1,Schalke,[Sep 27]
