Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA
N1,18/08/00,Sparta,Roda JC,2,2,D,1,1,D,2.35,3.2,2.55,2.6,3,2.2,2.4,3.25,2.5,2.35,3.3,2.45
N1,19/08/00,Graafschap,PSV Eindhoven,2,0,H,0,0,D,5,3.5,1.5,5,3.5,1.45,5,3.5,1.57,4.7,3.6,1.55
N1,19/08/00,Feyenoord,AZ Alkmaar,2,0,H,1,0,H,1.33,4.35,5.6,1.45,3.5,5,1.53,3.5,5.5,1.45,3.9,5.2
N1,19/08/00,NAC Breda,Waalwijk,0,1,A,0,0,D,2.2,3.3,2.6,2,3,2.9,2.2,3.25,2.75,2,3.4,2.9
N1,20/08/00,Groningen,Willem II,1,1,D,0,0,D,2.3,3.3,2.6,2.2,3,2.6,2.4,3.25,2.5,2.4,3.3,2.4
N1,20/08/00,Roosendaal,Nijmegen,2,3,A,1,2,A,2.2,3.45,2.6,2.2,3,2.6,2.25,3.3,2.63,2.3,3.35,2.45
N1,20/08/00,Utrecht,Heerenveen,2,0,H,1,0,H,2.5,3.3,2.35,2.6,3,2.2,2.4,3.25,2.5,2.4,3.3,2.4
N1,20/08/00,Vitesse,Twente,3,1,H,1,1,D,1.7,3.15,4.55,1.8,3,3.5,1.73,3.3,4.2,1.65,3.5,4.1
N1,22/08/00,Ajax,For Sittard,5,0,H,1,0,H,1.25,4.05,7,1.25,4.3,8,1.25,5,8,1.25,4.75,8
N1,23/08/00,Groningen,Nijmegen,4,4,D,2,2,D,1.9,3.2,3.5,1.75,3.1,3.6,1.91,3.25,3.4,1.85,3.3,3.4
N1,26/08/00,AZ Alkmaar,Roosendaal,3,0,H,1,0,H,1.43,3.8,5.2,1.3,4,7,1.36,4,7,1.3,4.2,7.5
N1,26/08/00,Graafschap,Roda JC,1,3,A,0,2,A,2.5,3.4,2.3,2.35,3,2.35,2.38,3.25,2.5,2.35,3.3,2.45
N1,26/08/00,For Sittard,Heerenveen,0,2,A,0,1,A,3,3.3,2.05,2.8,3,2.1,2.75,3.25,2.2,2.6,3.35,2.2
N1,26/08/00,NAC Breda,Groningen,5,1,H,1,1,D,2,3.3,3,2.2,3,2.6,2,3.2,3.2,1.85,3.45,3.25
N1,26/08/00,Willem II,Waalwijk,2,0,H,0,0,D,1.75,3.6,3.65,1.6,3.3,4,1.67,3.5,4.2,1.65,3.5,4
N1,27/08/00,Nijmegen,Vitesse,4,1,H,2,0,H,3,3,2.1,3.3,3.1,1.8,3.2,3.25,2,3.15,3.4,1.9
N1,27/08/00,Sparta,Ajax,3,0,H,0,0,D,3.8,3.5,1.7,3.4,3.2,1.75,4,3.4,1.73,3.8,3.5,1.7
N1,27/08/00,Twente,Feyenoord,1,2,A,1,1,D,2.45,3.05,2.5,2.35,3,2.35,2.5,3.25,2.38,2.5,3.3,2.3
N1,27/08/00,Utrecht,PSV Eindhoven,1,3,A,1,0,H,3.65,3.3,1.8,3.3,3.1,1.8,3.6,3.4,1.8,3.5,3.35,1.8
N1,03/09/00,Waalwijk,Roosendaal,2,1,H,1,0,H,1.45,3.65,5.6,1.4,3.6,5.5,1.5,3.75,5.25,1.45,3.75,5.5
N1,05/09/00,PSV Eindhoven,Willem II,2,2,D,1,0,H,1.33,3.9,7.2,1.3,4,7,1.36,4,7,1.35,4.1,6.5
N1,06/09/00,Ajax,Nijmegen,0,0,D,0,0,D,1.25,4.4,7,1.3,4,7,1.3,4.5,7.5,1.25,5,7.5
N1,06/09/00,Groningen,Graafschap,1,0,H,0,0,D,2.2,3.3,2.7,2.1,3,2.8,2.2,3.25,2.75,2.1,3.4,2.7
N1,06/09/00,NAC Breda,Roda JC,1,1,D,1,0,H,2.35,3.2,2.55,2.6,3,2.2,2.5,3.3,2.38,2.4,3.3,2.4
N1,06/09/00,Waalwijk,AZ Alkmaar,3,0,H,1,0,H,2.5,3.3,2.25,2.3,3,2.4,2.4,3.4,2.4,2.4,3.3,2.4
N1,06/09/00,Twente,Heerenveen,2,2,D,1,0,H,2.15,3.2,2.65,2.1,3,2.8,2.2,3.3,2.7,2.1,3.4,2.7
N1,06/09/00,Vitesse,Sparta,5,1,H,2,0,H,1.5,3.5,5.4,1.4,3.6,5.5,1.44,3.75,6,1.45,3.8,5.4
N1,08/09/00,For Sittard,PSV Eindhoven,0,3,A,0,2,A,4.3,3.35,1.6,5,3.5,1.45,4.75,3.6,1.57,4.25,3.6,1.6
N1,09/09/00,Ajax,Groningen,3,1,H,1,1,D,1.21,4.7,8.4,1.2,4.7,9,1.22,5,9,1.25,4.5,8.5
N1,09/09/00,Graafschap,AZ Alkmaar,4,2,H,2,0,H,2.3,3.3,2.5,2.35,3,2.35,2.38,3.25,2.5,2.3,3.3,2.5
N1,09/09/00,Feyenoord,Waalwijk,3,1,H,2,0,H,1.33,4.25,6.4,1.25,4.3,8,1.33,4.2,7.5,1.3,4.4,7
N1,09/09/00,Heerenveen,NAC Breda,2,1,H,0,1,A,1.4,3.7,5.7,1.35,3.8,6.2,1.44,3.75,6,1.45,3.9,5.2
N1,09/09/00,Roda JC,Twente,2,2,D,1,1,D,2,3.4,2.9,1.9,3,3.1,2,3.2,3.2,2.1,3.4,2.7
N1,09/09/00,Willem II,Vitesse,2,2,D,1,2,A,2.1,3.4,2.7,2.1,3,2.8,2.25,3.2,2.7,2.3,3.4,2.45
N1,10/09/00,Nijmegen,Utrecht,1,1,D,0,0,D,2,3.4,3,2.1,3,2.8,2,3.3,3.1,2.15,3.4,2.65
N1,10/09/00,Sparta,Roosendaal,3,5,A,3,2,H,1.43,3.9,5.4,1.4,3.6,5.5,1.44,3.75,6,1.4,3.9,6
N1,13/09/00,NAC Breda,Roosendaal,2,1,H,1,1,D,,,,1.5,3.4,4.7,,,,,,
N1,16/09/00,NAC Breda,Graafschap,3,0,H,2,0,H,2,3.45,3,2,3,2.9,2,3.4,3,1.8,3.4,3.5
