Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
N1,18/08/06,Sparta,Vitesse,1,2,A,0,2,A,2.37,3.2,2.62,2.45,3.2,2.55,2.4,3.25,2.55,2.5,3.2,2.5,2.38,3.2,2.6,2.5,3.2,2.6,2.25,3.4,2.6,2.5,3.2,2.5,2.35,3.2,2.6,26,2.55,2.46,3.35,3.24,2.65,2.55,18,1.86,1.79,1.99,1.94,9,0,1.94,1.86,1.98,1.91
N1,19/08/06,AZ Alkmaar,NAC Breda,8,1,H,2,0,H,1.28,4.5,8.5,1.35,4.2,7.5,1.3,4.33,8.5,1.3,4.4,8.5,1.33,4,8,1.3,4.5,9.5,1.28,4.5,8,1.33,4.33,8,1.33,4,9,38,1.33,1.29,5.04,4.58,10,8.59,27,1.6,1.55,2.4,2.24,14,-1.5,2,1.92,1.95,1.9
N1,19/08/06,Den Haag,Heerenveen,2,3,A,1,1,D,2.75,3.25,2.25,2.9,3.3,2.15,2.8,3.3,2.2,3.1,3.2,2.1,3,3.2,2.1,3.2,3.2,2.1,2.6,3.4,2.25,3.4,3.4,1.91,2.8,3.25,2.2,36,3.4,2.94,3.5,3.29,2.3,2.17,24,1.86,1.8,2.08,1.94,15,0.25,2.05,2.01,1.93,1.86
N1,19/08/06,Excelsior,Roda JC,0,1,A,0,1,A,2.7,3.2,2.3,2.8,3.2,2.3,2.8,3.3,2.2,2.7,3.2,2.3,3,3.2,2.1,3.25,3.4,2,2.9,3.4,2.05,2.88,3.4,2.1,2.75,3.25,2.25,33,3.55,3.06,3.45,3.27,2.3,2.11,23,1.8,1.71,2.15,2.01,13,0,2.55,2.15,1.65,1.57
N1,19/08/06,Willem II,Utrecht,2,1,H,1,1,D,2.62,3.2,2.37,2.7,3.25,2.3,2.5,3.25,2.45,2.7,3.2,2.3,2.6,3.2,2.38,2.8,3.2,2.3,2.7,3.3,2.2,2.63,3.4,2.25,2.65,3.25,2.3,35,2.8,2.53,3.4,3.26,2.75,2.46,22,1.83,1.75,2.07,1.97,14,0,1.9,1.79,2.1,1.91
N1,20/08/06,Ajax,Waalwijk,5,0,H,2,0,H,1.22,5,10,1.3,4.3,9,1.22,5,11,1.25,4.5,9,1.29,4.5,8,1.25,5,10,1.25,5,8,1.25,5,9,1.2,5,11,35,1.3,1.23,6.1,5.14,13,10.35,23,1.6,1.56,2.4,2.22,13,-1.75,1.98,1.97,1.9,1.88
N1,20/08/06,Groningen,Feyenoord,3,0,H,0,0,D,3,3.25,2.1,3.05,3.4,2.05,2.9,3.25,2.15,3.3,3.2,2,2.75,3.25,2.2,3.4,3.25,2,2.7,3.3,2.2,2.75,3.4,2.2,2.75,3.25,2.25,35,3.1,2.94,3.4,3.25,2.4,2.18,21,1.83,1.73,2.1,1.95,14,0.25,1.85,1.8,2.13,2.07
N1,20/08/06,Heracles,Twente,3,0,H,1,0,H,2.7,3.2,2.3,2.4,3.2,2.6,2.55,3.25,2.4,2.5,3.2,2.5,,,,2.62,3.3,2.4,2.5,3.3,2.37,2.5,3.4,2.38,2.6,3.25,2.4,35,2.9,2.63,3.4,3.27,2.5,2.39,22,1.92,1.81,2,1.92,14,0,2.32,2.09,1.8,1.7
N1,20/08/06,PSV Eindhoven,Nijmegen,3,1,H,2,0,H,1.25,5,8.5,1.25,5,9,1.22,5,11,1.25,4.8,9.5,1.25,4.5,10,1.25,5,10,1.2,5,11,1.22,5,11,1.22,5,10,36,1.25,1.22,6.12,5.23,13.95,10.52,25,1.65,1.56,2.4,2.22,13,-1.5,1.76,1.75,2.22,2.13
N1,25/08/06,Roda JC,Den Haag,1,0,H,0,0,D,1.61,3.4,5,1.57,3.55,5.2,1.6,3.5,5,1.55,3.5,4.8,1.57,3.5,5,1.57,3.6,5.25,1.53,3.75,4.8,1.57,3.5,5,1.55,3.5,5,41,1.66,1.58,3.85,3.54,6.4,5.16,29,1.7,1.64,2.37,2.1,18,-1,1.99,1.95,1.93,1.85
