Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
I1,30/09/00,Bari,Verona,1,1,D,0,0,D,1.9,2.9,3.7,1.9,2.7,3.4,1.85,3.2,3.75,1.9,3,4,1.83,3,4
I1,30/09/00,Napoli,Juventus,1,2,A,1,0,H,3.4,2.9,1.95,3,2.8,2.1,3.75,3,1.9,3.75,3.1,1.91,3.75,2.8,2
I1,01/10/00,Atalanta,Lazio,2,2,D,1,1,D,,,,3.6,3.1,1.75,4.3,3.2,1.7,3.75,3.25,1.8,4,3.1,1.8
I1,01/10/00,Milan,Vicenza,2,0,H,1,0,H,1.2,5,10,1.25,4.3,8,1.25,4.5,10,1.25,4.6,10,1.25,4.33,11
I1,01/10/00,Parma,Fiorentina,2,2,D,1,0,H,1.7,3.1,4.6,1.65,3.1,4,1.7,3.2,4.3,1.65,3.25,4.5,1.72,3.1,4.5
I1,01/10/00,Perugia,Lecce,1,1,D,0,1,A,1.85,3.05,3.8,1.7,3.1,3.8,1.8,3.2,4,1.95,3.1,3.5,1.9,2.87,4
I1,01/10/00,Reggina,Inter,2,1,H,1,1,D,3.8,2.9,1.9,3.5,3,1.8,4,3.2,1.8,4,3.1,1.85,4,2.87,1.9
I1,01/10/00,Roma,Bologna,2,0,H,1,0,H,1.43,3.3,6.5,1.45,3.5,5,1.45,3.5,7,1.4,3.6,7,1.36,3.75,8
I1,01/10/00,Udinese,Brescia,4,2,H,1,0,H,1.57,3.3,5.2,1.5,3.4,4.7,1.55,3.25,5.5,1.57,3.4,5.5,1.53,3.4,5.5
I1,14/10/00,Inter,Napoli,3,1,H,3,0,H,1.25,4.55,8.5,1.4,3.6,5.5,1.4,3.75,7,1.35,4,8,1.33,4,8
I1,14/10/00,Lazio,Perugia,3,0,H,1,0,H,1.2,5,10,1.2,4.7,9,1.25,4.5,10,1.2,5,12,1.2,5,11
I1,15/10/00,Bologna,Milan,2,1,H,1,0,H,3.4,2.85,2.1,3,2.9,2,3.4,3,2,3.25,3,2.1,3.2,2.8,2.2
I1,15/10/00,Brescia,Parma,0,0,D,0,0,D,3.2,2.85,2.2,3,2.9,2,3.2,3,2.1,3.1,2.9,2.25,3.25,2.75,2.2
I1,15/10/00,Fiorentina,Reggina,2,1,H,0,0,D,1.35,3.7,8.5,1.4,3.6,5.5,1.4,3.5,8,1.4,3.75,7.5,1.36,3.75,8
I1,15/10/00,Juventus,Bari,2,0,H,1,0,H,1.23,4.55,10,1.3,4,7,1.2,4.5,11,1.29,4.33,9,1.25,4.5,10
I1,15/10/00,Lecce,Roma,0,4,A,0,2,A,3.6,2.8,2.05,3,2.9,2,3.75,3,1.9,3.25,3,2.05,3.3,2.87,2.1
I1,15/10/00,Verona,Udinese,1,1,D,0,0,D,2.45,2.8,2.8,2.1,2.9,2.9,2.5,2.85,2.6,2.4,2.88,2.88,2.4,2.8,2.87
I1,15/10/00,Vicenza,Atalanta,1,2,A,0,0,D,2.1,2.8,3.4,1.9,2.8,3.3,2,3,3.4,2.1,2.88,3.4,2.1,2.8,3.4
I1,21/10/00,Milan,Juventus,2,2,D,0,0,D,2.15,3,3.15,2,2.7,3.2,2.25,2.85,3,2.2,2.9,3.1,2.2,2.87,3.1
I1,21/10/00,Udinese,Inter,3,0,H,1,0,H,2.45,3,2.65,2.7,2.9,2.2,,,,2.8,2.9,2.4,2.8,2.75,2.5
I1,22/10/00,Bari,Atalanta,0,2,A,0,0,D,2.17,2.9,3.25,2,2.7,3.2,2.2,2.8,3.2,2.1,2.88,3.4,2.1,2.8,3.4
I1,22/10/00,Brescia,Fiorentina,1,1,D,0,0,D,2.45,3,2.65,2.4,2.9,2.4,2.5,2.85,2.6,2.75,2.88,2.5,2.75,2.9,2.4
I1,22/10/00,Napoli,Bologna,1,5,A,0,2,A,2.2,2.9,3.15,1.9,2.9,3.2,2.25,2.85,3,2.25,2.88,3.1,2.25,3,2.87
I1,22/10/00,Perugia,Parma,3,1,H,3,0,H,3.55,2.9,2.05,3,2.9,2,3.2,3,2.1,3.4,2.88,2.1,3.75,2.8,2
I1,22/10/00,Reggina,Lecce,0,1,A,0,1,A,1.9,3.1,3.75,1.8,2.9,3.6,1.9,3,3.75,1.9,3,4,1.9,2.87,4
I1,22/10/00,Roma,Vicenza,3,1,H,1,0,H,1.25,4.6,8.5,1.2,4.7,9,1.2,5,11,1.25,4.6,10,1.2,5,11
I1,22/10/00,Verona,Lazio,2,0,H,0,0,D,4.25,2.95,1.85,3.4,2.9,1.85,4,3,1.85,4,3.1,1.85,4,2.87,1.9
I1,01/11/00,Atalanta,Verona,3,0,H,2,0,H,1.9,2.9,3.8,1.9,2.8,3.3,1.8,2.85,4.5,1.9,3,3.8,1.83,2.87,4.33
I1,01/11/00,Bologna,Reggina,2,0,H,0,0,D,1.55,3,6.8,1.5,3.4,4.7,1.45,3.5,7,1.44,3.4,6.5,1.44,3.5,7
I1,01/11/00,Fiorentina,Bari,2,2,D,1,0,H,1.45,3.5,6.5,1.45,3.5,5,1.4,3.75,7,1.44,3.6,7,1.44,3.5,7
I1,01/11/00,Inter,Roma,2,0,H,1,0,H,2.4,2.85,2.65,2.2,2.8,2.8,2.5,2.85,2.6,2.4,2.9,2.8,2.6,2.9,2.5
I1,01/11/00,Juventus,Udinese,1,2,A,0,1,A,1.45,3.4,6.8,1.45,3.5,5,1.45,3.5,7,1.45,3.5,7,1.44,3.3,7.5
I1,01/11/00,Lazio,Brescia,2,1,H,1,1,D,1.2,5,9,1.2,4.7,9,1.25,4.5,10,1.22,5,10,1.22,5,9.5
I1,01/11/00,Lecce,Napoli,1,1,D,0,0,D,1.9,2.8,4,1.8,2.9,3.6,1.9,3,3.75,1.8,3,4.33,1.7,3,5
I1,01/11/00,Parma,Milan,2,0,H,1,0,H,2.5,2.85,2.6,2.3,2.8,2.6,2.35,2.85,2.8,2.5,2.88,2.75,2.5,2.8,2.75
I1,01/11/00,Vicenza,Perugia,1,0,H,0,0,D,2.05,3,3.2,1.9,2.8,3.3,1.9,3.2,3.5,1.8,3.1,4.2,1.75,3.1,4.3
I1,04/11/00,Fiorentina,Perugia,3,4,A,2,1,H,1.45,3.5,6.9,1.45,3.5,5,1.35,3.75,8,1.44,3.6,6.5,1.4,3.6,7.5
I1,04/11/00,Lazio,Bologna,2,0,H,1,0,H,1.4,3.6,7.6,1.4,3,5.5,1.33,4,8,1.35,3.75,8.5,1.36,3.75,8
I1,05/11/00,Bari,Parma,0,1,A,0,0,D,2.9,3,2.3,2.8,2.8,2.2,3,3,2.2,2.8,3,2.3,2.75,2.9,2.4
I1,05/11/00,Brescia,Roma,2,4,A,2,1,H,3.6,2.9,2,3.2,2.9,1.9,4.3,2.85,1.85,3.4,3.1,2,3.75,2.8,2
I1,05/11/00,Milan,Atalanta,3,3,D,1,3,A,1.35,4,7.2,1.35,3.8,6.2,1.45,3.5,7,1.36,4,7.5,1.36,4,7
I1,05/11/00,Napoli,Vicenza,1,2,A,1,1,D,1.95,3.05,3.55,1.8,2.9,3.6,1.9,3.2,3.5,1.8,3.1,3.6,1.83,3,4
