Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,,,,,,,,,,
I2,10/09/04,Torino,Verona,3,1,H,3,0,H,1.4,3.5,8,1.45,3.45,7,1.45,3.4,7.1,1.5,3.1,5.7,1.5,3.2,7,1.44,3.4,7,1.45,3.5,6.5,1.74,1.85,1.85,1.87,-1,,,,,,,,,,
I2,11/09/04,Arezzo,Catania,3,1,H,3,1,H,2.375,2.625,3.1,2.3,2.6,3.3,2.35,2.6,3.2,2.3,2.5,3,,,,2.4,2.6,3.1,2.35,2.65,3.1,1.95,1.66,2.1,1.67,-0.25,,,,,,,,,,
I2,11/09/04,Catanzaro,Bari,2,1,H,1,1,D,2,2.7,4,2,2.6,4.2,2,2.65,4.1,2,2.6,3.5,2,2.5,4.33,2,2.7,4,2.05,2.65,3.8,2,1.61,1.7,2.05,-0.25,,,,,,,,,,
I2,11/09/04,Cesena,Triestina,1,0,H,1,0,H,2.5,2.5,3.1,2.5,2.5,3.1,2.45,2.55,3.1,2.4,2.5,2.9,2.5,2.5,3.1,2.5,2.5,3.1,2.45,2.6,3,1.95,1.66,2.1,1.67,-0.25,,,,,,,,,,
I2,11/09/04,Empoli,Ascoli,2,1,H,1,1,D,2.2,2.5,3.75,2.2,2.5,3.8,2.15,2.55,3.75,2.1,2.5,3.4,2.2,2.6,3.5,2.1,2.6,3.75,2.1,2.6,3.8,1.8,1.8,1.9,1.8,-0.25,,,,,,,,,,
I2,11/09/04,Perugia,Crotone,2,1,H,2,0,H,1.533,3.1,6.5,1.5,3.25,6.5,1.55,3.1,6.45,1.5,3.1,5.7,1.5,3.2,7,1.57,3.1,6,1.55,3.1,6.5,1.8,1.8,2.05,1.7,-1,,,,,,,,,,
I2,11/09/04,Pescara,Piacenza,1,2,A,0,1,A,2.75,2.625,2.625,2.75,2.55,2.7,2.75,2.55,2.7,2.6,2.5,2.6,2.7,2.6,2.7,2.7,2.6,2.7,2.7,2.6,2.7,1.95,1.66,2.05,1.7,0,,,,,,,,,,
I2,11/09/04,Salernitana,Treviso,0,0,D,0,0,D,1.909,2.625,4.5,1.85,2.65,4.9,1.85,2.65,4.9,1.85,2.6,4.2,1.909,2.625,4.5,1.85,2.7,4.75,1.85,2.7,4.6,1.85,1.74,1.85,1.72,-0.5,,,,,,,,,,
I2,11/09/04,Venezia,Albinoleffe,0,2,A,0,2,A,2.2,2.625,3.4,2.15,2.55,3.75,2.15,2.6,3.65,2.1,2.5,3.4,2.1,2.6,3.75,2.1,2.6,3.75,2.1,2.6,3.8,1.9,1.7,2.15,1.52,-0.5,,,,,,,,,,
I2,11/09/04,Vicenza,Ternana,1,0,H,0,0,D,2.1,2.625,3.75,2.1,2.5,4,2.05,2.55,4.1,1.9,2.6,3.9,2.1,2.5,4,2,2.6,4.2,2.1,2.6,3.8,1.9,1.7,1.77,1.95,-0.25,,,,,,,,,,
I2,13/09/04,Modena,Genoa,1,1,D,0,0,D,2.25,2.6,3.4,2.35,2.5,3.35,2.25,2.55,3.45,2.3,2.5,3,2.5,2.5,3,2.3,2.62,3.25,2.3,2.6,3.3,1.9,1.7,1.7,2.05,0,,,,,,,,,,
I2,17/09/04,Catania,Vicenza,1,0,H,1,0,H,2,2.75,4,2.05,2.65,4,2,2.6,4.2,2,2.6,3.7,2.1,2.75,3.75,2.1,2.7,3.6,1.9,2.75,4.2,1.9,1.7,1.8,1.9,-0.25,,,,,,,,,,
I2,17/09/04,Piacenza,Venezia,2,1,H,0,0,D,1.53,3.4,6,1.35,3.9,8,1.37,3.75,7.75,1.4,3.3,7.5,1.364,3.75,9,1.44,3.6,6.5,1.44,3.55,6.5,1.85,1.74,1.77,1.95,-1,,,,,,,,,,
I2,18/09/04,Albinoleffe,Modena,2,0,H,2,0,H,2.5,2.62,3,2.5,2.5,3.1,2.45,2.55,3.1,2.4,2.5,3,2.4,2.5,3.2,2.4,2.6,3.1,2.6,2.7,2.7,2,1.61,1.7,2.05,0,,,,,,,,,,
I2,18/09/04,Ascoli,Torino,0,3,A,0,1,A,2.62,2.62,2.75,2.85,2.5,2.65,2.75,2.6,2.65,2.7,2.5,2.6,2.875,2.625,2.625,2.62,2.62,2.75,2.75,2.6,2.65,1.74,1.85,1.95,1.77,0,,,,,,,,,,
I2,18/09/04,Bari,Perugia,1,1,D,1,1,D,2.5,2.6,2.9,2.75,2.55,2.7,2.65,2.6,2.75,2.6,2.5,2.7,2.625,2.625,2.875,2.5,2.6,2.9,2.5,2.55,3,1.85,1.74,1.8,1.9,0,,,,,,,,,,,
I2,18/09/04,Crotone,Cesena,0,1,A,0,0,D,2.1,2.62,3.75,2.1,2.5,4,2.1,2.6,3.8,2,2.5,4,2.1,2.625,3.75,2.1,2.7,3.6,2.05,2.65,3.8,1.95,1.66,1.77,1.95,-0.25,,,,,,,,,,,
I2,18/09/04,Genoa,Pescara,2,0,H,1,0,H,1.5,3.4,6,1.35,3.85,8,1.37,3.75,7.75,1.4,3.3,7.5,1.444,3.5,7,1.4,3.75,7,1.4,3.6,7.5,1.74,1.85,1.95,1.77,-1.25,,,,,,,,,,,
I2,18/09/04,Ternana,Salernitana,1,1,D,1,0,H,1.83,2.62,5,2,2.65,4,2,2.6,4.2,1.9,2.6,4.1,2,2.625,4.333,1.91,2.62,4.5,1.95,2.6,4.3,1.85,1.74,2,1.61,-0.5,,,,,,,,,,,
I2,18/09/04,Treviso,Arezzo,1,4,A,0,1,A,2,2.87,3.75,2.3,2.45,3.55,2.25,2.55,3.5,2.2,2.5,3.3,2.3,2.625,3.25,2.1,2.7,3.6,2.15,2.65,3.5,1.9,1.7,1.8,1.9,-0.25,,,,,,,,,,,
I2,18/09/04,Triestina,Catanzaro,1,0,H,1,0,H,1.8,3,4.33,1.8,2.65,5.2,1.8,2.65,5.25,1.75,2.7,4.8,1.8,2.625,5.5,1.8,2.8,4.75,1.75,2.75,5.2,1.95,1.66,1.8,1.76,-0.5,,,,,,,,,,,
I2,18/09/04,Verona,Empoli,0,1,A,0,1,A,2.5,2.75,2.87,2.65,2.5,2.85,2.6,2.6,2.8,2.6,2.5,2.7,2.5,2.625,3,2.6,2.6,2.8,2.5,2.6,2.9,1.85,1.74,1.7,2.05,0,,,,,,,,,,,
I2,21/09/04,Arezzo,Ascoli,0,0,D,0,0,D,1.66,2.75,6.5,1.65,2.85,6,1.65,2.75,6.5,,,,1.7,2.8,5.5,1.67,2.8,6,1.75,2.75,5.2,1.8,1.8,1.85,1.85,-0.75,,,,,,,,,,,
I2,21/09/04,Catanzaro,Catania,2,3,A,1,1,D,2.3,2.62,3.25,2.35,2.5,3.35,2.3,2.55,3.35,2.3,2.5,3.1,2.2,2.62,3.4,2.3,2.6,3.25,2.2,2.5,3.65,2,1.61,1.95,1.75,-0.25,,,,,,,,,,,
I2,21/09/04,Cesena,Bari,1,1,D,1,0,H,1.8,2.62,5.5,1.9,2.6,4.7,1.9,2.65,4.5,1.9,2.7,3.9,2,2.62,4,1.91,2.7,4.33,1.95,2.8,3.9,2,1.61,1.9,1.67,-0.5,,,,,,,,,,,
I2,21/09/04,Empoli,Ternana,1,1,D,1,0,H,1.83,2.7,5,1.75,2.6,5.75,1.77,2.7,5.3,1.8,2.6,4.7,1.9,2.62,4.5,1.8,2.7,5,1.75,2.7,5.5,1.95,1.66,1.77,1.79,-0.5,,,,,,,,,,,
I2,21/09/04,Modena,Piacenza,1,0,H,0,0,D,2.3,2.62,3.25,2.3,2.5,3.45,2.25,2.55,3.5,2.3,2.5,3.1,2.38,2.5,3.25,2.25,2.6,3.4,2.1,2.5,4,1.95,1.66,1.95,1.75,-0.25,,,,,,,,,,,
I2,21/09/04,Perugia,Treviso,2,0,H,1,0,H,1.5,3.25,6.5,1.45,3.3,7.7,1.47,3.25,7.5,1.45,3.2,6.7,1.5,3.1,7.5,1.5,3.25,6.5,1.5,3.15,7,1.9,1.7,1.85,1.85,-1,,,,,,,,,,,
I2,21/09/04,Pescara,Albinoleffe,1,3,A,0,1,A,2.5,2.6,3,2.45,2.45,3.25,2.55,2.55,2.9,2.4,2.5,3,2.4,2.5,3.2,2.4,2.6,3.1,2.4,2.5,3.2,2,1.61,1.75,1.95,0,,,,,,,,,,,
