day,date,home_team,result,away_team
Saturday,April 1,Sporting KC,3-1,CLB
Saturday,April 8,Colorado,3-1,CLB
Saturday,April 15,CLB,1-1,Chicago
Saturday,April 22,LA Galaxy,0-1,CLB
Saturday,April 29,CLB,0-1,Sporting KC
Saturday,May 6,Real Salt Lake,0-1,CLB
Saturday,May 13,CLB,1-0,Colorado
Saturday,May 20,CLB,1-1,D.C. United
Wednesday,May 31,D.C. United,5-1,CLB
Saturday,June 3,FC Dallas,1-2,CLB
Saturday,June 10,CLB,0-1,Sporting KC
Sunday,June 18,Chivas USA,2-0,CLB
Wednesday,June 21,CLB,1-1,New England
Saturday,June 24,CLB,1-1,Chivas USA
Wednesday,June 28,NY Red Bulls,0-0,CLB
Tuesday,July 4,Houston,1-1,CLB
Saturday,July 8,CLB,0-1,D.C. United
Saturday,July 15,D.C. United,3-2,CLB
Wednesday,July 19,CLB,0-2,NY Red Bulls
Saturday,July 22,CLB,1-1,LA Galaxy
Saturday,July 29,Chicago,0-0,CLB
Saturday,August 12,Sporting KC,4-0,CLB
Wednesday,August 16,CLB,1-2,Real Salt Lake
Saturday,August 19,CLB,1-0,NY Red Bulls
Sunday,August 27,New England,1-0,CLB
Saturday,September 2,CLB,3-0,New England
Saturday,September 9,CLB,1-2,Chicago
Saturday,September 16,NY Red Bulls,1-0,CLB
Saturday,September 23,CLB,1-1,Houston
Saturday,September 30,CLB,3-1,FC Dallas
Saturday,October 7,Chicago,1-4,CLB
Saturday,October 14,New England,1-0,CLB
