day,date,home_team,result,away_team
Saturday,April 1,FC Dallas,3-2,CHI
Saturday,April 8,LA Galaxy,1-1,CHI
Saturday,April 15,Columbus,1-1,CHI
Sunday,April 30,New England,1-2,CHI
Saturday,May 6,Sporting KC,1-1,CHI
Saturday,May 13,NY Red Bulls,1-1,CHI
Saturday,May 20,Houston,0-1,CHI
Saturday,May 27,Chivas USA,1-0,CHI
Saturday,June 3,Real Salt Lake,3-1,CHI
Sunday,June 11,CHI,3-3,New England
Saturday,June 17,Sporting KC,3-2,CHI
Wednesday,June 21,D.C. United,1-0,CHI
Sunday,June 25,CHI,2-0,NY Red Bulls
Wednesday,June 28,CHI,2-1,Real Salt Lake
Tuesday,July 4,CHI,1-0,Sporting KC
Saturday,July 8,CHI,1-2,New England
Saturday,July 15,CHI,2-3,FC Dallas
Saturday,July 22,CHI,1-1,D.C. United
Saturday,July 29,CHI,0-0,Columbus
Saturday,August 12,CHI,1-2,Chivas USA
Wednesday,August 16,CHI,3-0,Sporting KC
Sunday,August 20,New England,0-1,CHI
Saturday,August 26,CHI,1-0,Colorado
Wednesday,August 30,CHI,2-2,Houston
Sunday,September 3,CHI,2-1,NY Red Bulls
Saturday,September 9,Columbus,1-2,CHI
Wednesday,September 13,Colorado,1-0,CHI
Sunday,September 17,CHI,1-0,D.C. United
Saturday,September 23,CHI,2-1,LA Galaxy
Saturday,September 30,NY Red Bulls,1-0,CHI
Saturday,October 7,CHI,1-4,Columbus
Sunday,October 15,D.C. United,2-3,CHI
