day,date,home_team,result,away_team
Saturday,March 21,DAL,2-1,Colorado
Sunday,March 29,DAL,2-1,Columbus
Sunday,April 5,San Jose,2-3,DAL
Saturday,April 11,Tampa Bay Mutiny,3-1,DAL
Saturday,April 18,DAL,1-2,San Jose
Saturday,April 25,DAL,3-1,Sporting KC
Wednesday,May 6,NY Red Bulls,0-1,DAL
Saturday,May 16,DAL,2-1,Colorado
Wednesday,May 20,DAL,1-2,Sporting KC
Saturday,May 23,LA Galaxy,4-1,DAL
Sunday,May 31,DAL,2-0,Fusion
Thursday,June 4,DAL,1-8,LA Galaxy
Sunday,June 7,D.C. United,4-5,DAL
Wednesday,June 17,Chicago,1-0,DAL
Sunday,June 21,DAL,0-1,Tampa Bay Mutiny
Saturday,June 27,New England,3-4,DAL
Wednesday,July 1,Chicago,4-1,DAL
Saturday,July 4,DAL,0-1,Chicago
Saturday,July 11,Sporting KC,2-0,DAL
Saturday,July 18,DAL,1-3,New England
Saturday,July 25,Columbus,1-2,DAL
Wednesday,July 29,DAL,3-0,LA Galaxy
Friday,August 7,DAL,0-1,D.C. United
Saturday,August 15,Colorado,0-1,DAL
Wednesday,August 19,Fusion,2-1,DAL
Saturday,August 22,San Jose,2-1,DAL
Saturday,August 29,DAL,2-0,NY Red Bulls
Wednesday,September 2,LA Galaxy,3-0,DAL
Thursday,September 10,DAL,3-2,Chicago
Sunday,September 13,DAL,1-3,San Jose
Saturday,September 19,Sporting KC,0-1,DAL
Saturday,September 26,Colorado,3-1,DAL
