day,date,home_team,result,away_team
Saturday,March 21,Fusion,0-2,CHI
Saturday,April 4,CHI,2-0,Tampa Bay Mutiny
Wednesday,April 8,Sporting KC,1-0,CHI
Saturday,April 11,San Jose,1-0,CHI
Friday,April 17,CHI,0-1,NY Red Bulls
Saturday,April 25,Colorado,5-4,CHI
Saturday,May 2,CHI,1-3,D.C. United
Saturday,May 16,Tampa Bay Mutiny,1-2,CHI
Wednesday,May 20,CHI,3-1,LA Galaxy
Saturday,May 23,CHI,5-0,Colorado
Saturday,May 30,LA Galaxy,1-2,CHI
Saturday,June 6,CHI,2-0,Columbus
Thursday,June 11,CHI,5-2,San Jose
Sunday,June 14,New England,1-3,CHI
Wednesday,June 17,CHI,1-0,FC Dallas
Wednesday,June 24,CHI,4-1,Sporting KC
Wednesday,July 1,CHI,4-1,FC Dallas
Saturday,July 4,FC Dallas,0-1,CHI
Thursday,July 9,Columbus,3-0,CHI
Saturday,July 18,D.C. United,4-1,CHI
Saturday,July 25,NY Red Bulls,3-2,CHI
Wednesday,July 29,San Jose,3-0,CHI
Saturday,August 8,CHI,1-2,LA Galaxy
Saturday,August 15,CHI,2-1,San Jose
Friday,August 21,Colorado,0-2,CHI
Saturday,August 29,Sporting KC,2-3,CHI
Wednesday,September 2,CHI,3-2,Fusion
Thursday,September 10,FC Dallas,3-2,CHI
Sunday,September 13,CHI,3-1,Colorado
Thursday,September 17,CHI,1-0,Sporting KC
Wednesday,September 23,CHI,3-2,New England
Sunday,September 27,LA Galaxy,1-0,CHI
