Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,FC,FS,OFF,YC,RC
Richie Williams,DC,M,31,30,2673,3,4,27,10,66,32,2,5,0
Eduardo Hurtado,LA,F,29,28,2526,11,15,101,48,64,67,26,6,0
Leonel Alvarez,DAL,M,27,27,2338,0,6,19,6,63,34,2,12,2
Raul Diaz Arce,NE,F,32,32,2878,18,8,90,51,57,40,44,2,0
Diego Serna,MIA,F,26,23,1988,11,9,77,38,56,89,14,10,1
Martin Vasquez,SJ,M,28,24,2076,0,7,14,4,55,25,1,6,0
Stern John,CLB,F,27,25,2170,26,5,116,47,55,68,39,2,0
Braeden Cloutier,SJ,M,30,25,2078,3,5,44,21,53,30,3,1,0
Richard Goulooze,NE,D,29,29,2529,1,2,12,2,52,7,0,2,1
Chris Armas,CHI,M,31,31,2790,1,10,25,10,51,54,0,3,0
Brandon Pollard,DAL,D,29,26,2373,0,0,3,2,49,24,0,4,0
Imad Baba,NE,M,30,29,2484,5,4,60,29,49,39,10,3,1
Ben Olsen,DC,M,31,24,2107,4,8,44,25,48,39,15,2,1
Paul Rideout,KC,F,27,23,2114,4,3,58,28,48,59,9,5,0
Giovanni Savarese,MET,F,30,25,2163,14,7,61,37,48,44,23,3,0
Jan Eriksson,TB,D,29,28,2342,2,1,19,7,47,13,0,4,0
Chris Houser,TB,D,24,22,2005,1,5,6,2,46,24,1,7,1
John Doyle,SJ,D,28,27,2431,1,2,23,13,46,31,3,6,0
Welton,LA,F,31,29,2435,17,11,63,37,45,36,33,1,1
Ansil Elcock,CLB,D,28,27,2409,0,8,12,4,44,24,4,4,0
Wade Webber,MIA,D,28,28,2488,0,1,6,2,43,23,0,7,0
Steve Trittschuh,COL,D,30,30,2700,1,1,25,9,43,19,0,10,0
Scott Uderitz,KC,D,22,18,1660,0,2,7,3,42,17,0,3,0
Ricardo Iribarren,CLB,D,24,22,1780,0,2,2,1,42,10,1,8,1
Greg Vanney,LA,D,31,27,2321,3,3,28,13,42,10,0,3,0
