Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,Sv%
Tony Meola,MET,GK,31,31,2790,234,164,62,2.0,5/5,70.1
Marcus Hahnemann,COL,GK,28,28,2520,200,138,52,1.86,4/5,69.0
Mark Dodd,DAL,GK,25,24,2205,179,134,42,1.75,3/4,74.9
Thomas Ravelli,TB,GK,23,23,2053,179,131,38,1.65,3/5,73.2
Ian Feuer,NE,GK,26,26,2336,179,112,55,2.12,1/5,62.6
Jeff Cassar,MIA,GK,21,21,1890,151,107,41,1.95,2/4,70.9
Juergen Sommer,CLB,GK,21,21,1890,143,106,35,1.67,1/2,74.1
Kevin Hartman,LA,GK,29,28,2544,143,103,39,1.39,0/1,72.0
Scott Garlick,DC,GK,25,25,2205,129,88,35,1.4,3/3,68.2
Zach Thornton,CHI,GK,25,23,2076,118,85,27,1.17,1/2,72.0
Mike Ammann,KC,GK,27,27,2430,132,85,42,1.56,4/7,64.4
David Kramer,SJ,GK,24,24,2125,132,82,39,1.63,2/3,62.1
Doug Petras,TB,GK,12,9,827,70,49,19,2.11,1/1,70.0
Mark Dougherty,CLB,GK,11,11,989,77,49,21,1.91,2/4,63.6
Andy Kirk,SJ,GK,9,8,755,56,34,21,2.63,1/1,60.7
Jorge Campos,CHI,GK,9,8,765,48,33,15,1.88,1/1,68.8
Matt Napoleon,MIA,GK,4,4,360,45,32,12,3.0,0/1,71.1
Garth Lagerwey,DAL,GK,8,7,630,44,28,14,2.0,1/1,63.6
Jeff Causey,NE,GK,9,6,544,35,24,11,1.83,0/0,68.6
Paul Grafer,COL,GK,4,4,360,39,20,17,4.25,0/0,51.3
Tom Presthus,DC,GK,6,5,495,28,19,8,1.6,1/1,67.9
Matt Reis,LA,GK,5,4,336,24,18,5,1.25,0/0,75.0
Chris Snitko,KC,GK,5,5,450,27,18,8,1.6,0/0,66.7
David Winner,CHI,GK,4,3,271,23,16,6,2.0,0/0,69.6
Scott Budnick,MIA,GK,3,3,270,24,16,8,2.67,0/0,66.7
Bill Andracki,MET,GK,1,1,90,6,5,1,1.0,0/0,83.3
Tim Howard,COL,GK,1,1,90,8,5,1,1.0,0/0,62.5
Mark Simpson,DC,GK,2,2,180,8,3,5,2.5,0/0,37.5
Scott Coufal,CHI,GK,1,1,90,5,2,3,3.0,0/0,40.0
Matt Jordan,DAL,GK,1,1,45,4,1,3,3.0,0/0,25.0
Joe Cannon,SJ,GK,0,0,0,0,0,0,0.0,0/0,0.0
David Allred,TB,GK,0,0,0,0,0,0,0.0,0/0,0.0
Manuel Carou,MET,GK,0,0,0,0,0,0,0.0,0/0,0.0
Kevin East,MET,GK,0,0,0,0,0,0,0.0,0/0,0.0
Randy Dedini,LA,GK,0,0,0,0,0,0,0.0,0/0,0.0
Dusty Hudock,COL,GK,0,0,0,0,0,0,0.0,0/0,0.0
Emmett Idzahl,MET,GK,0,0,0,0,0,0,0.0,0/0,0.0
Mike Littman,LA,GK,0,0,0,0,0,0,0.0,0/0,0.0
Mike McGinty,CLB,GK,0,0,0,0,0,0,0.0,0/0,0.0
Jeremy Oetman,SJ,GK,0,0,0,0,0,0,0.0,0/0,0.0
Reginald Pierre-Jerome,MIA,GK,0,0,0,0,0,0,0.0,0/0,0.0
Kevin Rueda,CHI,GK,0,0,0,0,0,0,0.0,0/0,0.0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
