Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,PKG/A,SC%,SOG%
Stern John,CLB,F,27,25,2170,26,5,116,47,1/1,22.4,40.5
Eduardo Hurtado,LA,F,29,28,2526,11,15,101,48,0/0,10.9,47.5
Roy Lassiter,DC,F,31,29,2691,18,8,101,52,3/4,17.8,51.5
Jason Kreis,DAL,M,30,30,2578,9,8,97,39,0/1,9.3,40.2
Paul Bravo,COL,M,30,30,2579,11,8,90,39,1/2,12.2,43.3
Raul Diaz Arce,NE,F,32,32,2878,18,8,90,51,3/4,20.0,56.7
Ante Razov,CHI,F,30,24,2091,10,9,88,41,0/0,11.4,46.6
Jaime Moreno,DC,F,31,31,2610,16,11,87,48,3/5,18.4,55.2
Ronald Cerritos,SJ,F,31,30,2702,13,12,87,50,1/2,14.9,57.5
Preki,KC,M,25,24,2164,10,13,86,33,3/4,11.6,38.4
Mauricio Ramos,TB,M,22,21,1932,9,9,85,29,0/0,10.6,34.1
Brian McBride,CLB,F,24,24,2117,10,7,80,30,2/3,12.5,37.5
Diego Serna,MIA,F,26,23,1988,11,9,77,38,0/0,14.3,49.4
Edwin Gorter,NE,M,28,27,2394,7,7,72,25,0/0,9.7,34.7
Marco Etcheverry,DC,M,29,29,2590,10,19,72,37,0/0,13.9,51.4
Roman Kosecki,CHI,F,25,25,1999,9,9,70,35,0/0,12.9,50.0
Jim Rooney,MET,M,28,23,2040,8,5,68,28,0/0,11.8,41.2
Marcelo Balboa,COL,D,26,25,2290,5,5,67,21,0/0,7.5,31.3
Lubos Kubik,CHI,D,31,31,2790,7,8,67,24,4/4,10.4,35.8
Cobi Jones,LA,M,24,24,2136,19,13,63,41,0/1,30.2,65.1
Welton,LA,F,31,29,2435,17,11,63,37,0/0,27.0,58.7
Giovanni Savarese,MET,F,30,25,2163,14,7,61,37,1/2,23.0,60.7
Eric Wynalda,SJ,F,16,16,1424,6,5,60,31,1/1,10.0,51.7
Maurice Johnston,KC,M-F,26,23,2080,11,2,60,34,0/0,18.3,56.7
Imad Baba,NE,M,30,29,2484,5,4,60,29,0/0,8.3,48.3
Mark Chung,KC,M,30,29,2551,2,8,60,23,0/1,3.3,38.3
Paul Rideout,KC,F,27,23,2114,4,3,58,28,0/0,6.9,48.3
Chris Henderson,COL,M,28,22,1915,2,9,55,24,0/0,3.6,43.6
