Player,Club,POS,GP,GS,A,GWA,HmA,RdA,A/90min
Marco Etcheverry,DC,M,29,29,19,5,11,8,0.66
Mauricio Cienfuegos,LA,M,30,30,16,4,5,11,0.55
Joe-Max Moore,NE,F,21,21,15,3,7,8,0.72
Eduardo Hurtado,LA,F,29,28,15,5,11,4,0.53
Jerzy Podbrozny,CHI,F,26,25,14,4,13,1,0.64
Martin Machon,LA,M,31,29,14,3,9,5,0.49
Cobi Jones,LA,M,24,24,13,4,6,7,0.55
Preki,KC,M,25,24,13,3,8,5,0.54
Adrian Paz,COL,M,28,28,13,2,7,6,0.51
Andy Williams,CLB,M,13,11,12,3,6,6,1.11
Carlos Hermosillo,LA,F,18,18,12,3,6,6,0.71
Carlos Valderrama,MIA,M,18,18,12,4,10,2,0.7
Peter Nowak,CHI,M,24,24,12,4,7,5,0.56
Paul Dougherty,MET,F,29,23,12,4,7,5,0.54
Ronald Cerritos,SJ,F,31,30,12,2,5,7,0.4
Welton,LA,F,31,29,11,2,5,6,0.41
Alan Prampin,TB,F,31,28,11,3,5,6,0.4
Jaime Moreno,DC,F,31,31,11,2,4,7,0.38
Clint Mathis,LA,M,30,15,10,0,5,5,0.58
Robert Warzycha,CLB,M,25,19,10,4,7,3,0.51
Jason Farrell,CLB,F,28,24,10,1,9,1,0.45
Chris Armas,CHI,M,31,31,10,3,4,6,0.32
Chris Henderson,COL,M,28,22,9,1,4,5,0.42
Mauricio Ramos,TB,M,22,21,9,2,5,4,0.42
Diego Serna,MIA,F,26,23,9,1,7,2,0.41
Roman Kosecki,CHI,F,25,25,9,0,7,2,0.41
Ante Razov,CHI,F,30,24,9,3,5,4,0.39
Ezra Hendrickson,LA,D,27,22,8,5,6,2,0.37
Mike Burns,NE,M,23,23,8,4,4,4,0.36
Ben Olsen,DC,M,31,24,8,1,3,5,0.34
Billy Thompson,CLB,M,29,24,8,2,5,3,0.33
Ansil Elcock,CLB,D,28,27,8,2,7,1,0.3
Steve Ralston,TB,M,30,29,8,2,2,6,0.29
Mark Chung,KC,M,30,29,8,1,7,1,0.28
Jason Kreis,DAL,M,30,30,8,2,5,3,0.28
Paul Bravo,COL,M,30,30,8,2,4,4,0.28
Roy Lassiter,DC,F,31,29,8,1,4,4,0.27
Lubos Kubik,CHI,D,31,31,8,1,5,3,0.26
Raul Diaz Arce,NE,F,32,32,8,2,4,4,0.25
Brian Maisonneuve,CLB,M,13,12,7,0,3,4,0.7
Oscar Pareja,DAL,M,19,17,7,3,3,4,0.42
Jorge Salcedo,CHI,M,26,21,7,1,3,4,0.33
Martin Vasquez,SJ,M,28,24,7,1,2,5,0.3
Brian McBride,CLB,F,24,24,7,1,5,2,0.3
Giovanni Savarese,MET,F,30,25,7,2,6,1,0.29
Chris Martinez,COL,D,28,28,7,1,4,3,0.27
Edwin Gorter,NE,M,28,27,7,0,2,5,0.26
Diego Sonora,MET,M-D,30,30,7,1,6,1,0.24
Marcelo Vega,MET,M,17,13,6,2,4,2,0.51
Paulinho McLaren,MIA,F,16,15,6,1,4,2,0.46
Tony Sanneh,DC,D,17,17,6,2,4,2,0.4
Waldir,COL,F,23,17,6,2,5,1,0.39
Paul Wright,KC,F,30,25,6,4,3,3,0.26
Mike Sorber,MET,M,28,24,6,1,5,1,0.25
Leonel Alvarez,DAL,M,27,27,6,2,3,3,0.23
Victor Mella,SJ,M,31,25,6,1,5,1,0.23
Ross Paule,COL,M,30,29,6,2,1,5,0.22
John Harkes,DC,M,29,29,6,1,5,1,0.21
Francisco Uribe,SJ,F,12,8,5,2,2,3,0.61
Paul Young,TB,F,14,8,5,0,4,1,0.59
Dominic Kinnear,TB,M,24,8,5,3,1,4,0.52
Kris Kelderman,MIA,M,21,14,5,2,4,1,0.38
Eric Wynalda,SJ,F,16,16,5,0,2,3,0.32
Tab Ramos,MET,M,17,16,5,0,4,1,0.31
Dante Washington,DAL,F,28,21,5,1,2,3,0.24
Chris Houser,TB,D,24,22,5,1,3,2,0.22
Jim Rooney,MET,M,28,23,5,0,4,1,0.22
Braeden Cloutier,SJ,M,30,25,5,0,1,4,0.22
Stern John,CLB,F,27,25,5,1,4,1,0.21
Marcelo Balboa,COL,D,26,25,5,1,4,1,0.2
Ryan Tinsley,KC,D,30,26,5,0,3,2,0.2
Peter Vermes,COL,D,31,31,5,1,3,2,0.17
Wellington Sanchez,LA,M,13,9,4,1,1,3,0.52
Nelson Vargas,MIA,M,18,7,4,2,4,0,0.5
Joe Franchino,LA,M,16,7,4,0,0,4,0.49
Temoc Suarez,DAL,M,20,10,4,0,2,2,0.43
Paul Keegan,NE,F,20,7,4,1,1,3,0.4
Wolde Harris,COL,F,27,10,4,1,2,2,0.32
Tahj Jakins,COL,D,22,13,4,1,2,2,0.31
Marcelo Herrera,MIA,M-F,17,17,4,1,3,1,0.25
Frank Klopas,CHI,F,27,17,4,1,1,3,0.24
Pablo Mastroeni,MIA,M,23,19,4,2,2,2,0.22
Mark Santel,DAL,M,21,20,4,1,3,1,0.22
Brian Kamler,DC,M,22,20,4,1,3,1,0.21
Jeff Agoos,DC,D,21,20,4,1,3,1,0.2
David Vaudreuil,COL,D,27,25,4,2,3,1,0.17
Imad Baba,NE,M,30,29,4,1,1,3,0.14
Richie Williams,DC,M,31,30,4,0,1,3,0.13
Leo Cullen,MIA,M,31,30,4,0,2,2,0.13
Eddie Lewis,SJ,M,32,32,4,0,3,1,0.13
Brian Sebapole,SJ,F,12,0,3,1,1,2,1.13
Guillermo Jara,LA,M,16,4,3,1,3,0,0.47
Marcelo Carrera,CLB,F,16,5,3,2,2,1,0.45
Marquinho,COL,M,11,5,3,1,3,0,0.45
