Player,Club,POS,GP,GS,MINS,GA,GAA,PKG/A,W,L,T,ShO,W%
Zach Thornton,CHI,GK,25,23,2076,27,1.17,1/2,16,8,0,8,64.0
Scott Garlick,DC,GK,25,25,2205,35,1.4,3/3,19,5,0,7,76.0
Kevin Hartman,LA,GK,29,28,2544,39,1.39,0/1,22,7,0,7,75.9
Mark Dodd,DAL,GK,25,24,2205,42,1.75,3/4,11,13,0,6,44.0
David Kramer,SJ,GK,24,24,2125,39,1.63,2/3,10,14,0,5,41.7
Ian Feuer,NE,GK,26,26,2336,55,2.12,1/5,8,15,0,5,30.8
Mike Ammann,KC,GK,27,27,2430,42,1.56,4/7,11,16,0,5,40.7
Juergen Sommer,CLB,GK,21,21,1890,35,1.67,1/2,11,10,0,4,52.4
Marcus Hahnemann,COL,GK,28,28,2520,52,1.86,4/5,16,12,0,4,57.1
Tony Meola,MET,GK,31,31,2790,62,2.0,5/5,14,17,0,4,45.2
Andy Kirk,SJ,GK,9,8,755,21,2.63,1/1,3,5,0,2,33.3
Jeff Cassar,MIA,GK,21,21,1890,41,1.95,2/4,12,9,0,2,57.1
Thomas Ravelli,TB,GK,23,23,2053,38,1.65,3/5,7,13,0,2,30.4
Chris Snitko,KC,GK,5,5,450,8,1.6,0/0,1,4,0,1,20.0
Mark Dougherty,CLB,GK,11,11,989,21,1.91,2/4,4,6,0,1,36.4
Doug Petras,TB,GK,12,9,827,19,2.11,1/1,5,7,0,1,41.7
Reginald Pierre-Jerome,MIA,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Kevin Rueda,CHI,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Jeremy Oetman,SJ,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Mike Littman,LA,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Mike McGinty,CLB,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Kevin East,MET,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Dusty Hudock,COL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Emmett Idzahl,MET,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
David Allred,TB,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Manuel Carou,MET,GK,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0
Joe Cannon,SJ,GK,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0
Randy Dedini,LA,GK,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0
Scott Coufal,CHI,GK,1.0,1.0,90.0,3.0,3.0,0/0,0.0,1.0,0.0,0.0,0.0
Bill Andracki,MET,GK,1.0,1.0,90.0,1.0,1.0,0/0,0.0,1.0,0.0,0.0,0.0
Matt Jordan,DAL,GK,1.0,1.0,45.0,3.0,3.0,0/0,0.0,1.0,0.0,0.0,0.0
Tim Howard,COL,GK,1.0,1.0,90.0,1.0,1.0,0/0,1.0,0.0,0.0,0.0,100.0
Mark Simpson,DC,GK,2.0,2.0,180.0,5.0,2.5,0/0,0.0,2.0,0.0,0.0,0.0
Scott Budnick,MIA,GK,3.0,3.0,270.0,8.0,2.67,0/0,0.0,3.0,0.0,0.0,0.0
Paul Grafer,COL,GK,4.0,4.0,360.0,17.0,4.25,0/0,0.0,4.0,0.0,0.0,0.0
Matt Napoleon,MIA,GK,4.0,4.0,360.0,12.0,3.0,0/1,1.0,3.0,0.0,0.0,25.0
David Winner,CHI,GK,4.0,3.0,271.0,6.0,2.0,0/0,2.0,2.0,0.0,0.0,50.0
Matt Reis,LA,GK,5.0,4.0,336.0,5.0,1.25,0/0,2.0,1.0,0.0,0.0,40.0
Tom Presthus,DC,GK,6.0,5.0,495.0,8.0,1.6,1/1,5.0,1.0,0.0,0.0,83.3
Jorge Campos,CHI,GK,9.0,8.0,765.0,15.0,1.88,1/1,4.0,3.0,0.0,0.0,44.4
Garth Lagerwey,DAL,GK,8.0,7.0,630.0,14.0,2.0,1/1,4.0,3.0,0.0,0.0,50.0
Jeff Causey,NE,GK,9.0,6.0,544.0,11.0,1.83,0/0,3.0,6.0,0.0,0.0,33.3
Dusty Hudock,nan,GK,nan,nan,nan,nan,nan,/,nan,nan,nan,nan,0.0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
