day,date,home_team,result,away_team
Saturday,April 3,LA,3-2,New England
Saturday,April 10,LA,1-1,D.C. United
Saturday,April 17,Colorado,1-1,LA
Saturday,April 24,LA,2-0,Columbus
Saturday,May 1,New England,2-1,LA
Saturday,May 8,FC Dallas,1-3,LA
Saturday,May 15,LA,1-1,Colorado
Wednesday,May 19,D.C. United,2-4,LA
Saturday,May 22,San Jose,4-2,LA
Saturday,May 29,LA,4-1,FC Dallas
Saturday,June 5,LA,1-2,Sporting KC
Saturday,June 12,LA,3-2,Chicago
Saturday,June 19,NY Red Bulls,2-1,LA
Wednesday,June 23,LA,0-3,NY Red Bulls
Sunday,June 27,Chicago,0-1,LA
Sunday,July 4,LA,2-1,San Jose
Saturday,July 10,LA,2-0,Colorado
Wednesday,July 14,Colorado,0-0,LA
Saturday,July 17,D.C. United,1-1,LA
Saturday,July 24,Sporting KC,2-2,LA
Sunday,August 8,NY Red Bulls,3-0,LA
Saturday,August 14,LA,0-0,Columbus
Saturday,August 21,LA,1-1,Chicago
Saturday,September 4,Columbus,3-1,LA
Saturday,September 11,LA,2-1,San Jose
Saturday,September 18,FC Dallas,2-0,LA
Saturday,September 25,San Jose,0-0,LA
Saturday,October 2,LA,1-1,Sporting KC
Saturday,October 9,LA,2-0,FC Dallas
Saturday,October 16,Sporting KC,1-0,LA
