day,date,home_team,result,away_team
Sunday,March 6,SEA,0-1,Sporting KC
Saturday,March 12,Real Salt Lake,2-1,SEA
Saturday,March 19,SEA,1-2,Vancouver
Saturday,April 2,SEA,1-0,Montreal
Sunday,April 10,Houston,1-1,SEA
Saturday,April 16,SEA,2-1,Philadelphia
Saturday,April 23,Colorado,3-1,SEA
Saturday,April 30,SEA,1-0,Columbus
Saturday,May 7,SEA,2-0,San Jose
Saturday,May 14,FC Dallas,2-0,SEA
Saturday,May 21,SEA,0-1,Colorado
Saturday,May 28,New England,2-1,SEA
Wednesday,June 1,D.C. United,0-2,SEA
Sunday,June 19,NY Red Bulls,2-0,SEA
Saturday,June 25,SEA,0-2,NYCFC
Saturday,July 2,Toronto FC,1-1,SEA
Saturday,July 9,SEA,0-1,LA Galaxy
Wednesday,July 13,SEA,5-0,FC Dallas
Sunday,July 17,Portland,3-1,SEA
Sunday,July 24,Sporting KC,3-0,SEA
Sunday,July 31,SEA,1-1,LA Galaxy
Sunday,August 7,Orlando,1-3,SEA
Sunday,August 14,SEA,2-1,Real Salt Lake
Sunday,August 21,SEA,3-1,Portland
Wednesday,August 24,Houston,1-1,SEA
Sunday,August 28,Portland,4-2,SEA
Saturday,September 10,San Jose,1-1,SEA
Saturday,September 17,SEA,1-0,Vancouver
Sunday,September 25,LA Galaxy,2-4,SEA
Wednesday,September 28,SEA,1-0,Chicago
Sunday,October 2,Vancouver,1-2,SEA
Wednesday,October 12,SEA,0-0,Houston
Sunday,October 16,FC Dallas,2-1,SEA
Sunday,October 23,SEA,2-1,Real Salt Lake
