day,date,home_team,result,away_team
Sunday,March 6,Vancouver,2-3,MTL
Saturday,March 12,MTL,3-0,NY Red Bulls
Saturday,March 19,FC Dallas,2-0,MTL
Saturday,April 2,Seattle,1-0,MTL
Saturday,April 9,MTL,2-0,Columbus
Saturday,April 16,Chicago,1-2,MTL
Saturday,April 23,MTL,0-2,Toronto FC
Wednesday,April 27,NYCFC,1-1,MTL
Saturday,April 30,MTL,2-2,Colorado
Saturday,May 7,Columbus,4-4,MTL
Saturday,May 14,MTL,1-1,Philadelphia
Saturday,May 21,Orlando,2-1,MTL
Saturday,May 28,MTL,3-2,LA Galaxy
Saturday,June 18,Columbus,0-0,MTL
Saturday,June 25,MTL,2-2,Sporting KC
Saturday,July 2,MTL,3-2,New England
Saturday,July 9,Real Salt Lake,1-1,MTL
Wednesday,July 13,Portland,1-1,MTL
Sunday,July 17,MTL,1-3,NYCFC
Saturday,July 23,MTL,5-1,Philadelphia
Sunday,July 31,D.C. United,1-1,MTL
Saturday,August 6,MTL,1-0,Houston
Saturday,August 13,NY Red Bulls,3-1,MTL
Saturday,August 20,MTL,0-3,Chicago
Wednesday,August 24,MTL,1-1,D.C. United
Saturday,August 27,Toronto FC,0-1,MTL
Wednesday,September 7,MTL,1-4,Orlando
Saturday,September 10,Philadelphia,1-1,MTL
Saturday,September 17,MTL,1-3,New England
Saturday,September 24,NY Red Bulls,1-0,MTL
Wednesday,September 28,MTL,3-1,San Jose
Sunday,October 2,Orlando,0-1,MTL
Sunday,October 16,MTL,2-2,Toronto FC
Sunday,October 23,New England,3-0,MTL
