day,date,home_team,result,away_team
Sunday,March 6,NY Red Bulls,0-2,TOR
Sunday,March 13,NYCFC,2-2,TOR
Sunday,March 20,Sporting KC,1-0,TOR
Saturday,April 2,Colorado,1-0,TOR
Saturday,April 9,New England,1-1,TOR
Saturday,April 16,D.C. United,0-1,TOR
Saturday,April 23,Montreal,0-2,TOR
Sunday,May 1,Portland,2-1,TOR
Saturday,May 7,TOR,1-0,FC Dallas
Saturday,May 14,TOR,3-4,Vancouver
Wednesday,May 18,TOR,1-1,NYCFC
Saturday,May 21,TOR,0-0,Columbus
Saturday,May 28,NY Red Bulls,3-0,TOR
Saturday,June 18,TOR,1-0,LA Galaxy
Saturday,June 25,Orlando,3-2,TOR
Saturday,July 2,Seattle,1-1,TOR
Saturday,July 9,TOR,1-0,Chicago
Wednesday,July 13,Columbus,1-1,TOR
Saturday,July 16,San Jose,2-1,TOR
Saturday,July 23,TOR,4-1,D.C. United
Sunday,July 31,TOR,3-0,Columbus
Wednesday,August 3,TOR,1-0,Real Salt Lake
Saturday,August 6,TOR,4-1,New England
Sunday,August 14,Houston,1-1,TOR
Saturday,August 20,Philadelphia,1-3,TOR
Wednesday,August 24,Orlando,1-2,TOR
Saturday,August 27,TOR,0-1,Montreal
Saturday,September 10,Chicago,1-2,TOR
Sunday,September 18,TOR,3-3,NY Red Bulls
Saturday,September 24,TOR,1-1,Philadelphia
Wednesday,September 28,TOR,0-0,Orlando
Saturday,October 1,TOR,1-2,D.C. United
Sunday,October 16,Montreal,2-2,TOR
Sunday,October 23,TOR,3-2,Chicago
