day,date,home_team,result,away_team
Sunday,March 6,ORL,2-2,Real Salt Lake
Friday,March 11,ORL,1-1,Chicago
Friday,March 18,NYCFC,0-1,ORL
Sunday,April 3,ORL,4-1,Portland
Friday,April 8,Philadelphia,2-1,ORL
Sunday,April 17,ORL,2-2,New England
Sunday,April 24,NY Red Bulls,3-2,ORL
Saturday,April 30,New England,2-2,ORL
Friday,May 6,ORL,1-1,NY Red Bulls
Sunday,May 15,Sporting KC,2-1,ORL
Saturday,May 21,ORL,2-1,Montreal
Wednesday,May 25,ORL,2-2,Philadelphia
Sunday,May 29,NYCFC,2-2,ORL
Saturday,June 18,ORL,2-2,San Jose
Saturday,June 25,ORL,3-2,Toronto FC
Monday,July 4,FC Dallas,4-0,ORL
Friday,July 8,ORL,0-0,Houston
Wednesday,July 13,NY Red Bulls,2-0,ORL
Saturday,July 16,Vancouver,2-2,ORL
Saturday,July 23,Columbus,2-2,ORL
Sunday,July 31,ORL,3-1,New England
Sunday,August 7,Seattle,1-3,ORL
Sunday,August 14,Chicago,2-2,ORL
Saturday,August 20,Colorado,0-0,ORL
Wednesday,August 24,ORL,1-2,Toronto FC
Sunday,August 28,ORL,2-1,NYCFC
Wednesday,September 7,Montreal,1-4,ORL
Sunday,September 11,LA Galaxy,4-2,ORL
Saturday,September 17,ORL,1-4,Columbus
Saturday,September 24,D.C. United,4-1,ORL
Wednesday,September 28,Toronto FC,0-0,ORL
Sunday,October 2,ORL,0-1,Montreal
Sunday,October 16,Philadelphia,0-2,ORL
Sunday,October 23,ORL,4-2,D.C. United
