day,date,home_team,result,away_team
Sunday,March 6,Chicago,3-4,NYC
Sunday,March 13,NYC,2-2,Toronto FC
Friday,March 18,NYC,0-1,Orlando
Saturday,March 26,NYC,1-1,New England
Sunday,April 10,NYC,0-0,Chicago
Saturday,April 16,Columbus,3-2,NYC
Saturday,April 23,Philadelphia,2-0,NYC
Wednesday,April 27,NYC,1-1,Montreal
Saturday,April 30,NYC,3-2,Vancouver
Sunday,May 8,D.C. United,0-2,NYC
Sunday,May 15,Portland,1-2,NYC
Wednesday,May 18,Toronto FC,1-1,NYC
Saturday,May 21,NYC,0-7,NY Red Bulls
Sunday,May 29,NYC,2-2,Orlando
Thursday,June 2,NYC,2-3,Real Salt Lake
Saturday,June 18,NYC,3-2,Philadelphia
Saturday,June 25,Seattle,0-2,NYC
Sunday,July 3,NYC,2-0,NY Red Bulls
Wednesday,July 6,New England,0-1,NYC
Sunday,July 10,Sporting KC,3-1,NYC
Sunday,July 17,Montreal,1-3,NYC
Sunday,July 24,NY Red Bulls,4-1,NYC
Saturday,July 30,NYC,5-1,Colorado
Friday,August 5,San Jose,0-0,NYC
Saturday,August 13,Columbus,3-3,NYC
Saturday,August 20,NYC,1-0,LA Galaxy
Sunday,August 28,Orlando,2-1,NYC
Thursday,September 1,NYC,3-2,D.C. United
Saturday,September 10,New England,3-1,NYC
Saturday,September 17,NYC,2-2,FC Dallas
Friday,September 23,NYC,4-1,Chicago
Friday,September 30,Houston,0-2,NYC
Sunday,October 16,D.C. United,3-1,NYC
Sunday,October 23,NYC,4-1,Columbus
