day,date,home_team,result,away_team
Sunday,March 6,Portland,2-1,CLB
Saturday,March 12,CLB,1-2,Philadelphia
Saturday,March 19,Chicago,0-0,CLB
Saturday,April 2,FC Dallas,1-1,CLB
Saturday,April 9,Montreal,2-0,CLB
Saturday,April 16,CLB,3-2,NYCFC
Saturday,April 23,CLB,1-0,Houston
Saturday,April 30,Seattle,1-0,CLB
Saturday,May 7,CLB,4-4,Montreal
Saturday,May 14,CLB,1-1,Colorado
Saturday,May 21,Toronto FC,0-0,CLB
Saturday,May 28,CLB,4-3,Real Salt Lake
Wednesday,June 1,Philadelphia,3-2,CLB
Saturday,June 18,CLB,0-0,Montreal
Saturday,June 25,CLB,1-1,NY Red Bulls
Sunday,July 3,Sporting KC,3-2,CLB
Saturday,July 9,New England,3-1,CLB
Wednesday,July 13,CLB,1-1,Toronto FC
Saturday,July 16,CLB,1-1,D.C. United
Saturday,July 23,CLB,2-2,Orlando
Sunday,July 31,Toronto FC,3-0,CLB
Saturday,August 13,CLB,3-3,NYCFC
Saturday,August 20,New England,0-2,CLB
Wednesday,August 24,CLB,1-2,Philadelphia
Saturday,August 27,CLB,2-0,San Jose
Saturday,September 3,LA Galaxy,2-1,CLB
Saturday,September 10,CLB,1-3,Vancouver
Saturday,September 17,Orlando,1-4,CLB
Sunday,September 25,CLB,2-0,New England
Wednesday,September 28,D.C. United,3-0,CLB
Saturday,October 1,CLB,3-0,Chicago
Thursday,October 13,Chicago,2-2,CLB
Sunday,October 16,NY Red Bulls,3-2,CLB
Sunday,October 23,NYCFC,4-1,CLB
