day,date,home_team,result,away_team
Saturday,April 13,TBM,3-2,New England
Saturday,April 20,Columbus,1-2,TBM
Sunday,April 28,TBM,1-2,FC Dallas
Saturday,May 4,NY Red Bulls,4-3,TBM
Wednesday,May 8,TBM,2-0,Sporting KC
Saturday,May 11,Colorado,1-2,TBM
Saturday,May 18,TBM,3-2,San Jose
Thursday,May 23,FC Dallas,0-1,TBM
Saturday,June 1,TBM,1-2,LA Galaxy
Wednesday,June 5,Sporting KC,1-3,TBM
Saturday,June 8,TBM,2-1,Colorado
Sunday,June 16,LA Galaxy,3-2,TBM
Saturday,June 22,TBM,3-4,Columbus
Sunday,June 30,San Jose,4-0,TBM
Thursday,July 4,TBM,4-1,Columbus
Friday,July 12,D.C. United,1-0,TBM
Thursday,July 18,TBM,3-2,Sporting KC
Sunday,July 21,Colorado,1-3,TBM
Thursday,July 25,Columbus,1-0,TBM
Saturday,July 27,TBM,4-3,LA Galaxy
Saturday,August 3,TBM,3-1,Colorado
Wednesday,August 7,TBM,1-3,D.C. United
Saturday,August 10,FC Dallas,2-1,TBM
Saturday,August 17,TBM,3-1,NY Red Bulls
Wednesday,August 21,New England,4-2,TBM
Sunday,August 25,D.C. United,3-0,TBM
Saturday,August 31,TBM,3-1,New England
Wednesday,September 4,NY Red Bulls,0-2,TBM
Thursday,September 12,New England,1-2,TBM
Saturday,September 14,TBM,2-0,D.C. United
Wednesday,September 18,San Jose,1-2,TBM
Saturday,September 21,TBM,4-1,NY Red Bulls
