day,date,home_team,result,away_team
Saturday,April 6,SJ,1-0,D.C. United
Sunday,April 14,FC Dallas,1-0,SJ
Sunday,April 21,SJ,2-3,Sporting KC
Sunday,April 28,LA Galaxy,2-1,SJ
Saturday,May 4,New England,1-2,SJ
Wednesday,May 8,SJ,3-1,Colorado
Sunday,May 12,SJ,1-2,LA Galaxy
Saturday,May 18,Tampa Bay Mutiny,3-2,SJ
Wednesday,May 29,SJ,2-1,Sporting KC
Saturday,June 1,SJ,3-2,Columbus
Wednesday,June 5,D.C. United,3-1,SJ
Saturday,June 8,FC Dallas,4-1,SJ
Sunday,June 16,NY Red Bulls,0-1,SJ
Sunday,June 23,SJ,2-1,D.C. United
Sunday,June 30,SJ,4-0,Tampa Bay Mutiny
Saturday,July 6,SJ,1-2,New England
Wednesday,July 17,Colorado,1-2,SJ
Saturday,July 20,Columbus,3-4,SJ
Wednesday,July 24,SJ,0-1,NY Red Bulls
Sunday,July 28,NY Red Bulls,4-1,SJ
Wednesday,July 31,New England,2-0,SJ
Sunday,August 11,SJ,6-1,New England
Thursday,August 15,Sporting KC,4-1,SJ
Sunday,August 18,Columbus,2-0,SJ
Thursday,August 22,SJ,1-0,FC Dallas
Sunday,August 25,SJ,1-0,Colorado
Sunday,September 1,SJ,1-2,LA Galaxy
Sunday,September 8,Colorado,1-3,SJ
Wednesday,September 11,SJ,2-3,FC Dallas
Sunday,September 15,LA Galaxy,4-2,SJ
Wednesday,September 18,SJ,1-2,Tampa Bay Mutiny
Saturday,September 21,Sporting KC,0-1,SJ
