Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,,,
P1,13/08/10,Sp Braga,Portimonense,3,1,H,2,0,H,1.36,4.5,9,1.3,4.4,9.75,1.35,4.25,8,1.45,3.6,7,1.29,4.5,8,1.35,4,9,1.3,4.33,8,1.36,4.33,8.5,1.33,4.6,8,1.36,4.2,8,27,1.45,1.35,4.8,4.3,12.22,8.89,21,2.25,2.12,1.78,1.66,11,-1.25,1.9,1.86,2.05,1.99,,,
P1,14/08/10,Maritimo,Setubal,0,1,A,0,0,D,1.7,3.5,5.25,1.62,3.3,5.5,1.7,3.2,5,1.75,3.1,4.5,1.62,3.25,5,1.73,3.25,4.6,1.62,3.3,5,1.67,3.25,5.5,1.67,3.4,5,1.73,3.25,4.75,24,1.75,1.69,3.64,3.32,5.7,5.08,18,2.26,2.2,1.67,1.61,8,-0.75,1.92,1.89,2,1.97,,,
P1,14/08/10,Naval,Porto,0,1,A,0,0,D,9,4.5,1.36,7.5,3.7,1.42,7,4,1.42,6.3,3.5,1.5,6.5,3.6,1.44,7.5,4,1.4,7,4,1.36,8,4,1.4,7,4.2,1.4,7,3.8,1.44,27,9.27,7.73,4.5,4,1.5,1.41,21,2.23,2.1,1.76,1.67,11,1.25,1.95,1.9,2,1.94,,,
P1,14/08/10,Pacos Ferreira,Sp Lisbon,1,0,H,0,0,D,4.75,3.4,1.8,4.75,3.3,1.7,4.5,3.25,1.75,4,3.2,1.8,3.75,3.2,1.83,4.5,3.25,1.75,4,3.4,1.73,4.5,3.25,1.8,4.6,3.3,1.73,4.2,3.25,1.8,27,4.96,4.49,3.56,3.29,1.83,1.78,19,2.33,2.22,1.65,1.59,10,0,3.57,3.24,1.33,1.29,,,
P1,15/08/10,Beira Mar,Leiria,0,0,D,0,0,D,2.5,3,3,2.4,2.95,2.8,2.4,3,2.85,2.4,2.9,2.9,2.38,3.1,2.62,2.4,3,2.85,2.4,2.9,2.75,2.38,3,3,2.38,2.88,3.1,2.38,3,2.88,26,2.5,2.4,3.1,3.01,3.24,2.93,16,2.5,2.33,1.57,1.54,17,0,1.75,1.7,2.25,2.1,,,
P1,15/08/10,Benfica,Academica,1,2,A,0,1,A,1.18,6.5,17,1.2,5.25,13,1.2,5.5,12,1.2,5,12,1.2,5.5,9,1.2,5.75,11,1.17,5.5,12,1.2,5.5,15,1.18,6,12,1.2,5.5,11,26,1.22,1.2,6.5,5.74,17,12.29,18,1.7,1.64,2.31,2.15,7,0,1.05,1.04,11,9.69,,,
P1,15/08/10,Rio Ave,Nacional,0,1,A,0,0,D,2.63,3,2.88,2.5,2.95,2.7,2.4,3,2.85,2.2,3,3.1,2.38,3.1,2.62,2.3,3.1,2.9,2.4,2.9,2.75,2.5,3.1,2.75,2.5,3,2.75,2.4,3,2.8,27,2.75,2.48,3.1,3.01,3.1,2.82,18,2.5,2.35,1.57,1.53,18,0,1.91,1.77,2.1,2,,,
P1,16/08/10,Olhanense,Guimaraes,0,0,D,0,0,D,3,3,2.5,2.8,3,2.45,2.75,3,2.5,2.7,3,2.5,2.75,3.2,2.25,2.65,3,2.55,2.88,3,2.25,2.75,3.1,2.5,2.88,3,2.38,2.75,3,2.5,27,3.12,2.85,3.15,3.02,2.56,2.45,18,2.62,2.41,1.55,1.51,16,0,2.2,2.05,1.83,1.74,,,
P1,20/08/10,Academica,Olhanense,1,1,D,0,0,D,1.95,3.3,4,1.85,3.1,4.2,1.85,3.2,4,1.85,3.1,4,1.8,3.25,3.75,1.83,3.25,4,1.85,3.25,4,1.91,3.2,4.2,1.95,3.1,4,1.83,3.25,4,29,2.02,1.91,3.3,3.17,4.39,4.02,19,2.58,2.39,1.57,1.52,12,0,1.45,1.37,3,2.82,,,
P1,21/08/10,Nacional,Benfica,2,1,H,0,0,D,6,3.5,1.62,5.5,3.7,1.55,5.25,3.5,1.6,4.9,3.3,1.65,4.5,3.5,1.62,5.25,3.6,1.57,5.1,3.6,1.6,7,3.6,1.53,5.5,3.75,1.57,5.5,3.6,1.57,29,7.23,5.82,4.04,3.63,1.65,1.56,25,2.1,2,1.84,1.76,11,1,1.93,1.88,2.02,1.96,,,
