Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,PKG/A,SC%,SOG%
Kenny Cooper,DAL,F,30,30,2622,18,3,119,60,4/4,15.1,50.4
Dwayne De Rosario,HOU,M,24,22,1948,7,2,78,34,2/2,9.0,43.6
Juan Pablo Angel,NY,F,23,22,1955,14,3,76,41,1/2,18.4,53.9
Luciano Emilio,DC,F,27,25,2141,11,5,76,39,0/0,14.5,51.3
Edson Buddle,LA,F,27,26,2218,15,3,74,38,0/0,20.3,51.4
Robbie Rogers,CLB,D,27,26,2334,6,3,70,33,0/0,8.6,47.1
Yura Movsisyan,RSL,F,22,13,1229,7,1,69,33,0/0,10.1,47.8
Claudio Lopez,KC,F,28,25,2265,6,7,67,23,2/2,9.0,34.3
Chad Barrett,CHI,F,29,27,2172,9,7,66,32,0/0,13.6,48.5
Landon Donovan,LA,M-F,25,23,2136,20,9,65,40,4/4,30.8,61.5
Ronnie O'Brien,SJ,M,28,28,2286,4,6,62,25,0/0,6.5,40.3
Brian Ching,HOU,F,25,24,2096,13,5,57,29,0/1,22.8,50.9
Omar Cummings,COL,F,26,17,1629,6,4,56,27,0/0,10.7,48.2
Guillermo Barros Schelotto,CLB,F,27,27,2216,7,19,54,27,4/4,13.0,50.0
Conor Casey,COL,F,21,16,1313,11,2,51,27,2/2,21.6,52.9
Ante Razov,CHV,F,22,17,1415,5,6,51,18,0/0,9.8,35.3
Javier Morales,RSL,M,29,29,2511,6,15,48,23,0/1,12.5,47.9
Andre Rocha,DAL,M,27,26,2151,3,8,47,21,0/0,6.4,44.7
Jack Jewsbury,KC,M,29,29,2548,3,7,47,18,2/2,6.4,38.3
Alan Gordon,LA,F,26,14,1314,5,7,46,15,0/0,10.9,32.6
Kei Kamara,VAN,F,22,17,1552,4,2,46,21,0/0,8.7,45.7
Colin Clark,COL,M,29,26,2325,5,3,46,17,0/0,10.9,37.0
Cuauhtemoc Blanco,CHI,M,27,27,2398,7,11,46,26,3/3,15.2,56.5
Alejandro Moreno,CLB,F,27,27,2428,9,4,46,19,0/1,19.6,41.3
Santino Quaranta,DC,M-F,27,23,1963,5,4,45,13,0/0,11.1,28.9
Scott Sealy,KC,F,27,24,2021,5,3,45,23,0/0,11.1,51.1
Kyle Beckerman,RSL,M,30,30,2683,3,2,45,22,0/0,6.7,48.9
