Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,FC,FS,OFF,YC,RC
Atiba Harris,CHV,D,28,23,2014,3,5,42,15,73,50,10,8,0
Andre Rocha,DAL,M,27,26,2151,3,8,47,21,52,22,1,6,1
Fred,DC,M,23,20,1690,2,4,29,12,50,26,9,4,0
Carl Robinson,TOR,M,27,27,2426,1,1,8,3,49,25,0,4,0
Javier Morales,RSL,M,29,29,2511,6,15,48,23,49,59,5,3,0
Paulo Nagamura,CHV,M,24,24,2062,2,3,17,7,47,31,0,8,1
Shalrie Joseph,NE,M,27,27,2384,1,1,27,12,47,32,4,5,1
Jeff Larentowicz,ATL,M,28,28,2437,4,2,24,12,42,39,0,5,1
Kevin Goldthwaite,NY,D,28,28,2438,2,2,17,6,42,27,0,7,1
Marcelo Saragosa,DAL,M,25,23,1809,1,2,14,4,41,34,1,9,1
Gonzalo Segares,CHI,D,23,23,2013,2,2,16,7,40,23,1,8,0
Bobby Boswell,HOU,D,29,29,2610,1,1,15,3,40,11,0,6,0
Wilman Conde,CHI,D,22,19,1750,1,1,7,1,39,8,0,2,0
Sacha Kljestan,ORL,M,22,21,1941,5,7,36,16,39,23,2,7,1
Bakary Soumare,CHI,D,28,28,2514,0,1,5,3,39,12,0,10,0
Alan Gordon,LA,F,26,14,1314,5,7,46,15,38,18,13,4,1
Jesse Marsch,CHV,M,25,24,2138,4,0,15,6,38,30,2,5,0
Ronnie O'Brien,SJ,M,28,28,2286,4,6,62,25,38,33,1,4,0
Kyle Beckerman,RSL,M,30,30,2683,3,2,45,22,38,45,4,5,0
John Thorrington,CHI,M,23,21,1881,5,1,24,11,37,35,2,8,0
Seth Stammler,NY,M-D,26,26,2195,1,4,25,9,37,15,1,5,0
Justin Braun,CHV,F,24,12,1219,4,2,32,18,36,16,13,2,0
Brandon Prideaux,CHI,D,27,27,2254,0,1,10,1,36,24,2,6,1
Kenny Cooper,DAL,F,30,30,2622,18,3,119,60,36,48,39,1,0
Danny Dichio,TOR,F,23,17,1445,5,3,20,10,35,30,26,4,0
Kei Kamara,VAN,F,22,17,1552,4,2,46,21,35,47,12,3,1
Dane Richards,NY,M,23,18,1553,3,6,28,11,35,28,19,2,0
Brian Carroll,CLB,M,30,30,2692,1,2,17,3,35,11,0,5,0
Conor Casey,COL,F,21,16,1313,11,2,51,27,34,21,12,4,1
Brian Ching,HOU,F,25,24,2096,13,5,57,29,34,49,23,2,0
Rohan Ricketts,TOR,M,27,26,2139,4,4,29,19,34,43,5,0,0
Pablo Ricchetti,DAL,D-M,27,25,2252,0,3,10,2,34,16,0,6,2
Brian Mullan,HOU,D,30,28,2343,3,5,18,8,34,41,12,2,0
Alejandro Moreno,CLB,F,27,27,2428,9,4,46,19,34,69,25,1,0
Kheli Dube,NE,F,21,13,1252,4,4,29,13,33,30,8,1,0
Pablo Mastroeni,COL,M,25,23,2004,0,0,9,1,33,24,1,5,0
Jámison Olave,RSL,D,23,23,2006,2,0,10,4,33,17,0,9,0
Nick LaBrocca,COL,M,30,28,2396,2,0,24,11,33,23,2,3,0
Jack Jewsbury,KC,M,29,29,2548,3,7,47,18,33,37,3,6,0
Juan Toja,DAL,M,16,15,1283,2,2,21,13,32,23,4,3,0
Amado Guevara,TOR,M,21,20,1819,4,4,41,19,32,35,4,5,1
Ricardo Clark,CLB,M,25,25,2205,2,1,25,9,32,34,0,6,0
Michael Harrington,KC,D,30,30,2597,2,2,5,4,32,22,1,4,0
Andrew Boyens,NY,D,19,16,1506,0,0,5,0,31,10,0,6,0
Ryan Johnson,SJ,F,28,13,1535,5,1,29,19,31,24,12,2,0
Sainey Nyassi,NE,M,25,18,1661,2,1,28,13,31,39,3,7,0
Rod Dyachenko,DC,M,19,5,776,0,3,7,5,30,11,2,4,0
Dema Kovalenko,RSL,M,22,19,1668,1,2,25,5,30,23,1,7,0
Robbie Rogers,CLB,D,27,26,2334,6,3,70,33,30,73,9,2,0
Clyde Simms,DC,M,30,30,2697,2,2,24,11,30,17,1,5,0
Kenny Deuchar,RSL,F,29,18,1557,3,2,41,18,29,30,18,4,0
Carey Talley,CHV,D,20,18,1605,2,2,12,6,29,15,1,4,0
Ramiro Corrales,SJ,M,22,22,1895,2,2,29,7,29,27,1,5,0
Gonzalo Martinez,DC,D,26,22,2102,1,2,9,2,29,18,1,6,1
Devon McTavish,DC,D,26,25,2223,1,4,11,5,29,17,2,6,0
Colin Clark,COL,M,29,26,2325,5,3,46,17,29,36,10,6,1
Jason Hernandez,SJ,D,28,28,2451,0,1,5,1,29,25,0,6,1
Danny O'Rourke,CLB,D,28,28,2452,0,4,2,0,29,13,0,5,1
Kurt Morsink,KC,M,21,13,1215,0,3,16,6,28,25,1,5,0
Ugo Ihemelu,COL,D,18,16,1493,0,0,2,0,28,18,0,3,0
Eddie Robinson,HOU,D,20,19,1570,0,0,8,4,28,23,1,6,2
Andy Williams,RSL,M,26,16,1602,1,3,41,10,28,23,3,0,1
Frankie Hejduk,CLB,D,24,24,2135,1,4,22,11,28,37,1,9,1
Edson Buddle,LA,F,27,26,2218,15,3,74,38,28,37,30,2,0
Alvaro Pires,LA,M,19,16,1253,1,1,9,3,27,28,0,4,1
Khano Smith,NE,M,23,18,1515,2,3,26,10,27,23,5,3,1
Ryan Cochrane,SJ,D,19,17,1535,2,1,3,2,27,7,2,5,0
Greg Vanney,LA,D,25,24,2050,0,1,7,3,27,12,0,5,0
Nick Garcia,SJ,D,24,24,2151,0,2,0,0,27,16,0,8,0
Bryan Namoff,DC,D,27,27,2398,1,0,13,4,27,20,0,6,2
Ian Joy,RSL,D,19,18,1377,0,0,3,1,26,8,1,4,1
Ante Razov,CHV,F,22,17,1415,5,6,51,18,26,18,21,3,0
Gonzalo Peralta,DC,D,18,17,1514,1,0,6,3,26,13,2,3,0
Stuart Holden,HOU,M,27,18,1652,3,4,35,15,26,34,1,3,0
Chad Marshall,SEA,D,29,29,2485,4,2,23,7,26,11,0,2,0
Ely Allen,LA,F-M,12,11,848,1,1,15,8,25,11,2,2,0
Adam Cristman,NE,F,18,16,1300,6,1,39,24,25,20,5,0,0
Hunter Freeman,NY,D,21,17,1559,0,1,3,0,25,19,1,2,0
Mike Magee,NY,M,26,18,1665,5,1,35,19,25,21,2,2,0
Marc Burch,MIN,D,28,21,1817,0,3,13,5,25,14,0,7,1
Dwayne De Rosario,HOU,M,24,22,1948,7,2,78,34,25,34,35,6,0
Jeff Parke,NY,D,24,23,2025,0,0,12,3,25,30,0,3,1
Guillermo Barros Schelotto,CLB,F,27,27,2216,7,19,54,27,25,63,15,3,0
Jimmy Conrad,KC,D,30,30,2700,6,0,16,7,25,24,0,4,0
Jim Curtin,CHV,D,18,15,1382,1,0,7,4,24,7,1,1,0
Shavar Thomas,CHV,D,19,18,1553,0,0,7,2,24,10,0,7,0
Davy Arnaud,KC,M,24,22,2019,7,3,44,17,24,58,6,5,0
James Riley,SJ,D,24,23,2055,0,2,7,4,24,15,1,6,2
Nat Borchers,RSL,D,29,29,2610,0,1,13,1,24,10,0,4,0
Chris Klein,LA,M,30,30,2685,1,7,19,6,24,15,0,1,0
Sinisa Ubiparipovic,NY,F-M,16,9,821,1,2,12,7,23,15,1,4,0
Juan Pablo Angel,NY,F,23,22,1955,14,3,76,41,23,18,27,2,0
Marco Velez,TOR,D,23,23,1973,2,0,6,4,23,5,0,3,2
