Player,Club,POS,GP,GS,A,GWA,HmA,RdA,A/90min
Guillermo Barros Schelotto,CLB,F,27,27,19,5,13,6,0.77
Javier Morales,RSL,M,29,29,15,2,8,7,0.54
Terry Cooke,COL,M,24,18,12,1,7,5,0.64
Cuauhtemoc Blanco,CHI,M,27,27,11,2,6,5,0.41
Jaime Moreno,DC,F,25,21,10,3,9,1,0.48
David Beckham,LA,M,25,25,10,1,7,3,0.4
Landon Donovan,LA,M-F,25,23,9,3,4,5,0.38
Brad Davis,HOU,M,26,20,8,4,5,3,0.4
Chris Rolfe,CHI,F,26,23,8,3,4,4,0.37
Andre Rocha,DAL,M,27,26,8,4,4,4,0.33
Justin Mapp,CHI,M,30,26,8,3,7,1,0.32
Alan Gordon,LA,F,26,14,7,1,4,3,0.48
Steve Ralston,NE,M,21,20,7,5,5,2,0.37
Sacha Kljestan,ORL,M,22,21,7,3,4,3,0.32
Chad Barrett,CHI,F,29,27,7,1,4,3,0.29
Claudio Lopez,KC,F,28,25,7,3,4,3,0.28
Jack Jewsbury,KC,M,29,29,7,3,5,2,0.25
Chris Klein,LA,M,30,30,7,0,5,2,0.23
Ante Razov,CHV,F,22,17,6,2,4,2,0.38
Christian Gomez,COL,M,20,17,6,1,3,3,0.38
Dane Richards,NY,M,23,18,6,3,3,3,0.35
Arturo Alvarez,HOU,M,28,21,6,0,3,3,0.3
Ronnie O'Brien,SJ,M,28,28,6,2,4,2,0.24
Jorge Rojas,NY,M,11,9,5,0,5,0,0.55
Robbie Findley,RSL,F,29,15,5,1,2,3,0.3
Atiba Harris,CHV,D,28,23,5,2,5,0,0.22
Brian Ching,HOU,F,25,24,5,1,3,2,0.21
Luciano Emilio,DC,F,27,25,5,1,4,1,0.21
Dave van den Bergh,NY,M,26,25,5,2,3,2,0.2
Brian Mullan,HOU,D,30,28,5,1,2,3,0.19
Nate Jaqua,HOU,F,14,11,4,1,4,0,0.4
Mehdi Ballouchy,COL,M,19,12,4,1,2,2,0.3
Darren Huckerby,SJ,M,14,14,4,0,4,0,0.3
Kheli Dube,NE,F,21,13,4,1,2,2,0.29
Omar Cummings,COL,F,26,17,4,0,0,4,0.22
Stuart Holden,HOU,M,27,18,4,2,4,0,0.22
Fred,DC,M,23,20,4,0,3,1,0.21
Ned Grabavoy,SJ,M,24,21,4,0,2,2,0.21
Amado Guevara,TOR,M,21,20,4,0,1,3,0.2
Adrian Serioux,DAL,D,24,24,4,0,1,3,0.19
Santino Quaranta,DC,M-F,27,23,4,1,3,1,0.18
Richard Mulrooney,HOU,M,23,22,4,1,3,1,0.18
Frankie Hejduk,CLB,D,24,24,4,2,3,1,0.17
Rohan Ricketts,TOR,M,27,26,4,1,3,1,0.17
Ivan Guerrero,DC,M,27,26,4,2,3,1,0.17
Seth Stammler,NY,M-D,26,26,4,2,4,0,0.16
Devon McTavish,DC,D,26,25,4,0,4,0,0.16
Alejandro Moreno,CLB,F,27,27,4,1,3,1,0.15
Francisco Mendoza,CHV,M,28,28,4,1,3,1,0.15
Danny O'Rourke,CLB,D,28,28,4,2,2,2,0.15
Rod Dyachenko,DC,M,19,5,3,1,1,2,0.35
Carlos Marinelli,KC,M,15,7,3,0,2,1,0.35
Peter Vagenas,LA,M,14,11,3,1,2,1,0.29
Josh Wolff,KC,F,12,11,3,0,3,0,0.28
Marcelo Gallardo,DC,M,15,14,3,1,3,0,0.23
Roger Espinoza,SKC,M,22,12,3,1,2,1,0.23
Ante Jazic,LA,D,15,14,3,0,0,3,0.23
Kurt Morsink,KC,M,21,13,3,1,1,2,0.22
Hérculez Gómez,COL,F,25,12,3,2,3,0,0.22
Craig Waibel,HOU,D,14,14,3,0,3,0,0.22
Laurent Robert,TOR,M,17,16,3,1,1,2,0.2
Danny Dichio,TOR,F,23,17,3,0,1,2,0.19
Mike Randolph,LA,D,20,15,3,0,2,1,0.18
Khano Smith,NE,M,23,18,3,1,2,1,0.18
Mauricio Castro,NE,M,24,22,3,0,1,2,0.17
Andy Williams,RSL,M,26,16,3,2,3,0,0.17
Marc Burch,MIN,D,28,21,3,1,3,0,0.15
Juan Pablo Angel,NY,F,23,22,3,0,3,0,0.14
Davy Arnaud,KC,M,24,22,3,1,2,1,0.13
Scott Sealy,KC,F,27,24,3,1,3,0,0.13
Paulo Nagamura,CHV,M,24,24,3,1,2,1,0.13
Edson Buddle,LA,F,27,26,3,1,2,1,0.12
Pablo Ricchetti,DAL,D-M,27,25,3,0,1,2,0.12
Colin Clark,COL,M,29,26,3,2,2,1,0.12
Robbie Rogers,CLB,D,27,26,3,1,1,2,0.12
Jim Brennan,TOR,D,28,27,3,0,1,2,0.11
Chris Wingert,RSL,D,29,29,3,1,2,1,0.1
Kenny Cooper,DAL,F,30,30,3,0,3,0,0.1
Macoumba Kandji,NY,F,5,2,2,0,2,0,0.67
Eric Avila,DAL,M,14,3,2,0,1,1,0.35
Pat Noonan,CLB,F,11,6,2,0,2,0,0.34
Maykel Galindo,CHV,F,10,5,2,0,2,0,0.33
Tomasz Frankowski,CHI,F,17,7,2,1,2,0,0.29
Alecko Eskandarian,CHV,F,11,8,2,1,0,2,0.27
Eddie Lewis,LA,M,8,8,2,0,1,1,0.25
Dax McCarty,CHI,M,17,8,2,1,0,2,0.22
