day,date,home_team,result,away_team
Saturday,March 29,New England,3-0,HOU
Sunday,April 6,HOU,3-3,FC Dallas
Saturday,April 12,Sporting KC,0-0,HOU
Saturday,April 19,LA Galaxy,2-2,HOU
Saturday,April 26,Columbus,1-0,HOU
Saturday,May 3,HOU,0-0,Chivas USA
Saturday,May 10,HOU,2-1,Colorado
Saturday,May 17,Chicago,1-2,HOU
Thursday,May 22,San Jose,2-1,HOU
Wednesday,May 28,FC Dallas,2-2,HOU
Saturday,May 31,HOU,1-0,NY Red Bulls
Sunday,June 8,HOU,3-1,Toronto FC
Thursday,June 12,HOU,0-2,New England
Saturday,June 21,Colorado,0-0,HOU
Thursday,June 26,HOU,1-1,FC Dallas
Thursday,July 3,Real Salt Lake,0-0,HOU
Tuesday,July 22,D.C. United,0-0,HOU
Wednesday,July 23,D.C. United,0-2,HOU
Saturday,August 2,HOU,2-0,Columbus
Saturday,August 16,HOU,4-3,Real Salt Lake
Wednesday,August 20,HOU,4-0,Chivas USA
Sunday,August 24,NY Red Bulls,3-0,HOU
Sunday,August 31,HOU,2-1,Chicago
Sunday,September 7,HOU,3-1,Sporting KC
Saturday,September 13,San Jose,1-1,HOU
Saturday,September 27,Toronto FC,1-1,HOU
Saturday,October 4,Colorado,1-3,HOU
Sunday,October 12,HOU,0-0,D.C. United
Wednesday,October 15,HOU,2-1,San Jose
Saturday,October 18,HOU,3-0,LA Galaxy
Saturday,October 25,Chivas USA,1-1,HOU
