Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,Sv%
Joe Cannon,SJ,GK,30,30,2700,166,124,38,1.27,3/5,74.7
Jon Busch,CHI,GK,30,30,2700,156,122,33,1.1,0/1,78.2
Kevin Hartman,KC,GK,30,30,2700,162,117,39,1.3,3/3,72.2
Greg Sutton,TOR,GK,24,24,2160,160,116,35,1.46,6/7,72.5
Matt Reis,NE,GK,28,28,2485,150,107,38,1.36,3/4,71.3
Jon Conway,NY,GK,28,28,2520,146,98,42,1.5,2/3,67.1
William Hesmer,CLB,GK,29,29,2610,132,97,33,1.14,2/5,73.5
Nick Rimando,RSL,GK,30,30,2700,140,96,39,1.3,4/4,68.6
Dario Sala,DAL,GK,28,28,2520,131,92,37,1.32,1/1,70.2
Steve Cronin,LA,GK,22,22,1935,141,92,44,2.0,3/3,65.2
Pat Onstad,HOU,GK,24,24,2098,105,76,24,1.0,0/1,72.4
Zach Wells,DC,GK,17,17,1530,85,56,28,1.65,0/0,65.9
Bouna Coundoul,COL,GK,17,17,1530,77,54,21,1.24,3/3,70.1
Brad Guzan,ATL,GK,15,15,1350,71,48,20,1.33,1/1,67.6
Louis Crayton,DC,GK,12,12,1080,64,43,19,1.58,0/0,67.2
Preston Burpo,COL,GK,13,13,1170,63,37,24,1.85,1/2,58.7
Tony Caig,HOU,GK,7,6,602,36,24,8,1.33,0/0,66.7
Brian Edwards,TOR,GK,6,6,540,31,23,8,1.33,0/0,74.2
Dan Kennedy,CHV,GK,9,8,699,33,23,8,1.0,1/2,69.7
Josh Wicks,LA,GK,6,5,495,33,20,12,2.4,0/0,60.6
Zach Thornton,CHV,GK,8,7,651,32,16,13,1.86,1/1,50.0
Ray Burse,DAL,GK,2,2,180,16,12,4,2.0,1/1,75.0
Josh Saunders,LA,GK,3,3,270,13,8,6,2.0,1/1,61.5
Doug Warren,NE,GK,3,2,215,10,5,5,2.5,0/0,50.0
Danny Cepero,NY,GK,2,2,180,11,5,6,3.0,0/0,45.5
Andy Gruenebaum,CLB,GK,1,1,90,5,2,3,3.0,0/0,40.0
Jose Carvallo,DC,GK,1,1,90,6,2,4,4.0,0/0,33.3
Caleb Patterson-Sewell,TOR,GK,0,0,0,0,0,0,0.0,0/0,0.0
Lance Parker,CHV,GK,0,0,0,0,0,0,0.0,0/0,0.0
Josh Lambo,DAL,GK,0,0,0,0,0,0,0.0,0/0,0.0
Kenny Schoeni,CLB,GK,0,0,0,0,0,0,0.0,0/0,0.0
David Monsalve,DAL,GK,0,0,0,0,0,0,0.0,0/0,0.0
Justin Hughes,COL,GK,0,0,0,0,0,0,0.0,0/0,0.0
Kyle Reynish,RSL,GK,0,0,0,0,0,0,0.0,0/0,0.0
Chris Seitz,HOU,GK,0,0,0,0,0,0,0.0,0/0,0.0
Eric Kronberg,KC,GK,0,0,0,0,0,0,0.0,0/0,0.0
Boris Pardo,KC,GK,0,0,0,0,0,0,0.0,0/0,0.0
Brad Knighton,NE,GK,0,0,0,0,0,0,0.0,0/0,0.0
Nick Noble,CHI,GK,0,0,0,0,0,0,0.0,0/0,0.0
Terry Boss,NY,GK,0,0,0,0,0,0,0.0,0/0,0.0
Tyler Kettering,CHI,GK,0,0,0,0,0,0,0.0,0/0,0.0
Andrew Kartunen,KC,GK,0,0,0,0,0,0,0.0,0/0,0.0
Chris Sharpe,COL,GK,0,0,0,0,0,0,0.0,0/0,0.0
Mike Graczyk,COL,GK,0,0,0,0,0,0,0.0,0/0,0.0
Dan Benton,SJ,GK,0,0,0,0,0,0,0.0,0/0,0.0
James Thorpe,DC,GK,0,0,0,0,0,0,0.0,0/0,0.0
Michael Gustavson,SJ,GK,0,0,0,0,0,0,0.0,0/0,0.0
Corbin Waller,HOU,GK,0,0,0,0,0,0,0.0,0/0,0.0
Charles Alamo,LA,GK,0,0,0,0,0,0,0.0,0/0,0.0
Vito Higgins,LA,GK,0,0,0,0,0,0,0.0,0/0,0.0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
