round,home_team,home_score,away_score,away_team,notes
1,Bayern München,2,1,VfL Wolfsburg[Aug 21],
1,1899 Hoffenheim,4,1,Werder Bremen,
1,Borussia M'gladbach,1,1,1. FC Nürnberg,
1,1. FC Köln,1,3,1. FC Kaiserslautern,
1,SC Freiburg,1,3,FC St. Pauli,
1,Hannover 96,2,1,Eintracht Frankfurt,
1,Hamburger SV,2,1,FC Schalke 04[Aug 22],
1,1. FSV Mainz 05,2,0,VfB Stuttgart,
1,Borussia Dortmund,0,2,Bayer Leverkusen,
2,1. FC Kaiserslautern,2,0,Bayern München[Aug 28],
2,FC Schalke 04,1,2,Hannover 96,
2,Werder Bremen,4,2,1. FC Köln,
2,VfL Wolfsburg,3,4,1. FSV Mainz 05,
2,Eintracht Frankfurt,1,3,Hamburger SV,
2,1. FC Nürnberg,1,2,SC Freiburg,
2,FC St. Pauli,0,1,1899 Hoffenheim[Aug 29],
2,Bayer Leverkusen,3,6,Borussia M'gladbach,
2,VfB Stuttgart,1,3,Borussia Dortmund,
3,1899 Hoffenheim,2,0,FC Schalke 04[Sep 11],
3,Borussia Dortmund,2,0,VfL Wolfsburg,
3,Hamburger SV,1,1,1. FC Nürnberg,
3,Borussia M'gladbach,0,4,Eintracht Frankfurt,
3,SC Freiburg,2,1,VfB Stuttgart,
3,Hannover 96,2,2,Bayer Leverkusen,
3,Bayern München,0,0,Werder Bremen[Sep 12],
3,1. FSV Mainz 05,2,1,1. FC Kaiserslautern,
3,1. FC Köln,1,0,FC St. Pauli,
4,Eintracht Frankfurt,0,1,SC Freiburg[Sep 18],
4,Bayern München,0,0,1. FC Köln,
4,Werder Bremen,0,2,1. FSV Mainz 05,
4,VfB Stuttgart,7,0,Borussia M'gladbach,
4,VfL Wolfsburg,2,0,Hannover 96,
4,1. FC Kaiserslautern,2,2,1899 Hoffenheim[Sep 19],
4,FC St. Pauli,1,1,Hamburger SV,
4,FC Schalke 04,1,3,Borussia Dortmund,
4,Bayer Leverkusen,0,0,1. FC Nürnberg,
5,1. FSV Mainz 05,2,0,1. FC Köln,
5,1899 Hoffenheim,1,2,Bayern München,
5,Hannover 96,4,1,Werder Bremen[Sep 22],
5,Bayer Leverkusen,2,1,Eintracht Frankfurt,
5,Borussia Dortmund,5,0,1. FC Kaiserslautern,
5,Hamburger SV,1,3,VfL Wolfsburg,
5,Borussia M'gladbach,1,2,FC St. Pauli,
5,SC Freiburg,1,2,FC Schalke 04,
5,1. FC Nürnberg,2,1,VfB Stuttgart,
6,1. FC Köln,1,1,1899 Hoffenheim[Sep 25],
6,Bayern München,1,2,1. FSV Mainz 05,
6,FC Schalke 04,2,2,Borussia M'gladbach,
6,VfB Stuttgart,1,4,Bayer Leverkusen,
6,Eintracht Frankfurt,2,0,1. FC Nürnberg,
6,FC St. Pauli,1,3,Borussia Dortmund,
6,Werder Bremen,3,2,Hamburger SV[Sep 26],
6,VfL Wolfsburg,2,1,SC Freiburg,
6,1. FC Kaiserslautern,0,1,Hannover 96,
7,Hannover 96,0,1,FC St. Pauli[Oct 2],
7,Hamburger SV,2,1,1. FC Kaiserslautern,
7,1. FSV Mainz 05,4,2,1899 Hoffenheim,
7,Borussia M'gladbach,1,1,=VfL Wolfsburg,
7,SC Freiburg,3,2,1. FC Köln,
7,1. FC Nürnberg,2,1,FC Schalke 04[Oct 3],
7,VfB Stuttgart,1,2,Eintracht Frankfurt,
7,Borussia Dortmund,2,0,Bayern München,
7,Bayer Leverkusen,2,2,Werder Bremen,
8,1. FC Köln,1,2,Borussia Dortmund[Oct 16],
8,Bayern München,3,0,Hannover 96,
8,FC Schalke 04,2,2,VfB Stuttgart,
8,Werder Bremen,2,1,SC Freiburg,
8,1. FSV Mainz 05,0,1,Hamburger SV,
8,FC St. Pauli,3,2,1. FC Nürnberg,
8,VfL Wolfsburg,2,3,Bayer Leverkusen[Oct 17],
8,1. FC Kaiserslautern,0,3,Eintracht Frankfurt,
8,1899 Hoffenheim,3,2,Borussia M'gladbach,
9,Hamburger SV,0,0,Bayern München[Oct 23],
9,Eintracht Frankfurt,0,0,FC Schalke 04,
9,Borussia M'gladbach,1,4,Werder Bremen,
9,SC Freiburg,2,1,1. FC Kaiserslautern,
9,Hannover 96,2,1,1. FC Köln,
9,1. FC Nürnberg,2,1,VfL Wolfsburg[Oct 24],
9,Borussia Dortmund,1,1,1899 Hoffenheim,
9,Bayer Leverkusen,0,1,1. FSV Mainz 05,
9,VfB Stuttgart,2,0,FC St. Pauli,
10,Bayern München,4,2,SC Freiburg[Oct 30],
10,Werder Bremen,2,3,1. FC Nürnberg,
10,VfL Wolfsburg,2,0,VfB Stuttgart,
10,1. FC Köln,3,2,Hamburger SV,
10,1. FC Kaiserslautern,3,0,Borussia M'gladbach,
10,FC St. Pauli,1,3,Eintracht Frankfurt,
10,FC Schalke 04,0,1,Bayer Leverkusen[Oct 31],
10,1. FSV Mainz 05,0,2,Borussia Dortmund,
10,1899 Hoffenheim,4,0,Hannover 96,
11,FC Schalke 04,3,0,FC St. Pauli[Nov 6],
11,Hamburger SV,2,1,1899 Hoffenheim,
11,Eintracht Frankfurt,3,1,VfL Wolfsburg,
11,Borussia M'gladbach,3,3,Bayern München,
11,SC Freiburg,1,0,1. FSV Mainz 05,
11,1. FC Nürnberg,3,1,1. FC Köln[Nov 7],
11,Hannover 96,0,4,Borussia Dortmund,
11,Bayer Leverkusen,3,1,1. FC Kaiserslautern,
11,VfB Stuttgart,6,0,Werder Bremen,
12,Borussia Dortmund,2,0,Hamburger SV[Nov 13],
12,Werder Bremen,0,0,Eintracht Frankfurt,
12,VfL Wolfsburg,2,2,FC Schalke 04,
12,1. FC Köln,0,4,Borussia M'gladbach,
12,1. FC Kaiserslautern,3,3,VfB Stuttgart,
12,FC St. Pauli,0,1,Bayer Leverkusen,
12,1. FSV Mainz 05,0,1,Hannover 96[Nov 14],
12,1899 Hoffenheim,0,1,SC Freiburg,
12,Bayern München,3,0,1. FC Nürnberg,
13,FC Schalke 04,4,0,Werder Bremen,
13,Eintracht Frankfurt,0,4,1899 Hoffenheim,
13,Borussia M'gladbach,2,3,1. FSV Mainz 05,
13,SC Freiburg,1,2,Borussia Dortmund,
13,Hannover 96,3,2,Hamburger SV,
13,1. FC Nürnberg,1,3,1. FC Kaiserslautern,
13,Bayer Leverkusen,1,1,Bayern München[Nov 21],
13,VfB Stuttgart,0,1,1. FC Köln,
13,FC St. Pauli,1,1,VfL Wolfsburg,
14,1. FSV Mainz 05,3,0,1. FC Nürnberg[Nov 27],
14,Bayern München,4,1,Eintracht Frankfurt,
14,Hamburger SV,4,2,VfB Stuttgart,
14,1899 Hoffenheim,2,2,Bayer Leverkusen,
14,Hannover 96,3,0,SC Freiburg,
14,1. FC Kaiserslautern,5,0,FC Schalke 04,
14,Borussia Dortmund,4,1,Borussia M'gladbach[Nov 28],
14,Werder Bremen,3,0,FC St. Pauli,
14,1. FC Köln,1,1,VfL Wolfsburg,
15,FC St. Pauli,1,0,1. FC Kaiserslautern[Dec 4],
15,VfB Stuttgart,1,1,1899 Hoffenheim,
15,VfL Wolfsburg,0,0,Werder Bremen,
15,Eintracht Frankfurt,2,1,1. FSV Mainz 05,
15,Borussia M'gladbach,1,2,Hannover 96,
15,SC Freiburg,1,0,Hamburger SV,
15,FC Schalke 04,2,0,Bayern München[Dec 5],
15,Bayer Leverkusen,3,2,1. FC Köln,
15,1. FC Nürnberg,0,2,Borussia Dortmund,
16,Hannover 96,2,1,VfB Stuttgart[Dec 11],
16,Bayern München,3,0,FC St. Pauli,
16,Hamburger SV,2,4,Bayer Leverkusen,
16,1899 Hoffenheim,1,1,1. FC Nürnberg,
16,1. FC Köln,1,0,Eintracht Frankfurt,
16,1. FC Kaiserslautern,0,0,VfL Wolfsburg,
16,Borussia Dortmund,2,0,Werder Bremen[Dec 12],
16,SC Freiburg,3,0,Borussia M'gladbach,
16,1. FSV Mainz 05,0,1,FC Schalke 04,
17,Borussia M'gladbach,1,2,Hamburger SV[Dec 18],
17,FC Schalke 04,3,0,1. FC Köln,
17,Werder Bremen,1,2,1. FC Kaiserslautern,
17,VfL Wolfsburg,2,2,1899 Hoffenheim,
17,Eintracht Frankfurt,1,0,Borussia Dortmund,
17,1. FC Nürnberg,3,1,Hannover 96,
17,FC St. Pauli,2,4,1. FSV Mainz 05[Dec 19],
17,Bayer Leverkusen,2,2,SC Freiburg,
17,VfB Stuttgart,3,5,Bayern München,
18,Bayer Leverkusen,1,3,Borussia Dortmund[Jan 15],
18,Werder Bremen,2,1,1899 Hoffenheim,
18,VfB Stuttgart,1,0,1. FSV Mainz 05,
18,VfL Wolfsburg,1,1,Bayern München,
18,1. FC Nürnberg,0,1,Borussia M'gladbach,
18,FC St. Pauli,2,2,SC Freiburg,
18,FC Schalke 04,0,1,Hamburger SV[Jan 16],
18,Eintracht Frankfurt,0,3,Hannover 96,
18,1. FC Kaiserslautern,1,1,1. FC Köln,
19,Hamburger SV,1,0,Eintracht Frankfurt[Jan 22],
19,Bayern München,5,1,1. FC Kaiserslautern,
19,Borussia Dortmund,1,1,VfB Stuttgart,
19,1. FSV Mainz 05,0,1,VfL Wolfsburg,
19,SC Freiburg,1,1,1. FC Nürnberg,
19,Hannover 96,0,1,FC Schalke 04,
19,1. FC Köln,3,0,Werder Bremen[Jan 23],
19,Borussia M'gladbach,1,3,Bayer Leverkusen,
19,1899 Hoffenheim,2,2,FC St. Pauli,
20,Bayer Leverkusen,2,0,Hannover 96[Jan 29],
20,FC Schalke 04,0,1,1899 Hoffenheim,
20,Werder Bremen,1,3,Bayern München,
20,VfL Wolfsburg,0,3,Borussia Dortmund,
20,1. FC Nürnberg,2,0,Hamburger SV,
20,FC St. Pauli,3,0,1. FC Köln,
20,1. FC Kaiserslautern,0,1,1. FSV Mainz 05[Jan 30],
20,VfB Stuttgart,0,1,SC Freiburg,
20,Eintracht Frankfurt,0,1,Borussia M'gladbach,
21,Borussia Dortmund,0,0,FC Schalke 04[Feb 5],
21,1. FSV Mainz 05,1,1,Werder Bremen,
21,1899 Hoffenheim,3,2,1. FC Kaiserslautern,
21,1. FC Köln,3,2,Bayern München,
21,Hannover 96,1,0,VfL Wolfsburg,
21,1. FC Nürnberg,1,0,Bayer Leverkusen,
21,Borussia M'gladbach,2,3,VfB Stuttgart[Feb 6],
21,SC Freiburg,0,0,Eintracht Frankfurt[Feb 16],
21,Hamburger SV,0,1,FC St. Pauli,
22,Bayern München,4,0,1899 Hoffenheim,
22,FC Schalke 04,1,0,SC Freiburg,
22,VfB Stuttgart,1,4,1. FC Nürnberg,
22,VfL Wolfsburg,0,1,Hamburger SV,
22,Eintracht Frankfurt,0,3,Bayer Leverkusen,
22,FC St. Pauli,3,1,Borussia M'gladbach,
22,1. FC Kaiserslautern,1,1,Borussia Dortmund[Feb 13],
22,1. FC Köln,4,2,1. FSV Mainz 05,
22,Werder Bremen,1,1,Hannover 96,
23,1. FC Nürnberg,3,0,Eintracht Frankfurt[Feb 19],
23,Borussia Dortmund,2,0,FC St. Pauli,
23,Hamburger SV,4,0,Werder Bremen,
23,1899 Hoffenheim,1,1,1. FC Köln,
23,SC Freiburg,2,1,VfL Wolfsburg,
23,Hannover 96,3,0,1. FC Kaiserslautern,
23,1. FSV Mainz 05,1,3,Bayern München[Feb 20],
23,Bayer Leverkusen,4,2,VfB Stuttgart,
23,Borussia M'gladbach,2,1,FC Schalke 04,
24,VfL Wolfsburg,2,1,Borussia M'gladbach[Feb 26],
24,FC Schalke 04,1,1,1. FC Nürnberg,
24,1899 Hoffenheim,1,2,1. FSV Mainz 05,
24,1. FC Köln,1,0,SC Freiburg,
24,1. FC Kaiserslautern,1,1,Hamburger SV,
24,FC St. Pauli,0,1,Hannover 96,
24,Bayern München,1,3,Borussia Dortmund[Feb 27],
24,Eintracht Frankfurt,0,2,VfB Stuttgart,
24,Werder Bremen,2,2,Bayer Leverkusen,
25,Borussia Dortmund,1,0,1. FC Köln[Mar 5],
25,VfB Stuttgart,1,0,FC Schalke 04,
25,Eintracht Frankfurt,0,0,1. FC Kaiserslautern,
25,Borussia M'gladbach,2,0,1899 Hoffenheim,
25,Hannover 96,3,1,Bayern München,
25,1. FC Nürnberg,5,0,FC St. Pauli,
25,Bayer Leverkusen,3,0,VfL Wolfsburg[Mar 6],
25,SC Freiburg,1,3,Werder Bremen,
25,Hamburger SV,2,4,1. FSV Mainz 05,
26,1. FC Köln,4,0,Hannover 96[Mar 12],
26,Bayern München,6,0,Hamburger SV,
26,FC Schalke 04,2,1,Eintracht Frankfurt,
26,VfL Wolfsburg,1,2,1. FC Nürnberg,
26,1899 Hoffenheim,1,0,Borussia Dortmund,
26,1. FC Kaiserslautern,2,1,SC Freiburg,
26,Werder Bremen,1,1,Borussia M'gladbach[Mar 13],
26,1. FSV Mainz 05,0,1,Bayer Leverkusen,
26,FC St. Pauli,1,2,VfB Stuttgart,
27,Borussia M'gladbach,0,1,1. FC Kaiserslautern[Mar 19],
27,Hamburger SV,6,2,1. FC Köln,
27,Eintracht Frankfurt,2,1,FC St. Pauli,
27,SC Freiburg,1,2,Bayern München,
27,Hannover 96,2,0,1899 Hoffenheim,
27,1. FC Nürnberg,1,3,Werder Bremen,
27,Borussia Dortmund,1,1,1. FSV Mainz 05[Mar 20],
27,Bayer Leverkusen,2,0,FC Schalke 04,
27,VfB Stuttgart,1,1,VfL Wolfsburg,
28,FC St. Pauli,0,2,FC Schalke 04[Apr 2],
28,Bayern München,1,0,Borussia M'gladbach,
28,Werder Bremen,1,1,VfB Stuttgart,
28,Borussia Dortmund,4,1,Hannover 96,
28,1. FSV Mainz 05,1,1,SC Freiburg,
28,1. FC Kaiserslautern,0,1,Bayer Leverkusen,
28,1899 Hoffenheim,0,0,Hamburger SV[Apr 3],
28,1. FC Köln,1,0,1. FC Nürnberg,
28,VfL Wolfsburg,1,1,Eintracht Frankfurt,
29,Eintracht Frankfurt,1,1,Werder Bremen[Apr 9],
29,FC Schalke 04,1,0,VfL Wolfsburg,
29,VfB Stuttgart,2,4,1. FC Kaiserslautern,
29,Hamburger SV,1,1,Borussia Dortmund,
29,SC Freiburg,3,2,1899 Hoffenheim,
29,Hannover 96,2,0,1. FSV Mainz 05,
29,1. FC Nürnberg,1,1,Bayern München[Apr 10],
29,Borussia M'gladbach,5,1,1. FC Köln,
29,Bayer Leverkusen,2,1,FC St. Pauli,
30,1. FSV Mainz 05,1,0,Borussia M'gladbach[Apr 16],
30,Werder Bremen,1,1,FC Schalke 04,
30,Hamburger SV,0,0,Hannover 96,
30,VfL Wolfsburg,2,2,FC St. Pauli,
30,1899 Hoffenheim,1,0,Eintracht Frankfurt,
30,1. FC Köln,1,3,VfB Stuttgart,
30,1. FC Kaiserslautern,0,2,1. FC Nürnberg[Apr 17],
30,Bayern München,5,1,Bayer Leverkusen,
30,Borussia Dortmund,3,0,SC Freiburg,
31,SC Freiburg,1,3,Hannover 96[Apr 23],
31,FC Schalke 04,0,1,1. FC Kaiserslautern,
31,Bayer Leverkusen,2,1,1899 Hoffenheim,
31,VfB Stuttgart,3,0,Hamburger SV,
31,Eintracht Frankfurt,1,1,Bayern München,
31,Borussia M'gladbach,1,0,Borussia Dortmund,
31,FC St. Pauli,1,3,Werder Bremen[Apr 24],
31,1. FC Nürnberg,0,0,1. FSV Mainz 05,
31,VfL Wolfsburg,4,1,1. FC Köln,
32,Werder Bremen,0,1,VfL Wolfsburg,
32,1. FC Kaiserslautern,2,0,FC St. Pauli[Apr 30],
32,Bayern München,4,1,FC Schalke 04,
32,Borussia Dortmund,2,0,1. FC Nürnberg,
32,Hamburger SV,0,2,SC Freiburg,
32,1. FSV Mainz 05,3,0,Eintracht Frankfurt,
32,1899 Hoffenheim,1,2,VfB Stuttgart,
32,1. FC Köln,2,0,Bayer Leverkusen,
32,Hannover 96,0,1,Borussia M'gladbach,
33,FC Schalke 04,1,3,1. FSV Mainz 05,
33,Werder Bremen,2,0,Borussia Dortmund,
33,Bayer Leverkusen,1,1,Hamburger SV,
33,VfB Stuttgart,2,1,Hannover 96,
33,VfL Wolfsburg,1,2,1. FC Kaiserslautern,
33,Eintracht Frankfurt,0,2,1. FC Köln,
33,Borussia M'gladbach,2,0,SC Freiburg,
33,1. FC Nürnberg,1,2,1899 Hoffenheim,
33,FC St. Pauli,1,8,Bayern München,
34,Bayern München,2,1,VfB Stuttgart,
34,1899 Hoffenheim,1,3,VfL Wolfsburg,
34,Hannover 96,3,1,1. FC Nürnberg,
34,Borussia Dortmund,3,1,Eintracht Frankfurt,
34,Hamburger SV,1,1,Borussia M'gladbach,
34,1. FSV Mainz 05,2,1,FC St. Pauli,
34,1. FC Köln,2,1,FC Schalke 04,
34,SC Freiburg,0,1,Bayer Leverkusen,
34,1. FC Kaiserslautern,3,2,Werder Bremen,
