Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA
E3,10/08/02,Boston,Bournemouth,2,2,D,0,1,A,A Kaye,5,8,2,5,14,12,3,5,3,2,0,0,2.4,3.2,2.6,,,,2.3,3,2.4,2.6,3.2,2.375,,,,2.375,3.2,2.625,2.37,3.1,2.62
E3,10/08/02,Cambridge,Darlington,1,2,A,1,1,D,J P Robinson,6,16,5,7,18,25,12,11,5,3,0,0,1.909,3.25,3.5,2.05,3.2,3.3,1.9,3.1,3,1.727,3.4,4,,,,1.909,3.25,3.5,2,3.2,3.2
E3,10/08/02,Carlisle,Hartlepool,1,3,A,0,1,A,G Cain,6,12,3,4,9,9,5,6,0,3,0,0,2.375,3.2,2.625,2.53,3.15,2.5,2.4,3,2.3,2.4,3.25,2.5,,,,2.6,3.2,2.4,2.5,3.1,2.5
E3,10/08/02,Hull,Southend,2,2,D,1,0,H,E Evans,14,14,6,7,21,12,3,4,4,5,1,0,1.533,3.5,5.5,1.55,3.5,5.6,1.55,3.3,4.5,1.615,3.25,5,,,,1.571,3.4,5.5,1.53,3.4,5.5
E3,10/08/02,Kidderminster,Lincoln,1,1,D,0,1,A,P Crossley,13,7,10,6,13,15,6,8,2,5,0,1,1.571,3.4,5.5,1.63,3.3,5.25,1.6,3.1,4.4,1.667,3.25,4.5,,,,1.667,3.4,4.5,1.61,3.25,5
E3,10/08/02,Macclesfield,York,1,1,D,1,0,H,P Joslin,9,6,5,3,16,12,9,8,2,3,0,0,2.1,3.25,3,2.28,3.3,2.7,2.2,3,2.6,2.2,3.25,2.75,,,,2.2,3.25,2.8,2.25,3.25,2.7
E3,10/08/02,Oxford,Bury,2,1,H,2,0,H,M Messias,4,12,4,8,13,14,4,8,3,3,0,0,1.909,3.25,3.5,1.94,3.45,3.3,1.9,3.1,3,2.1,3.2,3,,,,1.909,3.25,3.5,1.9,3.4,3.25
E3,10/08/02,Rochdale,Leyton Orient,1,0,H,0,0,D,E Ilderton,10,11,6,5,10,18,5,7,1,1,0,0,1.727,3.5,4,1.73,3.4,4.25,1.7,3.2,3.7,1.727,3.4,4,,,,1.8,3.25,4,1.72,3.4,4
E3,10/08/02,Scunthorpe,Wrexham,1,1,D,1,0,H,M Thorpe,11,12,6,6,19,13,5,7,1,1,0,0,2.1,3.25,3,2.25,3.25,2.8,2.2,3,2.6,2.25,3.2,2.75,,,,2.1,3.25,3,2.25,3.25,2.7
E3,10/08/02,Shrewsbury,Exeter,1,0,H,1,0,H,L Mason,,,,,,,,,,,,,1.667,3.5,4.333,1.73,3.35,4.3,1.7,3.2,3.7,1.727,3.4,4,,,,1.75,3.25,4,1.72,3.25,4.2
