day,date,home_team,result,away_team
Saturday,April 2,CHV,0-2,D.C. United
Saturday,April 9,San Jose,3-3,CHV
Saturday,April 16,CHV,1-3,FC Dallas
Saturday,April 23,LA Galaxy,3-1,CHV
Saturday,April 30,New England,1-0,CHV
Saturday,May 7,CHV,1-0,Real Salt Lake
Saturday,May 14,Colorado,2-1,CHV
Wednesday,May 18,Real Salt Lake,2-0,CHV
Sunday,May 22,CHV,2-5,FC Dallas
Saturday,May 28,CHV,0-2,LA Galaxy
Wednesday,June 1,CHV,1-1,Sporting KC
Saturday,June 4,Chicago,5-2,CHV
Sunday,June 12,CHV,1-1,San Jose
Saturday,June 18,CHV,1-3,Colorado
Wednesday,June 22,FC Dallas,2-1,CHV
Saturday,June 25,Sporting KC,3-0,CHV
Saturday,July 2,CHV,0-1,Chicago
Saturday,July 9,CHV,5-1,Real Salt Lake
Saturday,July 16,LA Galaxy,2-0,CHV
Friday,July 22,CHV,1-0,New England
Saturday,August 6,Real Salt Lake,2-1,CHV
Wednesday,August 10,CHV,0-1,LA Galaxy
Saturday,August 13,D.C. United,3-0,CHV
Sunday,August 21,NY Red Bulls,3-3,CHV
Saturday,August 27,FC Dallas,2-2,CHV
Saturday,September 3,CHV,0-3,Columbus
Saturday,September 10,San Jose,3-0,CHV
Saturday,September 17,CHV,1-2,San Jose
Saturday,September 24,CHV,1-3,Colorado
Saturday,October 1,Columbus,0-1,CHV
Wednesday,October 5,Colorado,1-1,CHV
Sunday,October 16,CHV,0-2,NY Red Bulls
