day,date,home_team,result,away_team
Saturday,April 2,Columbus,3-0,LA
Saturday,April 9,LA,3-1,Real Salt Lake
Saturday,April 23,LA,3-1,Chivas USA
Saturday,April 30,LA,2-0,FC Dallas
Sunday,May 8,LA,3-2,Colorado
Saturday,May 14,Real Salt Lake,2-1,LA
Saturday,May 21,LA,2-1,San Jose
Wednesday,May 25,LA,0-0,Columbus
Saturday,May 28,Chivas USA,0-2,LA
Saturday,June 4,LA,2-2,NY Red Bulls
Saturday,June 11,LA,1-0,Real Salt Lake
Wednesday,June 15,Colorado,1-0,LA
Saturday,June 18,FC Dallas,1-0,LA
Wednesday,June 22,Real Salt Lake,1-1,LA
Saturday,June 25,San Jose,3-0,LA
Monday,July 4,LA,1-1,New England
Saturday,July 9,NY Red Bulls,2-1,LA
Saturday,July 16,LA,2-0,Chivas USA
Saturday,July 23,LA,0-1,D.C. United
Wednesday,July 27,New England,1-1,LA
Saturday,August 6,Colorado,2-0,LA
Wednesday,August 10,Chivas USA,0-1,LA
Saturday,August 13,Chicago,2-1,LA
Saturday,August 20,D.C. United,2-3,LA
Saturday,August 27,San Jose,2-1,LA
Sunday,September 4,LA,1-2,Chicago
Saturday,September 10,LA,4-1,Colorado
Saturday,September 17,Sporting KC,2-2,LA
Wednesday,September 21,FC Dallas,4-1,LA
Sunday,September 25,LA,2-1,Sporting KC
Saturday,October 1,LA,2-1,FC Dallas
Saturday,October 15,LA,1-3,San Jose
