Player,Club,POS,GP,GS,MINS,GA,GAA,PKG/A,W,L,T,ShO,W%
Pat Onstad,SJ,GK,32,32,2880,31,0.97,4/5,18,4,10,12,56.3
Nick Rimando,RSL,GK,30,30,2700,35,1.17,4/5,15,9,6,11,50.0
Matt Reis,NE,GK,31,31,2784,35,1.13,4/5,16,7,8,10,51.6
Joe Cannon,COL,GK,27,27,2399,32,1.19,6/6,10,12,4,8,37.0
Bo Oshoniyi,KC,GK,32,32,2880,44,1.38,1/1,11,9,12,7,34.4
Zach Thornton,CHI,GK,27,26,2310,42,1.62,4/5,12,10,2,6,44.4
Scott Garlick,DAL,GK,28,27,2457,37,1.37,2/2,13,8,7,6,46.4
Kevin Hartman,LA,GK,31,31,2790,43,1.39,6/6,13,13,5,6,41.9
Jonny Walker,CLB,GK,16,16,1440,18,1.13,0/0,6,8,2,5,37.5
Zach Wells,MET,GK,17,17,1530,21,1.24,3/5,6,4,7,4,35.3
D.J. Countess,RSL,GK,27,27,2422,54,2.0,3/3,4,19,4,4,14.8
Jon Busch,CLB,GK,9,9,765,14,1.56,0/0,3,5,1,3,33.3
Byron Foss,COL,GK,6,5,481,5,1.0,0/0,3,1,2,2,50.0
Tony Meola,MET,GK,15,15,1350,28,1.87,0/0,6,5,4,2,40.0
Brad Guzan,ATL,GK,24,23,2079,46,2.0,7/9,3,16,4,2,12.5
Dario Sala,DAL,GK,1,1,90,0,0.0,0/0,0,0,1,1,0.0
David Mahoney,CHI,GK,3,3,270,4,1.33,1/1,1,1,1,1,33.3
Sergio Garcia,CHV,GK,5,5,441,8,1.6,0/0,1,3,1,1,20.0
Bill Gaudette,CLB,GK,6,5,495,10,2.0,1/1,1,3,1,1,16.7
William Hesmer,KC,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Bouna Coundoul,COL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Chris Gomez,DAL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Martin Hutton,KC,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Shaun Kalnasy,CHV,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Noah Palmer,RSL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Kyle Singer,NE,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Andrew Terris,CLB,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
T.J. Tomasso,NE,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Michael Ueltschey,MET,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Jon Conway,SJ,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Josh Saunders,LA,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Andrew Weber,DC,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Javier Barragan,CHV,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Clint Baumstark,CHI,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Michael Cardenas,CLB,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Robby Fulton,SJ,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Steve Cronin,LA,GK,1,1,90,2,2.0,0/0,0,0,1,0,0.0
Troy Perkins,DC,GK,2,2,180,2,1.0,1/1,1,1,0,0,50.0
Doug Warren,NE,GK,2,1,96,2,2.0,1/1,1,0,0,0,50.0
Matt Jordan,CLB,GK,2,2,180,3,1.5,1/2,1,0,1,0,50.0
Jeff Cassar,DAL,GK,4,4,333,7,1.75,0/0,0,2,1,0,0.0
Martin Zuniga,CHV,GK,4,4,360,13,3.25,0/0,0,3,1,0,0.0
Jay Nolly,RSL,GK,5,5,450,11,2.2,1/1,1,3,1,0,20.0
Matt Pickens,CHI,GK,5,3,298,4,1.33,0/0,2,2,1,0,40.0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
