day,date,home_team,result,away_team
Saturday,April 2,SJ,2-2,New England
Saturday,April 9,SJ,3-3,Chivas USA
Saturday,April 16,Chicago,2-1,SJ
Saturday,April 23,SJ,3-2,Sporting KC
Saturday,April 30,Real Salt Lake,2-2,SJ
Saturday,May 7,NY Red Bulls,0-1,SJ
Saturday,May 14,SJ,0-0,FC Dallas
Saturday,May 21,LA Galaxy,2-1,SJ
Wednesday,May 25,Colorado,0-1,SJ
Saturday,May 28,Sporting KC,1-0,SJ
Saturday,June 4,SJ,0-0,D.C. United
Sunday,June 12,Chivas USA,1-1,SJ
Saturday,June 18,SJ,3-0,Real Salt Lake
Saturday,June 25,SJ,3-0,LA Galaxy
Wednesday,June 29,SJ,1-0,Colorado
Saturday,July 2,FC Dallas,2-2,SJ
Saturday,July 9,Columbus,1-2,SJ
Friday,July 15,D.C. United,3-0,SJ
Wednesday,July 20,Colorado,1-2,SJ
Saturday,July 23,SJ,2-1,NY Red Bulls
Saturday,August 6,SJ,2-1,Columbus
Saturday,August 13,SJ,1-1,Colorado
Saturday,August 20,Real Salt Lake,0-1,SJ
Saturday,August 27,SJ,2-1,LA Galaxy
Saturday,September 3,FC Dallas,0-2,SJ
Saturday,September 10,SJ,3-0,Chivas USA
Saturday,September 17,Chivas USA,1-2,SJ
Wednesday,September 21,SJ,2-0,Chicago
Saturday,September 24,SJ,1-1,FC Dallas
Saturday,October 1,New England,0-2,SJ
Saturday,October 8,SJ,2-2,Real Salt Lake
Saturday,October 15,LA Galaxy,1-3,SJ
