Player,Club,POS,GP,GS,A,GWA,HmA,RdA,A/90min
Dwayne De Rosario,SJ,M,28,26,13,5,6,7,0.49
Ronnie O'Brien,DAL,M,28,28,12,1,7,5,0.43
Amado Guevara,MET,M,26,26,11,0,5,6,0.43
Simon Elliott,CLB,M,32,32,11,3,6,5,0.34
Landon Donovan,LA,M-F,22,20,10,2,6,4,0.48
Josh Wolff,KC,F,22,22,10,4,1,9,0.47
Ronald Cerritos,SJ,F,30,28,9,3,7,2,0.35
Clint Dempsey,SEA,F,26,26,9,2,4,5,0.35
Christian Gomez,DC,M,31,30,9,3,5,4,0.33
Chris Klein,KC,M,31,31,9,2,5,4,0.29
Brad Davis,SJ,M,18,16,8,3,6,2,0.51
Kyle Martino,CLB,M,27,27,8,3,4,4,0.32
Justin Mapp,CHI,M,29,28,8,2,6,2,0.31
Chris Henderson,CLB,M,29,29,8,2,3,5,0.3
Bobby Rhine,DAL,M,28,27,8,1,5,3,0.3
Jamil Walker,DC,M-F,22,6,7,2,4,3,0.86
Pat Noonan,NE,F,21,21,7,2,4,3,0.34
Youri Djorkaeff,MET,F-M,24,24,7,0,6,1,0.32
Thiago,CHI,M,27,25,7,1,5,2,0.28
Taylor Twellman,NE,F,25,25,7,2,4,3,0.28
Jaime Moreno,DC,F,29,28,7,1,4,3,0.26
Mark Chung,COL,M,30,28,7,2,3,4,0.25
Freddy Adu,DC,F,25,16,6,2,5,1,0.36
Peguero Jean Philippe,COL,F,26,20,6,4,5,1,0.29
Steve Ralston,NE,M,21,21,6,1,3,3,0.29
Ante Razov,CLB,F,25,21,6,1,4,2,0.28
Brian Mullan,SJ,D,25,23,6,3,3,3,0.27
Cobi Jones,LA,M,31,27,6,5,5,1,0.23
Ramon Ramirez,CHV,M,31,31,6,0,2,4,0.21
Brian Ching,SJ,F,16,11,5,3,2,3,0.45
Santino Quaranta,DC,M-F,18,13,5,0,4,1,0.38
Jose Cancela,NE,M,25,22,5,3,3,2,0.27
Mike Magee,MET,M,29,21,5,0,2,3,0.25
Chris Rolfe,CHI,F,29,21,5,0,3,2,0.23
Andy Dorman,NE,M,30,19,5,3,2,3,0.23
Mark Lisi,MET,M,28,22,5,1,3,2,0.23
Ivan Guerrero,CHI,M,26,26,5,0,3,2,0.19
Jovan Kirovski,COL,M-F,31,28,5,1,2,3,0.19
Eric Denton,COL,D,31,30,5,2,3,2,0.17
Shalrie Joseph,NE,M,31,31,5,2,1,4,0.16
Jay Heaps,NE,D,31,31,5,2,4,1,0.16
Chad Barrett,CHI,F,20,4,4,1,3,1,0.61
Cornell Glen,CLB,F,22,13,4,1,2,2,0.29
Roberto Mina,DAL,F,21,15,4,1,1,3,0.28
Arturo Alvarez,HOU,M,24,15,4,1,3,1,0.28
John Wolyniec,CLB,F,25,13,4,0,2,2,0.26
Hector Cuadros,CHV,M,26,18,4,0,2,2,0.21
Alain Nkong,COL,M,28,20,4,0,2,2,0.21
Ben Olsen,DC,M,23,22,4,1,3,1,0.19
Dema Kovalenko,DC,M,26,23,4,1,4,0,0.18
Clint Mathis,RSL,M,27,27,4,3,4,0,0.17
Jason Kreis,RSL,M,24,24,4,0,2,2,0.17
Alejandro Moreno,SJ,F,31,24,4,1,2,2,0.17
Eddie Gaven,MET,M,28,26,4,2,0,4,0.16
Kyle Beckerman,RSL,M,30,25,4,0,2,2,0.15
Kerry Zavagnin,KC,M,28,27,4,1,2,2,0.15
Peter Vagenas,LA,M,29,28,4,1,2,2,0.15
Davy Arnaud,KC,M,31,28,4,1,0,4,0.14
Joshua Gros,DC,M-D,30,29,4,1,2,2,0.14
Michael Bradley,TOR,M,30,30,4,0,3,1,0.14
Sasha Victorine,KC,M,30,30,4,2,3,1,0.14
Jose Burciaga Jr.,KC,D,31,31,4,1,1,3,0.13
Abbe Ibrahim,MET,F,16,6,3,1,1,2,0.47
Ned Grabavoy,LA,M,12,9,3,0,3,0,0.41
Ednaldo da Conceicao,LA,F,19,9,3,1,2,1,0.28
David Testo,CLB,M-F,17,12,3,1,1,2,0.26
Tim Ward,MET,D,13,11,3,1,2,1,0.26
Carey Talley,DAL,D,20,14,3,1,3,0,0.25
Ramon Nunez,DAL,M,21,12,3,1,2,1,0.24
James Riley,NE,D,23,12,3,0,0,3,0.21
Nate Jaqua,CHI,F,18,15,3,2,2,1,0.2
Antonio Martinez,CHV,F-M,25,16,3,1,2,1,0.17
Jeff Cunningham,COL,F,26,17,3,1,1,2,0.16
Joe Franchino,NE,M,24,23,3,0,1,2,0.13
Orlando Perez,CHV,D,27,24,3,0,1,2,0.13
Andy Williams,RSL,M,26,26,3,0,2,1,0.13
Jim Curtin,CHI,D,27,24,3,2,2,1,0.13
Brian Carroll,DC,M,32,30,3,2,2,1,0.11
Chad Marshall,SEA,D,30,30,3,0,1,2,0.1
Dedi Ben Dayan,COL,M-D,8,3,2,2,2,0,0.5
Preki,KC,M,16,4,2,1,2,0,0.38
Dan Gargan,COL,D,12,5,2,0,0,2,0.35
Richard Mulrooney,DAL,M,7,7,2,0,1,1,0.31
Leslie Fitzpatrick,RSL,M,18,6,2,0,1,1,0.25
Robert Scarlett,RSL,M-D,9,8,2,0,0,2,0.25
Lubos Reiter,CHI,F,14,9,2,1,2,0,0.23
Khano Smith,NE,M,23,8,2,0,0,2,0.19
Andy Herron,CHI,F,20,13,2,2,1,1,0.18
John Wilson,DC,D,17,11,2,0,0,2,0.16
Eddie Johnson,DAL,F,15,13,2,1,2,0,0.15
Matt Taylor,CHV,F,21,14,2,0,2,0,0.14
Arturo Torres,CHV,F,23,15,2,0,0,2,0.13
David Wagenfuhr,DAL,D,19,15,2,2,2,0,0.13
Luchi Gonzalez,COL,F,20,19,2,1,1,1,0.12
Terry Cooke,COL,M,20,17,2,1,2,0,0.12
Hérculez Gómez,LA,F,22,16,2,0,1,1,0.12
Carlos Ruiz,DAL,F,19,18,2,0,2,0,0.12
C.J. Brown,CHI,D,20,18,2,2,1,1,0.11
Scott Sealy,KC,F,28,20,2,0,0,2,0.11
Diego Gutierrez,KC,D,21,18,2,0,2,0,0.11
Edson Buddle,CLB,F,23,21,2,0,0,2,0.1
Chris Albright,LA,D,22,21,2,1,2,0,0.1
Gonzalo Segares,CHI,D,21,21,2,0,2,0,0.1
Francisco Mendoza,CHV,M,24,20,2,2,1,1,0.1
Chris Armas,CHI,M,22,22,2,0,1,1,0.1
Jesse Marsch,CHI,M,28,22,2,2,1,1,0.09
Paulo Nagamura,LA,M,25,24,2,1,1,1,0.09
Tyrone Marshall,LA,D,25,25,2,0,2,0,0.09
Logan Pause,CHI,M,27,24,2,1,1,1,0.09
Jimmy Conrad,KC,D,25,25,2,0,1,1,0.08
Ritchie Kotschau,COL,D,28,25,2,1,1,1,0.08
Kelly Gray,CHI,D-M,26,25,2,1,1,1,0.08
Ricardo Clark,CLB,M,30,28,2,1,0,2,0.07
Wade Barrett,SJ,D,30,30,2,2,0,2,0.07
Todd Dunivant,LA,D,32,32,2,0,2,0,0.06
Antti Sumiala,KC,F,2,2,1,0,1,0,0.78
Kevin Goldthwaite,SJ,D,3,2,1,1,0,1,0.61
Manny Lagos,CLB,M,5,2,1,1,1,0,0.48
Will John,CHI,M-F,6,2,1,1,0,1,0.45
Julian Nash,SJ,F,10,1,1,1,1,0,0.39
Luke Kreamalmeyer,RSL,M,6,2,1,0,0,1,0.36
Dante Washington,CLB,F,9,2,1,0,1,0,0.32
Steve Guppy,DC,M,5,4,1,0,1,0,0.32
Ryan Pore,KC,M,8,4,1,0,0,1,0.32
Jamal Sutton,CLB,F,8,3,1,0,0,1,0.28
Brian Roberts,KC,D,11,3,1,0,0,1,0.27
Seth Stammler,MET,M-D,10,3,1,1,0,1,0.25
Gustavo Cabrera,RSL,D,4,4,1,0,0,1,0.25
Marcus Storey,CLB,M-F,12,3,1,1,1,0,0.24
David Stokes,DC,D,10,3,1,1,1,0,0.23
Craig Waibel,SJ,D,6,6,1,0,1,0,0.17
Jordan Cila,RSL,F-M,12,8,1,0,1,0,0.14
Oscar Pareja,DAL,M,18,6,1,0,1,0,0.14
Francisco Gomez,CHV,M,12,8,1,0,0,1,0.14
Alecko Eskandarian,DC,F,12,7,1,0,1,0,0.14
Melvin Tarley,RSL,F,9,9,1,0,0,1,0.12
Leo Cullen,COL,M,15,8,1,0,0,1,0.12
Knox Cameron,CLB,F,20,9,1,1,1,0,0.11
