Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,FC,FS,OFF,YC,RC
Simo Valakari,DAL,M,28,28,2471,0,1,8,1,78,28,0,8,0
Eddie Robinson,SJ,D,29,29,2450,1,1,5,2,68,53,0,6,2
Shalrie Joseph,NE,M,31,31,2788,6,5,32,18,65,51,0,8,0
Kyle Beckerman,RSL,M,30,25,2341,1,4,24,8,60,38,0,5,0
Ben Olsen,DC,M,23,22,1874,2,4,23,12,58,51,6,7,0
Ricardo Clark,CLB,M,30,28,2491,3,2,31,6,58,42,1,6,0
Ronnie O'Brien,DAL,M,28,28,2512,6,12,83,37,58,47,3,8,0
Davy Arnaud,KC,M,31,28,2525,5,4,64,25,53,85,30,6,0
Peguero Jean Philippe,COL,F,26,20,1839,7,6,48,20,52,45,27,6,1
Joshua Gros,DC,M-D,30,29,2563,4,4,29,12,51,24,3,6,1
Chris Wingert,CLB,D,27,20,1895,0,0,10,1,50,16,1,8,0
Michael Bradley,TOR,M,30,30,2628,1,4,17,5,49,22,0,9,0
Brandon Prideaux,DC,D,29,28,2455,0,0,3,2,48,37,0,4,0
Roberto Mina,DAL,F,21,15,1269,7,4,35,13,47,23,12,2,0
Alain Nkong,COL,M,28,20,1731,5,4,48,18,46,46,0,9,0
Clint Dempsey,SEA,F,26,26,2319,10,9,60,27,46,71,4,7,0
Tyrone Marshall,LA,D,25,25,2085,1,2,15,4,45,22,2,7,1
Youri Djorkaeff,MET,F-M,24,24,1986,10,7,76,33,44,42,19,3,0
Douglas Sequeira,CHV,M,23,23,2070,2,1,19,5,44,18,9,5,0
Ezra Hendrickson,CHV,D,31,31,2745,3,1,30,10,44,16,5,4,0
Gonzalo Segares,CHI,D,21,21,1864,3,2,10,5,43,31,0,5,0
Paulo Nagamura,LA,M,25,24,2028,0,2,21,8,43,28,0,7,0
Amado Guevara,MET,M,26,26,2284,11,11,67,31,43,51,7,9,1
Jaime Moreno,DC,F,29,28,2445,16,7,77,46,43,56,16,2,2
Esteban Arias,CHV,D,15,14,1141,1,0,3,2,42,9,0,4,1
Brian Mullan,SJ,D,25,23,1996,3,6,22,11,42,79,3,4,0
Thiago,CHI,M,27,25,2220,6,7,45,20,42,45,1,3,0
Mark Chung,COL,M,30,28,2487,7,7,39,20,42,48,2,2,0
Andy Williams,RSL,M,26,26,2102,5,3,46,18,41,79,8,5,1
Eric Denton,COL,D,31,30,2693,1,5,23,4,41,27,5,5,0
Joe Franchino,NE,M,24,23,2011,0,3,10,4,40,19,0,2,0
Greg Vanney,DAL,D,25,25,2210,0,1,8,5,40,14,1,4,1
Mike Petke,COL,D,26,26,2250,1,0,7,4,40,16,1,7,0
Clarence Goodson,DAL,D,29,28,2488,2,1,18,9,40,29,3,9,0
Diego Gutierrez,KC,D,21,18,1701,0,2,13,3,39,38,1,5,1
Jesse Marsch,CHI,M,28,22,1945,5,2,25,15,39,17,0,4,0
Ugo Ihemelu,LA,D,25,23,2030,0,1,1,0,39,32,1,4,1
Orlando Perez,CHV,D,27,24,2068,0,3,8,4,39,12,0,2,1
Alejandro Moreno,SJ,F,31,24,2167,8,4,42,20,39,102,23,3,0
Brian Carroll,DC,M,32,30,2567,1,3,10,4,39,16,0,4,0
Seth Trembly,RSL,M-D,22,11,1173,2,0,25,13,38,31,0,8,0
Carlos Ruiz,DAL,F,19,18,1549,11,2,63,30,38,47,36,2,0
Brian Ching,SJ,F,16,11,990,7,5,25,17,37,36,9,3,0
Danny Califf,SJ,D,20,20,1742,2,0,9,5,37,20,0,7,1
Ritchie Kotschau,COL,D,28,25,2271,0,2,8,1,37,16,0,2,0
Kerry Zavagnin,KC,M,28,27,2421,0,4,13,4,37,35,0,5,0
