Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,Sv%
Nick Rimando,RSL,GK,27,27,2430,191,146,37,1.37,4/6,76.4
Bouna Coundoul,COL,GK,30,30,2668,158,120,32,1.07,2/2,75.9
Matt Reis,NE,GK,30,30,2700,169,120,43,1.43,3/3,71.0
Joe Cannon,LA,GK,29,29,2610,171,119,46,1.59,4/5,69.6
Troy Perkins,DC,GK,29,29,2610,155,117,32,1.1,1/3,75.5
Kevin Hartman,KC,GK,30,30,2700,159,110,45,1.5,6/7,69.2
Matt Pickens,CHI,GK,27,27,2430,137,102,31,1.15,4/4,74.5
Brad Guzan,ATL,GK,27,27,2430,119,87,25,0.93,2/3,73.1
Pat Onstad,HOU,GK,27,27,2418,109,85,22,0.81,1/2,78.0
William Hesmer,CLB,GK,20,20,1800,99,71,29,1.45,2/3,71.7
Dario Sala,DAL,GK,18,18,1620,97,64,29,1.61,2/2,66.0
Ronald Waterreus,NY,GK,18,18,1557,89,59,31,1.72,3/3,66.3
Jon Conway,NY,GK,14,12,1142,79,57,14,1.17,1/2,72.2
Kenny Stamatopoulos,TOR,GK,12,12,1080,61,41,20,1.67,4/4,67.2
Greg Sutton,TOR,GK,8,8,720,53,36,15,1.88,2/2,67.9
Andy Gruenebaum,CLB,GK,10,10,900,53,35,15,1.5,0/0,66.0
Ray Burse,DAL,GK,6,6,540,29,23,6,1.0,1/1,79.3
Shaka Hislop,DAL,GK,6,6,540,32,23,9,1.5,0/0,71.9
Srdjan Djekanovic,TOR,GK,8,7,635,34,22,9,1.29,1/1,64.7
Jon Busch,CHI,GK,3,3,270,20,15,5,1.67,2/2,75.0
Preston Burpo,CHV,GK,3,3,270,16,13,3,1.0,0/0,81.3
Sam Reynolds,TOR,GK,2,2,175,11,9,2,1.0,1/1,81.8
Zach Wells,HOU,GK,4,3,282,9,8,1,0.33,1/1,88.9
Jay Nolly,DC,GK,1,1,90,9,7,2,2.0,0/0,77.8
David Monsalve,TOR,GK,1,1,90,10,7,3,3.0,0/0,70.0
Steve Cronin,LA,GK,1,1,90,8,6,2,2.0,0/0,75.0
Chris Seitz,HOU,GK,3,3,270,14,6,8,2.67,0/0,42.9
Zach Thornton,COL,GK,1,0,32,3,1,2,2.0,0/0,33.3
Doug Warren,NE,GK,0,0,0,0,0,0,0.0,0/0,0.0
Nick Noble,CHI,GK,0,0,0,0,0,0,0.0,0/0,0.0
Bill Gaudette,CLB,GK,0,0,0,0,0,0,0.0,0/0,0.0
Lance Friesz,LA,GK,0,0,0,0,0,0,0.0,0/0,0.0
Kyle Reynish,RSL,GK,0,0,0,0,0,0,0.0,0/0,0.0
Jordan James,HOU,GK,0,0,0,0,0,0,0.0,0/0,0.0
Justin Hughes,COL,GK,0,0,0,0,0,0,0.0,0/0,0.0
Shawn Crowe,DC,GK,0,0,0,0,0,0,0.0,0/0,0.0
Eric Kronberg,KC,GK,0,0,0,0,0,0,0.0,0/0,0.0
Chris Konopka,KC,GK,0,0,0,0,0,0,0.0,0/0,0.0
Boris Pardo,DAL,GK,0,0,0,0,0,0,0.0,0/0,0.0
Brad Knighton,NE,GK,0,0,0,0,0,0,0.0,0/0,0.0
Danny Cepero,NY,GK,0,0,0,0,0,0,0.0,0/0,0.0
Tomer Chencinski,TOR,GK,0,0,0,0,0,0,0.0,0/0,0.0
Justin Myers,CHV,GK,0,0,0,0,0,0,0.0,0/0,0.0
Matt Wideman,RSL,GK,0,0,0,0,0,0,0.0,0/0,0.0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
