day,date,home_team,result,away_team
Saturday,April 7,Chicago,1-0,NE
Saturday,April 14,NE,4-0,Toronto FC
Thursday,April 19,Columbus,2-2,NE
Sunday,April 29,FC Dallas,0-1,NE
Thursday,May 3,D.C. United,1-1,NE
Sunday,May 6,NE,3-1,Chicago
Saturday,May 12,LA Galaxy,2-3,NE
Saturday,May 19,Houston,0-1,NE
Saturday,May 26,NE,3-4,Sporting KC
Saturday,June 2,NE,0-0,Real Salt Lake
Saturday,June 16,NE,3-3,Columbus
Saturday,June 23,NE,3-0,Toronto FC
Saturday,June 30,Chivas USA,2-0,NE
Saturday,July 7,NE,1-1,Chivas USA
Saturday,July 14,NY Red Bulls,0-1,NE
Sunday,July 22,NE,3-3,Houston
Saturday,July 28,Real Salt Lake,1-2,NE
Thursday,August 2,NE,2-0,Sporting KC
Sunday,August 5,NE,0-3,D.C. United
Sunday,August 12,NE,1-0,LA Galaxy
Thursday,August 16,Colorado,3-0,NE
Sunday,August 19,Sporting KC,0-1,NE
Saturday,August 25,NE,2-1,NY Red Bulls
Sunday,September 9,D.C. United,4-2,NE
Saturday,September 15,NE,4-2,FC Dallas
Saturday,September 22,NY Red Bulls,2-2,NE
Saturday,September 29,NE,1-0,Colorado
Saturday,October 6,Chicago,2-1,NE
Saturday,October 13,NE,2-3,Columbus
Saturday,October 20,Toronto FC,2-2,NE
