Player,Club,POS,GP,GS,MINS,GA,GAA,PKG/A,W,L,T,ShO,W%
Brad Guzan,ATL,GK,27,27,2430,25,0.93,2/3,14,6,7,13,51.9
Pat Onstad,HOU,GK,27,27,2418,22,0.81,1/2,13,8,6,11,48.1
Matt Pickens,CHI,GK,27,27,2430,31,1.15,4/4,9,8,10,10,33.3
Matt Reis,NE,GK,30,30,2700,43,1.43,3/3,14,8,8,10,46.7
Bouna Coundoul,COL,GK,30,30,2668,32,1.07,2/2,9,12,8,9,30.0
Troy Perkins,DC,GK,29,29,2610,32,1.1,1/3,16,6,7,8,55.2
Nick Rimando,RSL,GK,27,27,2430,37,1.37,4/6,6,13,8,7,22.2
Ronald Waterreus,NY,GK,18,18,1557,31,1.72,3/3,6,6,5,5,33.3
Dario Sala,DAL,GK,18,18,1620,29,1.61,2/2,8,7,3,5,44.4
William Hesmer,CLB,GK,20,20,1800,29,1.45,2/3,8,7,5,5,40.0
Joe Cannon,LA,GK,29,29,2610,46,1.59,4/5,9,13,7,5,31.0
Kevin Hartman,KC,GK,30,30,2700,45,1.5,6/7,11,12,7,5,36.7
Jon Conway,NY,GK,14,12,1142,14,1.17,1/2,6,5,2,4,42.9
Andy Gruenebaum,CLB,GK,10,10,900,15,1.5,0/0,1,4,5,3,10.0
Zach Wells,HOU,GK,4,3,282,1,0.33,1/1,2,0,1,2,50.0
Ray Burse,DAL,GK,6,6,540,6,1.0,1/1,3,2,1,2,50.0
Srdjan Djekanovic,TOR,GK,8,7,635,9,1.29,1/1,2,3,2,2,25.0
Kenny Stamatopoulos,TOR,GK,12,12,1080,20,1.67,4/4,1,8,3,2,8.3
Preston Burpo,CHV,GK,3,3,270,3,1.0,0/0,1,1,1,1,33.3
Jon Busch,CHI,GK,3,3,270,5,1.67,2/2,1,2,0,1,33.3
Greg Sutton,TOR,GK,8,8,720,15,1.88,2/2,2,5,1,1,25.0
Bill Gaudette,CLB,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Nick Noble,CHI,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Doug Warren,NE,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Lance Friesz,LA,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Kyle Reynish,RSL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Jordan James,HOU,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Justin Hughes,COL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Shawn Crowe,DC,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Eric Kronberg,KC,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Chris Konopka,KC,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Boris Pardo,DAL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Brad Knighton,NE,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Danny Cepero,NY,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Tomer Chencinski,TOR,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Justin Myers,CHV,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Matt Wideman,RSL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
David Monsalve,TOR,GK,1,1,90,3,3.0,0/0,0,1,0,0,0.0
Jay Nolly,DC,GK,1,1,90,2,2.0,0/0,0,1,0,0,0.0
Steve Cronin,LA,GK,1,1,90,2,2.0,0/0,0,1,0,0,0.0
Zach Thornton,COL,GK,1,0,32,2,2.0,0/0,0,1,0,0,0.0
Sam Reynolds,TOR,GK,2,2,175,2,1.0,1/1,1,0,1,0,50.0
Chris Seitz,HOU,GK,3,3,270,8,2.67,0/0,0,2,1,0,0.0
Shaka Hislop,DAL,GK,6,6,540,9,1.5,0/0,2,3,1,0,33.3
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
