Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,PKG/A,SC%,SOG%
Juan Pablo Angel,NY,F,24,24,2125,19,5,97,53,5/5,19.6,54.6
Taylor Twellman,NE,F,26,25,2283,16,3,90,55,0/0,17.8,61.1
Ante Razov,CHV,F,26,24,2041,11,8,85,42,1/1,12.9,49.4
Christian Gomez,DC,M,27,27,2272,10,9,82,44,2/3,12.2,53.7
Luciano Emilio,DC,F,29,28,2410,20,1,79,47,0/0,25.3,59.5
Eddie Johnson,KC,F,24,24,2149,15,6,75,43,1/1,20.0,57.3
Davy Arnaud,KC,M,28,28,2489,4,9,74,29,0/0,5.4,39.2
Dwayne De Rosario,HOU,M,24,22,1973,6,4,62,24,1/2,9.7,38.7
Arturo Alvarez,HOU,M,27,21,1898,3,3,61,30,0/0,4.9,49.2
Carlos Ruiz,DAL,F,22,19,1721,7,2,59,25,1/1,11.9,42.4
Eddie Gaven,CLB,M,27,21,1923,5,7,59,33,0/0,8.5,55.9
Chad Barrett,CHI,F,30,25,1983,7,2,59,37,1/1,11.9,62.7
Alecko Eskandarian,RSL,F,23,23,1913,2,3,58,30,1/2,3.4,51.7
Maykel Galindo,CHV,F,28,24,2021,12,5,55,28,0/0,21.8,50.9
Alejandro Moreno,CLB,F,29,27,2357,7,7,54,32,0/0,13.0,59.3
Kyle Beckerman,RSL,M,28,27,2430,3,3,52,19,0/0,5.8,36.5
Hérculez Gómez,COL,F,20,16,1537,4,2,51,22,0/0,7.8,43.1
Nate Jaqua,HOU,F,25,19,1772,7,2,49,19,0/0,14.3,38.8
Brian Ching,HOU,F,20,17,1590,7,2,48,18,0/0,14.6,37.5
Andy Dorman,NE,M,30,27,2269,7,2,48,27,0/0,14.6,56.3
Edson Buddle,LA,F,26,15,1251,5,2,47,23,0/0,10.6,48.9
Clint Mathis,NY,M,26,19,1722,6,2,47,22,0/1,12.8,46.8
Landon Donovan,LA,M-F,25,24,2191,8,13,44,20,5/6,18.2,45.5
Ramon Nunez,CHV,M,21,12,1248,3,5,43,15,0/0,7.0,34.9
Jozy Altidore,TOR,F,22,15,1399,9,4,43,20,0/0,20.9,46.5
Yura Movsisyan,RSL,F,23,9,993,5,0,42,13,0/0,11.9,31.0
Carlos Marinelli,KC,M,26,19,1674,1,5,42,21,1/2,2.4,50.0
Pat Noonan,NE,F,27,21,1736,7,4,42,24,0/0,16.7,57.1
Shalrie Joseph,NE,M,27,27,2366,4,5,42,14,3/4,9.5,33.3
Collin Samuel,TOR,F,18,18,1510,3,0,41,24,1/1,7.3,58.5
Adam Cristman,NE,F,28,14,1421,4,4,40,16,0/0,10.0,40.0
Sacha Kljestan,ORL,M,25,25,2186,4,13,40,21,1/1,10.0,52.5
Joseph Ngwenya,CLB,F,30,30,2362,7,4,40,23,0/0,17.5,57.5
Chris Klein,LA,M,32,32,2880,2,4,40,16,0/0,5.0,40.0
Guillermo Barros Schelotto,CLB,F,22,19,1605,5,11,39,18,1/1,12.8,46.2
Chris Rolfe,CHI,F,19,18,1451,6,3,38,19,1/1,15.8,50.0
Ned Grabavoy,CLB,M,26,24,2093,3,3,37,17,0/1,8.1,45.9
Sasha Victorine,KC,M,29,24,2135,2,7,37,13,0/0,5.4,35.1
Jovan Kirovski,COL,M-F,28,28,2161,6,1,36,14,4/4,16.7,38.9
Khano Smith,NE,M,29,26,2210,2,6,36,12,0/0,5.6,33.3
Dave van den Bergh,NY,M,29,26,2228,2,8,36,19,0/0,5.6,52.8
Francisco Mendoza,CHV,M,28,27,2459,2,4,36,16,0/0,5.6,44.4
Mehdi Ballouchy,COL,M,23,22,1853,1,2,35,10,0/0,2.9,28.6
Jaime Moreno,DC,F,21,15,1439,7,6,34,18,4/4,20.6,52.9
Kenny Cooper,DAL,F,14,12,1068,4,2,33,16,1/1,12.1,48.5
Calen Carr,CHI,F,27,10,1134,3,2,33,13,0/0,9.1,39.4
Scott Sealy,KC,F,18,15,1193,7,2,33,20,0/0,21.2,60.6
Steve Ralston,NE,M,26,26,2337,4,14,33,18,0/0,12.1,54.5
Juan Toja,DAL,M,27,27,2388,6,1,33,16,0/0,18.2,48.5
Jeff Cunningham,RSL,F,23,20,1636,6,1,32,21,1/1,18.8,65.6
Robbie Findley,LA,F,25,14,1353,8,0,31,16,0/0,25.8,51.6
Carlos Pavon,LA,F,18,10,978,3,0,29,10,0/0,10.3,34.5
Nicolas Hernandez,COL,F,21,17,1474,1,1,29,7,0/0,3.4,24.1
Ben Olsen,DC,M,24,21,1881,7,7,29,17,0/0,24.1,58.6
Kyle Martino,LA,M,26,25,1928,3,1,29,10,0/1,10.3,34.5
Ricardo Clark,CLB,M,19,18,1635,2,3,28,11,0/0,7.1,39.3
Fred,DC,M,26,23,2096,7,8,28,14,0/0,25.0,50.0
Carey Talley,RSL,D,26,25,2195,3,1,28,9,2/2,10.7,32.1
Jeff Larentowicz,ATL,M,28,28,2455,3,4,28,9,0/0,10.7,32.1
Brad Davis,HOU,M,17,16,1275,3,3,27,18,1/1,11.1,66.7
Paulo Wanchope,CHI,F,12,10,932,2,0,26,13,0/0,7.7,50.0
