Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,FC,FS,OFF,YC,RC
Juan Toja,DAL,M,27,27,2388,6,1,33,16,83,41,6,4,0
Eddie Robinson,HOU,D,25,25,2187,2,2,10,5,70,64,0,11,1
Maurice Edu,TOR,M,25,25,2180,4,1,24,8,65,50,1,6,1
Jeff Larentowicz,ATL,M,28,28,2455,3,4,28,9,61,30,0,5,0
Ryan Cochrane,HOU,D,25,25,2059,1,0,6,1,55,13,0,6,1
Shalrie Joseph,NE,M,27,27,2366,4,5,42,14,55,52,5,4,1
Alejandro Moreno,CLB,F,29,27,2357,7,7,54,32,54,93,32,3,0
Dane Richards,NY,M,28,27,2335,2,6,24,14,50,35,12,5,0
Carl Robinson,TOR,M,26,26,2340,2,4,14,8,50,24,0,6,0
Ben Olsen,DC,M,24,21,1881,7,7,29,17,49,41,11,8,0
Danny Dichio,TOR,F,17,14,1175,6,1,20,13,46,38,6,3,1
Carlos Ruiz,DAL,F,22,19,1721,7,2,59,25,46,41,23,9,1
Pablo Mastroeni,COL,M,23,21,1864,0,1,9,0,46,24,0,7,1
Alecko Eskandarian,RSL,F,23,23,1913,2,3,58,30,46,50,16,9,1
Paulo Nagamura,CHV,M,26,24,2172,2,2,19,8,46,44,1,8,0
Danny O'Rourke,CLB,D,27,27,2426,0,1,11,1,46,33,0,6,1
Davy Arnaud,KC,M,28,28,2489,4,9,74,29,46,63,9,6,1
Seth Stammler,NY,M-D,29,28,2547,0,2,26,5,46,28,0,3,0
Atiba Harris,RSL,D,21,13,1257,0,1,8,4,45,22,8,5,0
Fred,DC,M,26,23,2096,7,8,28,14,45,40,21,5,1
Sacha Kljestan,ORL,M,25,25,2186,4,13,40,21,45,34,2,5,0
Maykel Galindo,CHV,F,28,24,2021,12,5,55,28,44,53,30,6,0
Jesse Marsch,CHV,M,28,28,2425,2,4,15,6,44,31,0,9,0
Marcos Gonzalez,CLB,D,27,27,2356,1,1,21,5,43,21,0,4,1
Gonzalo Segares,CHI,D,27,27,2406,1,1,15,5,43,25,4,6,1
Bobby Boswell,DC,D,23,22,1963,0,2,7,2,42,4,0,5,1
Facundo Erpen,COL,D,26,25,2056,1,2,11,2,42,23,0,6,1
Khano Smith,NE,M,29,26,2210,2,6,36,12,42,41,5,4,0
Bakary Soumare,CHI,D,19,11,1072,0,0,4,1,41,17,0,6,1
Adam Cristman,NE,F,28,14,1421,4,4,40,16,41,51,10,1,0
Carlos Marinelli,KC,M,26,19,1674,1,5,42,21,41,41,1,7,0
Mehdi Ballouchy,COL,M,23,22,1853,1,2,35,10,40,39,5,8,1
Ugo Ihemelu,COL,D,25,23,2017,1,0,7,4,40,34,0,4,2
Brian Carroll,DC,M,28,19,1801,0,4,7,1,39,15,1,7,0
Kyle Beckerman,RSL,M,28,27,2430,3,3,52,19,39,41,2,9,0
Jozy Altidore,TOR,F,22,15,1399,9,4,43,20,38,43,12,4,0
Hérculez Gómez,COL,F,20,16,1537,4,2,51,22,38,46,17,6,0
Jovan Kirovski,COL,M-F,28,28,2161,6,1,36,14,38,19,16,3,0
Carey Talley,RSL,D,26,25,2195,3,1,28,9,38,38,2,6,0
Michael Harrington,KC,D,29,27,2422,3,4,15,9,38,26,7,1,0
Ante Razov,CHV,F,26,24,2041,11,8,85,42,37,33,30,2,0
Bryan Namoff,DC,D,24,24,2089,0,0,3,0,37,23,1,6,0
Kyle Martino,LA,M,26,25,1928,3,1,29,10,36,43,9,6,2
Clarence Goodson,DAL,D,27,27,2297,1,1,9,5,36,37,0,6,0
Claudio Reyna,NY,M,21,21,1723,0,3,14,3,35,18,1,2,0
Dasan Robinson,CHI,D,23,21,1819,1,0,11,3,35,34,2,4,0
Arturo Alvarez,HOU,M,27,21,1898,3,3,61,30,35,34,5,2,0
Luciano Emilio,DC,F,29,28,2410,20,1,79,47,35,39,21,2,0
Kerry Zavagnin,KC,M,29,29,2564,3,2,16,5,35,42,0,6,0
Alex Zotinca,CHV,D,22,20,1667,0,3,15,6,34,17,2,6,1
Nate Jaqua,HOU,F,25,19,1772,7,2,49,19,34,29,8,6,0
Tyrone Marshall,LA,D,24,24,2159,1,0,10,1,34,16,0,5,1
Christian Gomez,DC,M,27,27,2272,10,9,82,44,34,43,10,6,0
Marcelo Saragosa,DAL,M,13,10,800,0,2,3,1,33,17,0,4,1
Andrew Boyens,TOR,D,23,21,1825,1,1,4,2,33,18,0,4,2
Diego Gutierrez,CHI,D,23,22,1890,0,1,10,6,33,24,0,7,1
Brian Mullan,HOU,D,28,28,2407,1,3,19,6,33,55,11,4,0
Andrea Lombardo,TOR,F,16,6,726,0,1,17,9,32,24,18,2,0
Nick Garcia,KC,D,27,27,2420,0,1,2,1,32,24,0,4,0
Roberto Brown,COL,F,13,8,696,3,0,14,4,31,11,16,2,1
Brian Ching,HOU,F,20,17,1590,7,2,48,18,31,46,15,1,0
Pablo Ricchetti,DAL,D-M,19,19,1600,0,3,6,2,31,18,0,7,0
Greg Vanney,COL,D,24,23,2041,0,0,8,2,31,11,0,5,0
Juan Pablo Angel,NY,F,24,24,2125,19,5,97,53,31,20,42,2,1
Claudio Suarez,CHV,D,25,25,2153,3,1,14,9,31,11,0,6,1
Frankie Hejduk,CLB,D,24,24,2160,0,3,10,3,31,25,2,5,0
Jim Brennan,TOR,D,27,27,2430,1,0,13,5,31,13,1,6,0
Francisco Mendoza,CHV,M,28,27,2459,2,4,36,16,31,46,10,3,0
Jay Heaps,NE,D,28,28,2475,1,0,16,8,31,37,1,5,0
C.J. Brown,CHI,D,29,29,2565,0,0,7,2,31,21,0,7,0
Brandon Prideaux,COL,D,21,21,1770,0,0,7,4,30,26,0,4,1
Ezra Hendrickson,CLB,D,23,21,1851,1,0,11,5,30,5,1,3,1
Edson Buddle,LA,F,26,15,1251,5,2,47,23,29,21,19,3,0
Andy Williams,RSL,M,24,12,1277,1,3,19,9,29,32,3,1,1
Dema Kovalenko,NY,M,19,15,1377,2,1,21,7,29,22,3,5,0
Collin Samuel,TOR,F,18,18,1510,3,0,41,24,29,34,9,2,0
Ricardo Clark,CLB,M,19,18,1635,2,3,28,11,29,22,3,2,1
Dwayne De Rosario,HOU,M,24,22,1973,6,4,62,24,29,32,19,5,0
Nicolas Hernandez,COL,F,21,17,1474,1,1,29,7,28,19,7,0,0
Jonathan Bornstein,CHV,D,23,23,2070,1,1,14,8,28,28,1,1,0
Andy Dorman,NE,M,30,27,2269,7,2,48,27,28,18,4,5,0
Craig Waibel,HOU,D,21,18,1639,0,2,7,2,27,11,0,1,0
Lawson Vaughn,CHV,D,24,22,1901,1,2,5,3,27,19,1,6,1
Ty Harden,LA,D,24,24,2086,0,0,1,1,27,9,0,4,0
Sasha Victorine,KC,M,29,24,2135,2,7,37,13,27,37,5,1,0
Chris Armas,CHI,M,25,24,2194,0,2,7,2,27,24,0,3,0
Joe Vide,NY,M,16,13,1107,0,0,10,4,26,13,0,4,1
Wells Thompson,NE,D,27,11,1215,1,0,16,7,26,36,2,6,0
Chris Wingert,COL,D,22,16,1590,0,2,4,3,26,17,0,4,0
Stefani Miglioranzi,CLB,M,23,17,1621,3,2,18,7,26,11,1,3,0
Jose Burciaga Jr.,KC,D,23,23,1826,2,4,26,12,26,28,0,5,1
Joseph Ngwenya,CLB,F,30,30,2362,7,4,40,23,26,60,55,4,0
Yura Movsisyan,RSL,F,23,9,993,5,0,42,13,25,24,4,1,1
Conor Casey,COL,F,17,11,1033,2,3,12,5,25,16,9,3,0
Troy Roberts,LA,D,16,12,1140,2,0,4,2,25,11,1,3,1
Avery John,NE,D,19,18,1559,0,1,2,1,25,22,0,4,0
Peter Vagenas,LA,M,24,20,1786,0,5,13,3,25,21,0,2,0
Devon McTavish,DC,D,22,20,1825,0,0,7,4,25,15,0,2,0
Logan Pause,CHI,M,23,21,1905,1,0,2,2,25,20,0,1,0
Kurt Morsink,KC,M,21,10,894,0,0,10,4,24,18,0,7,0
Calen Carr,CHI,F,27,10,1134,3,2,33,13,24,12,4,5,0
Colin Clark,COL,M,16,16,1321,2,2,26,5,24,24,3,2,0
Jean-Martial Kipre,RSL,D-M,18,16,1427,0,0,7,2,24,14,2,4,0
Jaime Moreno,DC,F,21,15,1439,7,6,34,18,24,30,15,3,0
Chris Gbandi,DAL,D,21,19,1700,1,2,5,3,24,11,2,7,1
Mike Petke,COL,D,24,24,2018,1,0,4,1,24,16,1,4,0
Todd Dunivant,NY,D,25,25,2230,0,0,15,11,24,22,3,1,0
Jeff Parke,NY,D,28,26,2246,0,1,10,4,24,23,0,2,0
Eddie Pope,RSL,D,27,27,2248,1,0,5,1,24,27,0,2,0
Rusty Pierce,CLB,D,21,19,1580,0,1,1,0,23,24,1,5,0
Guillermo Barros Schelotto,CLB,F,22,19,1605,5,11,39,18,23,65,20,5,0
Jimmy Conrad,KC,D,25,25,2172,0,0,13,2,23,20,1,4,1
Dave van den Bergh,NY,M,29,26,2228,2,8,36,19,23,14,3,1,0
Chris Klein,LA,M,32,32,2880,2,4,40,16,23,20,8,1,0
Rod Dyachenko,DC,M,14,4,378,1,0,5,3,22,1,3,3,0
Alan Gordon,LA,F,14,11,828,3,0,19,8,22,17,11,1,0
Kevin Harmse,LA,M,17,13,1171,1,0,6,3,22,15,0,6,1
Chris Pozniak,TOR,D,22,16,1497,0,3,9,3,22,16,1,3,1
Joshua Gros,DC,M-D,22,22,1854,1,1,11,8,22,20,5,3,0
Marvell Wynne,NY,D,23,22,1963,0,3,9,5,22,23,3,2,0
Ned Grabavoy,CLB,M,26,24,2093,3,3,37,17,22,34,2,2,0
James Riley,NE,D,27,22,2137,0,0,4,1,22,17,0,4,0
Jack Jewsbury,KC,M,28,27,2316,2,3,25,6,22,34,1,5,0
Aaron Pitchkolan,DAL,D,16,11,1142,0,0,6,1,21,4,1,4,0
Hunter Freeman,NY,D,16,15,1342,1,1,6,4,21,19,0,2,0
Marc Burch,MIN,D,18,15,1362,1,3,9,3,21,12,1,3,0
Kevin Goldthwaite,HOU,D,19,17,1466,1,1,11,6,21,20,0,4,1
Chad Barrett,CHI,F,30,25,1983,7,2,59,37,21,22,37,3,0
Eddie Johnson,KC,F,24,24,2149,15,6,75,43,21,57,50,6,0
Paulo Wanchope,CHI,F,12,10,932,2,0,26,13,20,15,10,2,0
Alex Yi,DAL,D,15,14,1178,0,0,5,2,20,7,0,3,0
Clyde Simms,DC,M,25,16,1505,0,3,15,7,20,6,0,1,0
Laurent Merlin,CHV,F,22,7,804,1,2,15,8,19,28,8,1,0
Andy Welsh,TOR,M,20,16,1335,1,3,14,10,19,29,4,2,0
Ritchie Kotschau,RSL,D,20,18,1664,0,0,3,0,19,10,1,3,1
Shavar Thomas,CHV,D,23,23,2037,0,0,1,1,19,10,0,2,1
Landon Donovan,LA,M-F,25,24,2191,8,13,44,20,19,40,11,3,0
Stuart Holden,HOU,M,22,10,1030,5,5,24,13,18,15,1,2,0
Brad Davis,HOU,M,17,16,1275,3,3,27,18,18,30,2,1,0
Eddie Gaven,CLB,M,27,21,1923,5,7,59,33,18,50,10,1,0
Richard Mulrooney,HOU,M,30,27,2521,0,5,9,3,18,44,0,2,0
Guy-Roland Kpene,DC,F,15,8,626,0,2,18,12,17,10,8,2,0
Andy Herron,CLB,F,18,10,794,4,2,19,10,17,8,7,2,0
Duncan Oughton,CLB,D,19,13,1231,1,4,9,5,17,26,1,3,0
Ante Jazic,LA,D,18,16,1397,0,0,0,0,17,12,2,2,0
Drew Moor,TOR,D,28,28,2495,2,0,7,3,17,30,1,3,0
Adam Braz,TOR,D,13,9,771,0,0,1,0,16,9,0,5,0
Adrian Serioux,DAL,D,10,10,806,0,0,6,2,16,11,0,1,0
David Wagenfuhr,DAL,D,13,10,828,0,0,1,0,16,9,0,1,0
John Wolyniec,NY,F,21,13,1032,3,2,24,7,16,27,7,1,0
Kenny Cooper,DAL,F,14,12,1068,4,2,33,16,16,19,9,0,0
Ronnie O'Brien,TOR,M,13,13,1139,0,4,22,12,16,15,0,1,0
Dominic Oduro,MTL,M,29,10,1163,3,2,24,13,16,23,17,3,0
Clint Mathis,NY,M,26,19,1722,6,2,47,22,16,15,5,2,2
Steve Ralston,NE,M,26,26,2337,4,14,33,18,16,29,3,1,0
Josh Tudela,LA,M,9,9,779,0,1,3,2,15,6,0,2,0
Patrick Ianni,HOU,D-M,16,9,961,1,0,1,1,15,4,0,3,0
Robbie Findley,LA,F,25,14,1353,8,0,31,16,15,27,14,0,0
Jim Curtin,CHI,D,11,10,856,0,0,3,2,14,6,0,2,0
Abe Thompson,DAL,F,24,15,1227,5,4,19,11,14,10,13,2,0
Matias Mantilla,RSL,D,10,9,828,1,0,2,2,13,5,0,6,0
Nathan Sturgis,LA,M,14,13,1146,0,0,8,1,13,15,0,2,0
Chris Rolfe,CHI,F,19,18,1451,6,3,38,19,13,22,4,1,0
Taylor Twellman,NE,F,26,25,2283,16,3,90,55,13,41,21,2,0
Domenic Mediate,DC,M,10,2,330,0,0,3,2,12,4,4,1,0
Dax McCarty,CHI,M,25,18,1604,1,7,13,5,12,46,0,0,0
Carlos Mendes,NY,D,23,19,1709,0,0,0,0,12,4,0,2,0
Pat Noonan,NE,F,27,21,1736,7,4,42,24,12,41,32,2,0
Ricardo Virtuoso,CLB,F,8,5,451,0,1,11,4,11,14,5,1,0
Nicholas Addlery,DC,F,11,4,455,1,2,9,2,11,8,10,1,0
Ryan Pore,KC,M,17,4,456,0,0,11,5,11,5,2,0,0
Kei Kamara,VAN,F,17,4,475,2,0,16,7,11,12,5,0,0
Chris Lancos,RSL,M-D,14,8,811,0,1,3,1,11,5,0,3,0
Freddy Adu,RSL,F,11,10,899,1,2,24,12,11,25,6,1,0
Ivan Guerrero,CHI,M,19,16,1490,1,2,12,5,11,25,3,0,0
Wade Barrett,HOU,D,30,30,2649,0,2,3,2,11,9,2,2,0
Ryan Raybould,KC,D-M,10,4,424,0,2,1,0,10,6,0,2,0
Robbie Rogers,CLB,D,10,6,597,3,1,15,6,10,12,5,0,0
Denilson,DAL,M,8,7,606,1,0,14,4,10,21,2,3,0
Orlando Perez,CHV,D,15,12,1033,1,1,3,1,10,7,0,5,0
Tim Ward,CLB,D,6,6,539,0,0,7,2,9,7,0,0,0
Chris Brown,RSL,M-F,22,12,1083,5,0,23,13,9,12,4,0,0
Kelly Gray,HOU,D-M,15,13,1195,0,1,14,4,9,5,1,1,0
Cobi Jones,LA,M,25,19,1679,4,5,19,12,9,26,7,0,0
