day,date,home_team,result,away_team
Saturday,April 7,Colorado,2-1,DC
Saturday,April 14,DC,2-4,Sporting KC
Saturday,April 28,Columbus,1-0,DC
Thursday,May 3,DC,1-1,New England
Sunday,May 6,DC,2-1,Chivas USA
Saturday,May 19,Toronto FC,1-2,DC
Saturday,May 26,DC,2-1,Houston
Saturday,June 2,LA Galaxy,0-0,DC
Sunday,June 10,DC,4-2,NY Red Bulls
Saturday,June 16,DC,3-1,Chicago
Saturday,June 23,Real Salt Lake,2-1,DC
Thursday,June 28,DC,4-1,Colorado
Wednesday,July 4,Sporting KC,0-1,DC
Sunday,July 8,Houston,1-0,DC
Saturday,July 14,DC,3-3,FC Dallas
Sunday,July 22,NY Red Bulls,1-0,DC
Sunday,August 5,New England,0-3,DC
Thursday,August 9,DC,1-0,LA Galaxy
Saturday,August 18,Columbus,0-2,DC
Wednesday,August 22,DC,3-1,NY Red Bulls
Saturday,August 25,Toronto FC,0-1,DC
Saturday,September 1,FC Dallas,0-4,DC
Thursday,September 6,Chivas USA,2-2,DC
Sunday,September 9,DC,4-2,New England
Wednesday,September 12,DC,2-1,Real Salt Lake
Sunday,September 23,Chicago,1-1,DC
Saturday,September 29,DC,4-1,Toronto FC
Friday,October 5,Sporting KC,1-1,DC
Saturday,October 13,DC,0-0,Chicago
Saturday,October 20,DC,2-3,Columbus
