Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA
F2,28/07/00,Wasquehal,Nancy,0,1,A,0,1,A,,,,,,
F2,29/07/00,Ajaccio,Le Mans,1,0,H,1,0,H,,,,,,
F2,29/07/00,Beauvais,Montpellier,1,3,A,0,1,A,,,,,,
F2,29/07/00,Caen,Cannes,2,2,D,1,2,A,,,,,,
F2,29/07/00,Chateauroux,Martigues,1,1,D,0,1,A,,,,,,
F2,29/07/00,Creteil,Lorient,2,1,H,1,0,H,,,,,,
F2,29/07/00,Laval,Gueugnon,2,1,H,2,0,H,,,,,,
F2,29/07/00,Nice,Le Havre,0,0,D,0,0,D,,,,,,
F2,29/07/00,Nimes,Sochaux,3,3,D,3,1,H,,,,,,
F2,29/07/00,Niort,Angers,3,2,H,3,0,H,,,,,,
F2,04/08/00,Lorient,Nimes,1,1,D,0,0,D,,,,,,
F2,05/08/00,Angers,Ajaccio,1,1,D,0,0,D,,,,,,
F2,05/08/00,Cannes,Niort,6,4,H,2,1,H,,,,,,
F2,05/08/00,Gueugnon,Nice,1,2,A,0,2,A,,,,,,
F2,05/08/00,Le Havre,Beauvais,1,0,H,1,0,H,,,,,,
F2,05/08/00,Le Mans,Martigues,2,2,D,1,1,D,,,,,,
F2,05/08/00,Montpellier,Caen,2,0,H,0,0,D,,,,,,
F2,05/08/00,Sochaux,Chateauroux,5,0,H,2,0,H,,,,,,
F2,05/08/00,Wasquehal,Creteil,1,1,D,1,1,D,,,,,,
F2,06/08/00,Nancy,Laval,1,0,H,0,0,D,,,,,,
F2,12/08/00,Ajaccio,Cannes,3,3,D,2,1,H,,,,2,2.6,3.3
F2,12/08/00,Beauvais,Gueugnon,0,0,D,0,0,D,,,,2.4,2.6,2.7
F2,12/08/00,Caen,Sochaux,1,3,A,0,1,A,,,,2.3,2.6,2.8
F2,12/08/00,Chateauroux,Le Mans,0,0,D,0,0,D,,,,2,2.6,3.3
F2,12/08/00,Creteil,Nancy,1,0,H,0,0,D,,,,2.8,2.6,2.3
F2,12/08/00,Laval,Wasquehal,1,0,H,1,0,H,,,,1.7,2.8,4.2
F2,12/08/00,Nice,Lorient,1,1,D,1,1,D,,,,1.85,2.7,3.6
F2,12/08/00,Nimes,Montpellier,0,2,A,0,1,A,,,,2.9,2.7,2.2
F2,12/08/00,Niort,Le Havre,1,1,D,1,0,H,,,,2.8,2.6,2.3
F2,13/08/00,Martigues,Angers,1,1,D,0,1,A,,,,1.8,2.7,3.8
F2,18/08/00,Nancy,Beauvais,3,1,H,2,1,H,,,,1.45,3.2,5.5
F2,19/08/00,Angers,Le Mans,1,3,A,0,1,A,,,,2.3,2.6,2.8
F2,19/08/00,Cannes,Martigues,0,0,D,0,0,D,,,,1.7,2.7,4.2
F2,19/08/00,Gueugnon,Creteil,2,0,H,1,0,H,,,,2.1,2.6,3.2
F2,19/08/00,Laval,Caen,2,1,H,0,0,D,,,,1.8,2.7,3.8
F2,19/08/00,Le Havre,Nimes,2,0,H,1,0,H,,,,1.5,3,5
F2,19/08/00,Lorient,Chateauroux,2,1,H,1,0,H,,,,1.9,2.6,3.5
F2,19/08/00,Montpellier,Niort,1,0,H,0,0,D,,,,1.35,3.4,6.5
F2,19/08/00,Sochaux,Ajaccio,2,0,H,2,0,H,,,,1.55,2.9,4.8
F2,19/08/00,Wasquehal,Nice,2,1,H,1,1,D,,,,2.4,2.5,2.8
F2,26/08/00,Ajaccio,Montpellier,0,2,A,0,0,D,,,,3,2.6,2.2
F2,26/08/00,Beauvais,Wasquehal,0,0,D,0,0,D,,,,2.2,2.7,2.9
F2,26/08/00,Caen,Lorient,1,2,A,1,1,D,,,,2.1,2.6,3.2
F2,26/08/00,Chateauroux,Angers,3,2,H,1,2,A,,,,1.8,2.7,3.8
F2,26/08/00,Creteil,Laval,4,0,H,1,0,H,,,,1.9,2.6,3.5
F2,26/08/00,Le Mans,Cannes,2,0,H,2,0,H,,,,2,2.5,3.4
F2,26/08/00,Martigues,Le Havre,2,3,A,1,1,D,,,,2.9,2.3,2.5
F2,26/08/00,Nice,Nancy,2,1,H,0,1,A,,,,2.5,2.4,2.8
F2,26/08/00,Nimes,Gueugnon,1,1,D,0,1,A,,,,,,
F2,26/08/00,Niort,Sochaux,1,0,H,0,0,D,,,,2.9,2.5,2.3
F2,29/08/00,Cannes,Angers,3,0,H,1,0,H,,,,1.55,3,4.8
F2,29/08/00,Creteil,Chateauroux,1,2,A,0,0,D,,,,1.55,3,4.8
F2,29/08/00,Gueugnon,Caen,1,1,D,0,1,A,,,,1.7,2.9,4
F2,29/08/00,Laval,Nice,2,0,H,1,0,H,,,,1.85,2.7,3.6
F2,29/08/00,Le Havre,Ajaccio,4,0,H,2,0,H,,,,1.5,3.1,5
F2,29/08/00,Lorient,Beauvais,2,1,H,1,1,D,,,,1.5,3.1,5
F2,29/08/00,Montpellier,Martigues,2,0,H,1,0,H,,,,1.35,3.4,6.5
F2,29/08/00,Nancy,Nimes,3,1,H,0,0,D,,,,1.45,3.2,5.5
F2,29/08/00,Sochaux,Le Mans,2,0,H,1,0,H,,,,1.5,3.1,5
F2,29/08/00,Wasquehal,Niort,0,0,D,0,0,D,,,,2,2.6,3.3
