Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5
F1,02/08/02,Guingamp,Lyon,3,3,D,1,2,A,3.2,3,2.1,2.95,3.1,2.2,3,2.9,2.2,3.2,3,2.1,2.875,3.1,2.25,,,,1.9,1.7
F1,03/08/02,Bastia,Lens,1,1,D,0,0,D,2.5,2.875,2.625,2.52,3.15,2.48,2.6,2.8,2.6,2.375,3.2,2.6,2.5,3,2.6,2.5,3.1,2.5,1.9,1.7
F1,03/08/02,Lille,Bordeaux,0,3,A,0,1,A,2.1,3,3.2,2,3.15,3.35,2.2,2.8,3.1,2.2,3,3,2.1,3,3.25,2.2,3.1,2.87,1.85,1.75
F1,03/08/02,Marseille,Nantes,0,2,A,0,0,D,2.25,3,2.875,2.25,3.05,2.9,2.2,2.9,3,2.25,3.2,2.75,2.3,3.1,2.8,2.2,3,3,1.85,1.75
F1,03/08/02,Montpellier,Rennes,1,0,H,0,0,D,1.833,3,4,1.82,3.15,4,1.9,2.9,3.8,1.909,3,3.75,1.909,3.1,3.75,1.9,3.1,3.6,1.8,1.8
F1,03/08/02,Nice,Le Havre,1,2,A,0,1,A,1.909,3,3.75,1.95,3.1,3.6,2,2.9,3.4,2.1,3.2,3,1.909,3.1,3.75,1.83,3.2,3.75,1.8,1.8
F1,03/08/02,Paris SG,Auxerre,1,0,H,0,0,D,1.833,3,4,1.72,3.2,4.5,1.8,3,4,1.8,3.2,4,1.833,3.1,4,1.66,3.3,4.5,1.95,1.65
F1,03/08/02,Sedan,Sochaux,0,0,D,0,0,D,2,3,3.4,2.1,3,3.25,1.9,2.9,3.8,2.1,3,3.2,2.1,3,3.25,2,3.1,3.3,1.75,1.85
F1,03/08/02,Strasbourg,Ajaccio,1,1,D,1,1,D,1.833,3,4,1.9,3.1,3.75,1.85,3,3.8,1.909,3,3.75,1.85,3.1,4,1.8,3.1,4,1.75,1.85
F1,03/08/02,Troyes,Monaco,0,4,A,0,2,A,2.1,3,3.2,2,3.1,3.4,2.1,3,3.1,2.1,3,3.2,2.1,3,3.25,2.1,3.1,3.1,1.8,1.8
F1,08/08/02,Auxerre,Montpellier,2,0,H,0,0,D,1.667,3.4,4.333,1.65,3.35,5,1.65,3.1,4.8,,,,1.6,3.25,5.5,1.57,3.25,5.5,1.95,1.7
F1,09/08/02,Bordeaux,Paris SG,0,0,D,0,0,D,2.2,3,3,2.22,3,3.22,2,2.9,3.4,2.2,2.8,3.2,2.05,3.1,3.25,2.1,3,3.2,1.95,1.65
F1,10/08/02,Ajaccio,Guingamp,0,2,A,0,1,A,2.1,3,3.2,2.05,3.1,3.54,2,2.9,3.4,2.1,3.2,3,2.2,3,3.1,2.1,3,3.2,2,1.6
F1,10/08/02,Le Havre,Lille,0,0,D,0,0,D,2.25,2.875,3,2.38,3,3,2.3,2.7,3,2.25,2.875,3,2.25,2.875,3.1,2.25,3,2.87,2.05,1.6
F1,10/08/02,Lens,Sochaux,1,1,D,0,1,A,1.571,3.25,5.5,1.6,3.4,5.25,1.6,3.3,4.8,1.615,3.2,5.5,1.571,3.4,5.5,1.61,3.3,5,1.9,1.7
F1,10/08/02,Lyon,Sedan,6,1,H,2,1,H,1.364,3.75,8,1.43,4.15,7.75,1.4,3.7,6.5,1.4,3.75,7,1.4,3.75,7.5,1.44,3.5,7,1.8,1.8
F1,10/08/02,Monaco,Marseille,0,1,A,0,0,D,2,3,3.4,1.94,3.15,3.75,1.9,2.9,3.8,1.909,3,3.75,1.85,3.2,3.8,1.9,3.1,3.6,2.05,1.7
F1,10/08/02,Nantes,Bastia,1,0,H,0,0,D,1.615,3.25,5,1.6,3.4,5.27,1.7,3.1,4.4,1.667,3.25,4.5,1.667,3.2,5,1.61,3.3,5,1.8,1.8
