Player,Club,POS,GP,GS,A,GWA,HmA,RdA,A/90min
Brad Davis,HOU,M,27,26,12,3,8,4,0.49
Omar Cummings,COL,F,28,28,12,3,8,4,0.44
Dave van den Bergh,DAL,M,30,30,11,3,8,3,0.4
Freddie Ljungberg,SEA,M-F,22,21,9,5,6,3,0.44
Cuauhtemoc Blanco,CHI,M,21,15,8,3,4,4,0.5
Jeff Cunningham,DAL,F,28,23,8,0,2,6,0.38
Shalrie Joseph,NE,M,27,24,8,2,7,1,0.32
Claudio Lopez,KC,F,29,28,8,1,4,4,0.29
Steve Ralston,NE,M,20,17,7,3,3,4,0.41
Clint Mathis,RSL,M,28,24,7,1,6,1,0.33
Atiba Harris,CHV,D,26,25,7,3,5,2,0.29
Mehdi Ballouchy,COL,M,28,23,7,2,4,3,0.29
Fredy Montero,SEA,F,27,27,7,0,6,1,0.28
Nate Jaqua,SEA,F,28,27,7,2,4,3,0.28
Chris Leitch,SJ,D,29,29,7,2,4,3,0.25
David Ferreira,DAL,M,30,30,7,3,4,3,0.23
Andy Williams,RSL,M,23,7,6,2,4,2,0.69
Mike Magee,LA,M,23,19,6,2,1,5,0.36
Santino Quaranta,DC,M-F,22,19,6,0,1,5,0.31
Emmanuel Ekpo,CLB,M,28,22,6,3,4,2,0.28
Amado Guevara,TOR,M,25,24,6,1,3,3,0.27
Landon Donovan,LA,M-F,25,23,6,0,4,2,0.25
Dax McCarty,CHI,M,28,27,6,3,3,3,0.23
Dwayne De Rosario,TOR,M,28,27,6,0,2,4,0.22
Geoff Cameron,HOU,D,29,29,6,2,3,3,0.21
Pablo Campos,RSL,F,25,14,5,1,1,4,0.45
Shea Salinas,SJ,M,23,13,5,0,3,2,0.34
Colin Clark,COL,M,16,16,5,3,3,2,0.32
Robbie Rogers,CLB,D,22,20,5,4,2,3,0.26
Macoumba Kandji,NY,F,23,20,5,1,5,0,0.26
Marvell Wynne,TOR,D,21,21,5,1,3,2,0.24
Javier Morales,RSL,M,26,24,5,1,4,1,0.22
Jack Jewsbury,KC,M,28,28,5,2,1,4,0.18
Gerson Mayen,SLV,M,12,5,4,1,3,1,0.84
Brek Shea,VAN,M-F,19,7,4,0,3,1,0.5
Dominic Oduro,MTL,M,19,8,4,0,2,2,0.43
Alberto Celades,NY,M,17,14,4,1,4,0,0.3
Fred,DC,M,23,17,4,1,3,1,0.25
Christian Gomez,DC,M,27,20,4,3,3,1,0.22
Nana Attakora,TOR,D,20,19,4,2,3,1,0.22
Robbie Findley,RSL,F,27,18,4,2,4,0,0.21
Eddie Lewis,LA,M,27,23,4,2,0,4,0.19
Brian Mullan,HOU,D,25,23,4,0,2,2,0.18
Steve Zakuani,SEA,M,29,24,4,1,3,1,0.18
Jay Heaps,NE,D,25,25,4,0,3,1,0.17
Marco Pappa,CHI,M,30,28,4,1,0,4,0.16
Gino Padula,CLB,D,27,27,4,1,3,1,0.16
Bryan Namoff,DC,D,26,26,4,1,2,2,0.15
James Riley,SEA,D,28,27,4,1,1,3,0.15
Stuart Holden,HOU,M,26,26,4,2,3,1,0.15
Sam Cronin,MIN,M,27,26,4,2,4,0,0.15
Cam Weaver,HOU,F,17,9,3,1,2,1,0.35
David Beckham,LA,M,11,11,3,0,2,1,0.3
Mike Banner,CHI,M,22,8,3,1,1,2,0.29
Justin Mapp,CHI,M,21,11,3,1,2,1,0.27
Mike Chabala,HOU,D,15,12,3,1,2,1,0.26
Chris Klein,LA,M,28,10,3,1,2,1,0.23
Alan Gordon,LA,F,22,13,3,2,0,3,0.23
Jaime Moreno,DC,F,24,11,3,0,1,2,0.22
Corey Ashe,HOU,M,27,13,3,1,0,3,0.22
Frankie Hejduk,CLB,D,14,14,3,1,3,0,0.21
Sébastien Le Toux,SEA,F,28,15,3,1,3,0,0.19
Fabian Espindola,RSL,F,22,17,3,2,3,0,0.18
Brian Ching,HOU,F,19,18,3,0,2,1,0.17
Hérculez Gómez,KC,F,26,20,3,0,1,2,0.17
Michael Harrington,KC,D,27,17,3,0,1,2,0.16
Tim Ward,CHI,D,19,19,3,1,1,2,0.16
Guillermo Barros Schelotto,CLB,F,24,21,3,1,2,1,0.15
Sacha Kljestan,ORL,M,25,24,3,1,2,1,0.13
Ramiro Corrales,SJ,M,24,24,3,1,1,2,0.13
Chad Barrett,TOR,F,29,27,3,0,2,1,0.13
Chris Pontius,LA,F,28,23,3,0,1,2,0.13
Pablo Mastroeni,COL,M,25,25,3,1,2,1,0.12
Osvaldo Alonso,SEA,M,27,26,3,2,3,0,0.12
Rodney Wallace,NYC,F,28,25,3,0,2,1,0.12
Logan Pause,CHI,M,26,26,3,1,0,3,0.12
Will Johnson,ORL,M,26,26,3,1,3,0,0.12
Chris Wingert,RSL,D,30,27,3,0,1,2,0.11
Jordan Harvey,LAFC,D,30,29,3,0,1,2,0.1
Eric Avila,DAL,M,18,0,2,0,1,1,0.54
Thabiso Khumalo,DC,F,12,4,2,2,1,1,0.5
Ryan Cochrane,HOU,D,8,6,2,0,0,2,0.33
Quincy Amarikwa,SJ,F,24,1,2,0,0,2,0.3
Roger Espinoza,SKC,M,16,6,2,0,1,1,0.28
Jason Garey,CLB,F,15,8,2,0,1,1,0.26
Peter Vagenas,SEA,M,14,9,2,0,0,2,0.24
Bojan Stepanovic,CHV,M,16,7,2,1,1,1,0.24
Michael Zaher,SJ,D,10,8,2,0,2,0,0.24
Danny Dichio,TOR,F,19,6,2,1,2,0,0.24
Ned Grabavoy,RSL,M,20,8,2,0,2,0,0.24
Chris Tierney,NE,D-M,14,13,2,1,1,1,0.17
Darren Huckerby,SJ,M,14,13,2,1,2,0,0.17
Steven Lenhart,CLB,F,26,10,2,0,2,0,0.17
Patrick Ianni,SEA,D-M,17,10,2,1,1,1,0.16
Jacob Peterson,COL,F,23,12,2,1,2,0,0.16
Chris Wondolowski,SJ,F,21,11,2,0,2,0,0.16
Justin Braun,CHV,F,15,14,2,1,2,0,0.15
Dema Kovalenko,LA,M,15,15,2,0,1,1,0.15
Eduardo Lillingston,CHV,F,25,15,2,0,2,0,0.14
Maykel Galindo,CHV,F,23,15,2,1,2,0,0.12
Jorge Rojas,NY,M,21,19,2,0,1,1,0.12
Robbie Russell,RSL,D,19,18,2,1,1,1,0.12
Wilman Conde,CHI,D,19,18,2,0,2,0,0.11
Wells Thompson,NE,D,25,17,2,1,1,1,0.11
Andre Hainault,HOU,D,20,19,2,1,0,2,0.11
Abdoulie Mansally,NE,D,25,19,2,0,1,1,0.11
Yura Movsisyan,RSL,F,26,19,2,0,1,1,0.1
Carl Robinson,TOR,M,21,20,2,0,0,2,0.1
Arturo Alvarez,HOU,M,23,20,2,0,2,0,0.1
Kosuke Kimura,COL,D,26,21,2,0,1,1,0.09
Brian McBride,CHI,F,22,22,2,0,1,1,0.09
Patrick Nyarko,CHI,F-M,30,22,2,0,0,2,0.09
Dane Richards,NY,M,27,20,2,0,2,0,0.09
Luciano Emilio,DC,F,27,23,2,1,1,1,0.09
Todd Dunivant,LA,D,25,24,2,2,2,0,0.08
Juan Pablo Angel,NY,F,25,25,2,1,1,1,0.08
Tyrone Marshall,SEA,D,26,25,2,1,1,1,0.08
Marc Burch,MIN,D,26,25,2,1,0,2,0.08
Bobby Convey,SJ,M,26,25,2,2,2,0,0.08
Davy Arnaud,KC,M,25,25,2,0,2,0,0.08
Kyle Beckerman,RSL,M,25,25,2,2,2,0,0.08
Ryan Johnson,SJ,F,30,27,2,0,1,1,0.08
Paulo Nagamura,CHV,M,27,25,2,1,2,0,0.08
Brad Evans,SKC,D-M,27,25,2,1,1,1,0.08
Jeff Larentowicz,ATL,M,28,28,2,2,1,1,0.07
Ugo Ihemelu,COL,D,28,27,2,1,1,1,0.07
Kyle Patterson,LA,M,3,2,1,0,1,0,0.71
Alex Grendi,CLB,M,3,1,1,0,0,1,0.71
Chance Myers,KC,D,6,0,1,0,0,1,0.55
Abdus Ibrahim,TOR,F,6,2,1,0,0,1,0.44
Jamie Smith,COL,M,4,3,1,0,0,1,0.42
Duncan Oughton,CLB,D,9,2,1,0,1,0,0.41
Mauricio Castro,NE,M,6,3,1,0,1,0,0.4
Zoltan Hercegfalvi,KC,F,10,2,1,0,1,0,0.3
Chukwudi Chijindu,CHV,M,11,4,1,1,0,1,0.21
Terry Cooke,COL,M,10,5,1,0,1,0,0.21
Baggio Husidic,LA,M,10,5,1,0,0,1,0.2
Ange N'Silu,DC,F,9,4,1,0,0,1,0.2
Sasha Victorine,CHV,M,10,4,1,0,0,1,0.19
Heath Pearce,DAL,D,6,5,1,0,0,1,0.19
Cornell Glen,SJ,F,12,6,1,0,1,0,0.19
Graham Zusi,SKC,D-M,13,5,1,0,1,0,0.17
Daniel Hernandez,DAL,M,7,5,1,0,0,1,0.17
Chris Birchall,LA,M,9,6,1,1,1,0,0.17
Edgaras Jankauskas,NE,F,10,8,1,1,0,1,0.13
Maicon Santos,CHV,F,10,8,1,0,1,0,0.13
John Wolyniec,NY,F,20,8,1,0,1,0,0.12
Yamith Cuesta,CHV,D,9,9,1,1,1,0,0.11
Eric Denton,SJ,D,11,9,1,0,0,1,0.11
Michael Lahoud,CHV,M,16,9,1,0,0,1,0.1
Ramon Sanchez,SJ,M,10,10,1,0,1,0,0.1
Carlos Johnson,NY,D,13,12,1,1,1,0,0.1
Gonzalo Segares,CHI,D,12,12,1,0,0,1,0.09
Pat Noonan,CLB,F,22,11,1,0,0,1,0.09
Ante Jazic,CHV,D,13,13,1,0,1,0,0.08
Sean Franklin,VAN,D,13,13,1,0,1,0,0.08
Jair Benítez,DAL,D,13,13,1,1,1,0,0.08
Jovan Kirovski,LA,M-F,22,13,1,1,0,1,0.07
Sinisa Ubiparipovic,NY,F-M,23,13,1,0,0,1,0.07
Richard Mulrooney,HOU,M,14,14,1,0,0,1,0.07
Andre Rocha,DAL,M,22,14,1,0,1,0,0.07
Marcelo Saragosa,CHV,M,17,15,1,0,1,0,0.07
Kenny Cooper,DAL,F,15,15,1,0,0,1,0.07
Bakary Soumare,CHI,D,16,16,1,0,0,1,0.07
Ben Olsen,DC,M,20,18,1,0,1,0,0.07
Brandon Prideaux,CHI,D,19,16,1,0,1,0,0.06
Danleigh Borman,NY,D,24,14,1,0,0,1,0.06
Jed Zayner,CLB,D,20,16,1,0,0,1,0.06
John Thorrington,CHI,M,19,19,1,0,0,1,0.06
Brandon McDonald,SJ,D,18,18,1,0,1,0,0.06
Mariano Trujillo,CHV,D,21,18,1,1,1,0,0.06
Alejandro Moreno,CLB,F,22,17,1,1,1,0,0.06
Lance Watson,KC,D,20,19,1,0,1,0,0.05
Pablo Vitti,TOR,F-M,26,18,1,0,0,1,0.05
A.J. DeLaGarza,HOU,D,22,21,1,1,0,1,0.05
Jesse Marsch,CHV,M,23,21,1,1,1,0,0.05
Chris Rolfe,CHI,F,28,20,1,0,0,1,0.05
Sainey Nyassi,NE,M,28,22,1,0,1,0,0.05
Ricardo Clark,CLB,M,22,22,1,0,1,0,0.05
