Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,W,L,T,ShO,W%,Sv%
Pat Onstad,HOU,GK,30,30,2700,121,89,29,0.97,2/4,13,8,9,10,43.3,73.6
Jon Busch,CHI,GK,30,30,2700,136,103,34,1.13,5/5,11,7,12,10,36.7,75.7
Kevin Hartman,KC,GK,30,30,2700,153,105,42,1.4,3/4,8,13,9,7,26.7,68.6
Kasey Keller,SEA,GK,29,29,2549,108,78,26,0.9,1/3,12,5,11,10,41.4,72.2
Joe Cannon,SJ,GK,28,28,2520,147,97,47,1.68,3/3,6,14,8,3,21.4,66.0
Zach Thornton,CHV,GK,27,27,2385,111,83,23,0.85,2/2,12,9,6,12,44.4,74.8
Donovan Ricketts,LA,GK,26,26,2274,112,82,26,1.0,4/5,10,5,10,9,38.5,73.2
Nick Rimando,RSL,GK,26,26,2285,108,73,29,1.12,0/2,10,10,6,9,38.5,67.6
Stefan Frei,SEA,GK,26,26,2295,141,98,38,1.46,3/4,9,9,7,5,34.6,69.5
Matt Reis,NE,GK,24,24,2160,140,114,23,0.96,2/3,10,8,6,8,41.7,81.4
Josh Wicks,DC,GK,19,19,1672,104,78,26,1.37,4/5,5,5,8,5,26.3,75.0
Matt Pickens,COL,GK,19,19,1710,63,39,22,1.16,4/4,9,6,4,7,47.4,61.9
William Hesmer,CLB,GK,19,19,1710,86,68,18,0.95,0/0,9,4,6,7,47.4,79.1
Ray Burse,DAL,GK,17,16,1503,92,62,27,1.69,2/2,4,8,5,1,23.5,67.4
Dario Sala,DAL,GK,14,14,1195,63,43,20,1.43,2/2,7,5,1,4,50.0,68.3
Danny Cepero,NY,GK,13,13,1088,85,62,21,1.62,0/1,2,8,3,0,15.4,72.9
Preston Burpo,COL,GK,11,11,990,41,23,16,1.45,1/1,1,4,6,1,9.1,56.1
Andy Gruenebaum,CLB,GK,10,10,900,36,21,12,1.2,1/2,4,2,4,1,40.0,58.3
Jon Conway,CHV,GK,9,9,810,51,33,16,1.78,4/4,1,7,1,1,11.1,64.7
Bouna Coundoul,NY,GK,8,8,720,46,32,10,1.25,1/2,2,4,2,2,25.0,69.6
Josh Saunders,LA,GK,6,4,426,18,12,5,1.25,1/1,2,1,2,2,33.3,66.7
Brad Knighton,NE,GK,6,6,540,49,36,14,2.33,0/0,1,2,3,0,16.7,73.5
Louis Crayton,DC,GK,6,6,540,31,21,8,1.33,0/0,2,1,3,1,33.3,67.7
Milos Kocic,DC,GK,4,3,308,16,9,8,2.67,0/0,1,2,1,0,25.0,56.3
Lance Parker,CHV,GK,4,3,315,19,11,8,2.67,1/1,1,2,0,1,25.0,57.9
Chris Seitz,HOU,GK,4,4,360,20,13,5,1.25,1/1,1,2,1,1,25.0,65.0
Brian Edwards,TOR,GK,3,3,270,17,11,6,2.0,1/1,1,1,1,1,33.3,64.7
Greg Sutton,TOR,GK,2,1,135,5,3,2,2.0,0/0,0,1,1,0,0.0,60.0
Steve Cronin,DC,GK,2,2,180,12,9,2,1.0,1/1,1,0,1,1,50.0,75.0
Andrew Weber,SJ,GK,2,2,180,17,11,3,1.5,0/0,1,0,1,0,50.0,64.7
Kyle Reynish,RSL,GK,1,0,55,2,1,1,1.0,0/0,0,0,0,0,0.0,50.0
Ben Dragavon,SEA,GK,1,0,61,3,2,1,1.0,0/0,0,1,0,0,0.0,66.7
Alec Dufty,NY,GK,1,0,82,2,2,0,0.0,0/0,0,0,0,0,0.0,100.0
Chris Eylander,SEA,GK,1,1,90,3,1,2,2.0,0/0,0,1,0,0,0.0,33.3
Kenny Schoeni,CLB,GK,1,1,90,5,4,1,1.0,0/0,0,1,0,0,0.0,80.0
Josh Lambo,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Dan Kennedy,CHV,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Mike Graczyk,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Tally Hall,DC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Nick Noble,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Eric Kronberg,KC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Boris Pardo,KC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Andrew Dykstra,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Bobby Shuttleworth,MIN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Tyler Deric,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Zack Simmons,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Terry Boss,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Steward Ceus,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
