Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,Sv%
Matt Reis,NE,GK,24,24,2160,140,114,23,0.96,2/3,81.4
Kevin Hartman,KC,GK,30,30,2700,153,105,42,1.4,3/4,68.6
Jon Busch,CHI,GK,30,30,2700,136,103,34,1.13,5/5,75.7
Stefan Frei,SEA,GK,26,26,2295,141,98,38,1.46,3/4,69.5
Joe Cannon,SJ,GK,28,28,2520,147,97,47,1.68,3/3,66.0
Pat Onstad,HOU,GK,30,30,2700,121,89,29,0.97,2/4,73.6
Zach Thornton,CHV,GK,27,27,2385,111,83,23,0.85,2/2,74.8
Donovan Ricketts,LA,GK,26,26,2274,112,82,26,1.0,4/5,73.2
Josh Wicks,DC,GK,19,19,1672,104,78,26,1.37,4/5,75.0
Kasey Keller,SEA,GK,29,29,2549,108,78,26,0.9,1/3,72.2
Nick Rimando,RSL,GK,26,26,2285,108,73,29,1.12,0/2,67.6
William Hesmer,CLB,GK,19,19,1710,86,68,18,0.95,0/0,79.1
Danny Cepero,NY,GK,13,13,1088,85,62,21,1.62,0/1,72.9
Ray Burse,DAL,GK,17,16,1503,92,62,27,1.69,2/2,67.4
Dario Sala,DAL,GK,14,14,1195,63,43,20,1.43,2/2,68.3
Matt Pickens,COL,GK,19,19,1710,63,39,22,1.16,4/4,61.9
Brad Knighton,NE,GK,6,6,540,49,36,14,2.33,0/0,73.5
Jon Conway,CHV,GK,9,9,810,51,33,16,1.78,4/4,64.7
Bouna Coundoul,NY,GK,8,8,720,46,32,10,1.25,1/2,69.6
Preston Burpo,COL,GK,11,11,990,41,23,16,1.45,1/1,56.1
Louis Crayton,DC,GK,6,6,540,31,21,8,1.33,0/0,67.7
Andy Gruenebaum,CLB,GK,10,10,900,36,21,12,1.2,1/2,58.3
Chris Seitz,HOU,GK,4,4,360,20,13,5,1.25,1/1,65.0
Josh Saunders,LA,GK,6,4,426,18,12,5,1.25,1/1,66.7
Andrew Weber,SJ,GK,2,2,180,17,11,3,1.5,0/0,64.7
Brian Edwards,TOR,GK,3,3,270,17,11,6,2.0,1/1,64.7
Lance Parker,CHV,GK,4,3,315,19,11,8,2.67,1/1,57.9
Steve Cronin,DC,GK,2,2,180,12,9,2,1.0,1/1,75.0
Milos Kocic,DC,GK,4,3,308,16,9,8,2.67,0/0,56.3
Kenny Schoeni,CLB,GK,1,1,90,5,4,1,1.0,0/0,80.0
Greg Sutton,TOR,GK,2,1,135,5,3,2,2.0,0/0,60.0
Alec Dufty,NY,GK,1,0,82,2,2,0,0.0,0/0,100.0
Ben Dragavon,SEA,GK,1,0,61,3,2,1,1.0,0/0,66.7
Kyle Reynish,RSL,GK,1,0,55,2,1,1,1.0,0/0,50.0
Chris Eylander,SEA,GK,1,1,90,3,1,2,2.0,0/0,33.3
Zack Simmons,NE,GK,0,0,0,0,0,0,0.0,0/0,0.0
Terry Boss,SEA,GK,0,0,0,0,0,0,0.0,0/0,0.0
Steward Ceus,COL,GK,0,0,0,0,0,0,0.0,0/0,0.0
Andrew Dykstra,COL,GK,0,0,0,0,0,0,0.0,0/0,0.0
Bobby Shuttleworth,MIN,GK,0,0,0,0,0,0,0.0,0/0,0.0
Tyler Deric,HOU,GK,0,0,0,0,0,0,0.0,0/0,0.0
Josh Lambo,DAL,GK,0,0,0,0,0,0,0.0,0/0,0.0
Dan Kennedy,CHV,GK,0,0,0,0,0,0,0.0,0/0,0.0
Mike Graczyk,SJ,GK,0,0,0,0,0,0,0.0,0/0,0.0
Tally Hall,DC,GK,0,0,0,0,0,0,0.0,0/0,0.0
Eric Kronberg,KC,GK,0,0,0,0,0,0,0.0,0/0,0.0
Boris Pardo,KC,GK,0,0,0,0,0,0,0.0,0/0,0.0
Nick Noble,CHI,GK,0,0,0,0,0,0,0.0,0/0,0.0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
